capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
5318000000,-7556000000,-5472000000,None,None,-314000000,None,None,None,3815000000,7229000000,7229000000,None,2024-12-31,9626000000,12507000000,None,None,None,None,None,None,None,None,None,-1000000000,None,None,USD
5518000000,-3009000000,-5495000000,None,None,-261000000,None,None,None,3518000000,6682000000,6682000000,None,2023-12-31,9074000000,13442000000,None,None,None,None,None,None,None,None,None,-1000000000,None,None,USD
5207000000,-8523000000,-2430000000,-142000000,None,-1142000000,None,None,-1763000000,3280000000,6172000000,6172000000,None,2022-12-31,8978000000,10811000000,None,None,None,None,None,None,None,None,None,-1500000000,None,None,USD
4625000000,-10780000000,-3269000000,None,None,-582000000,None,None,None,3215000000,5815000000,5815000000,None,2021-12-31,7679000000,11616000000,None,None,None,None,None,None,None,None,None,-106000000,None,None,USD
4240000000,3819000000,-11619000000,2684000000,-129000000,-516000000,None,None,-420000000,2548000000,5509000000,5509000000,None,2020-12-31,7175000000,10613000000,None,None,None,None,None,None,None,None,None,-2000000000,None,None,USD
4232000000,-8489000000,-6437000000,-5199000000,78000000,-190000000,None,None,-650000000,2432000000,5304000000,5304000000,None,2019-12-31,7353000000,9649000000,None,None,None,None,None,None,None,None,None,-3000000000,None,None,USD
3282000000,-13769000000,4564000000,112000000,-98000000,-174000000,None,None,-253000000,2399000000,4930000000,4930000000,None,2018-12-31,12559000000,9415000000,None,None,None,None,None,None,None,None,None,-2000000000,None,None,USD
2969000000,-4186000000,-4403000000,1452000000,47000000,-168000000,None,None,-202000000,2369000000,4472000000,4472000000,None,2017-12-31,4908000000,9994000000,None,None,None,None,None,None,None,None,None,-2005000000,None,None,USD
3040000000,-2942000000,-7148000000,62000000,-252000000,-75000000,None,None,-349000000,2368000000,4227000000,4227000000,None,2016-12-31,6379000000,10404000000,None,None,None,None,None,None,None,None,None,-3007000000,None,None,USD
2758000000,-3828000000,-3569000000,2962000000,-221000000,-244000000,None,None,-461000000,2416000000,4040000000,4040000000,None,2015-12-31,5501000000,10580000000,None,None,None,None,None,None,None,None,None,-5005000000,None,None,USD
2859000000,-8264000000,-4937000000,-3241000000,-546000000,-111000000,None,None,-343000000,2625000000,3730000000,3730000000,None,2014-12-31,6513000000,10506000000,None,None,None,None,None,None,None,None,None,-5012000000,None,None,USD
2795000000,-3789000000,-2625000000,3078000000,-196000000,4000000,None,None,-88000000,2663000000,3434000000,3434000000,None,2013-12-31,6787000000,9688000000,None,None,None,None,None,None,None,None,None,-3008000000,None,None,USD
2714000000,-3306000000,-3005000000,2230000000,62000000,144000000,None,None,-250000000,2689000000,3305000000,3305000000,None,2012-12-31,6178000000,8479000000,None,None,None,None,None,None,None,None,None,-3226000000,None,None,USD
3339000000,-5135000000,-5618000000,-1876000000,-67000000,-331000000,None,None,-666000000,2737000000,3157000000,3157000000,None,2011-12-31,6462000000,8944000000,None,None,None,None,None,None,None,None,None,-2496000000,None,None,USD
3253000000,1386000000,-7668000000,2000000000,-166000000,276000000,None,None,-268000000,2327000000,2978000000,2978000000,None,2010-12-31,6338000000,8448000000,None,None,None,None,None,None,None,None,None,-4983000000,None,None,USD
2128000000,-2497000000,-2401000000,1879000000,-19000000,17000000,None,None,188000000,1635000000,2732000000,2732000000,None,2009-12-31,5979000000,6796000000,None,None,None,None,None,None,None,None,None,-7000000,None,None,USD
2446000000,-3025000000,-2667000000,None,None,-345000000,None,None,None,1543000000,2541000000,2541000000,None,2008-12-31,5142000000,6999000000,None,None,None,None,None,None,None,None,None,-4726000000,None,None,USD
2430000000,-4006000000,-3744000000,None,None,-204000000,None,None,None,1426000000,2204000000,2204000000,None,2007-12-31,5658000000,6934000000,None,None,None,None,None,None,None,None,None,-4312000000,None,None,USD
2068000000,-5983000000,-194000000,None,None,-186000000,None,None,None,1406000000,1854000000,1854000000,None,2006-12-31,5642000000,6084000000,None,None,None,None,None,None,None,None,None,-3010000000,None,None,USD
1736000000,-1878000000,-3517000000,None,None,-132000000,None,None,None,1308000000,1642000000,1642000000,None,2005-12-31,4078000000,5852000000,None,None,None,None,None,None,None,None,None,-3031000000,None,None,USD
