comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,41744000000,41744000000,None,3815000000,12865000000,16680000000,2024-12-31,50110000000,11946000000,2320000000,None,919000000,None,None,9578000000,9626000000,-919000000,None,37223000000,12887000000,None,USD,None,37190000000,91854000000
None,41881000000,41881000000,None,3518000000,12236000000,15754000000,2023-12-31,49590000000,11417000000,2262000000,None,819000000,None,None,9074000000,8366000000,-875000000,None,37604000000,11986000000,None,USD,804000000,36677000000,91471000000
None,40576000000,40576000000,None,3280000000,11644000000,14924000000,2022-12-31,45816000000,10705000000,1727000000,None,939000000,None,None,8910000000,8978000000,-939000000,None,34304000000,11512000000,None,USD,771000000,14259000000,86392000000
None,37075000000,37075000000,None,3215000000,11684000000,14899000000,2021-12-31,42399000000,9821000000,2142000000,None,1863000000,None,None,7618000000,7679000000,-1863000000,None,31237000000,11162000000,None,USD,752000000,11014000000,79474000000
None,31797000000,31797000000,None,3026000000,10197000000,13223000000,2020-12-31,38575000000,9069000000,1894000000,None,1128000000,None,None,7120000000,7175000000,-1128000000,None,28495000000,10080000000,None,USD,719000000,10493000000,70372000000
None,30132000000,30132000000,None,2844000000,10247000000,13091000000,2019-12-31,37029000000,9312000000,1959000000,None,1192000000,200000000,None,7314000000,11271000000,-935000000,None,26887000000,10291000000,200000000,USD,711000000,10149000000,67161000000
None,29381000000,29381000000,None,2399000000,10408000000,12807000000,2018-12-31,35280000000,9189000000,-3370000000,None,1353000000,306000000,None,12515000000,5819000000,-1219000000,None,25170000000,10110000000,306000000,USD,680000000,9527000000,64661000000
None,28796000000,28796000000,None,2369000000,10753000000,13122000000,2017-12-31,34729000000,9602000000,4694000000,None,1151000000,244000000,None,4857000000,14296000000,-907000000,None,24453000000,10276000000,244000000,USD,737000000,9366000000,63525000000
None,28222000000,28222000000,None,2368000000,9895000000,12263000000,2016-12-31,34577000000,8553000000,2174000000,None,1342000000,110000000,None,6329000000,10727000000,-1232000000,None,24773000000,9804000000,110000000,USD,760000000,9684000000,62799000000
None,28731000000,28731000000,None,2416000000,8412000000,10828000000,2015-12-31,34325000000,7442000000,1941000000,None,970000000,911000000,None,5452000000,9383000000,None,None,25972000000,8353000000,59000000,USD,754000000,10262000000,63056000000
None,31238000000,31238000000,None,2625000000,9666000000,12291000000,2014-12-31,35445000000,8757000000,2199000000,None,909000000,None,None,6513000000,10956000000,None,None,25864000000,9581000000,85000000,USD,718000000,21387000000,66683000000
None,31243000000,31243000000,None,2663000000,9802000000,12465000000,2013-12-31,35172000000,8891000000,2104000000,None,911000000,None,None,6740000000,6787000000,None,None,25467000000,9705000000,97000000,USD,665000000,21284000000,66415000000
None,31291000000,31291000000,None,2689000000,9203000000,11892000000,2012-12-31,34201000000,8304000000,2090000000,None,899000000,None,None,6178000000,6214000000,None,None,25089000000,9112000000,91000000,USD,552000000,24675000000,65492000000
None,31593000000,31593000000,None,2737000000,9690000000,12427000000,2011-12-31,34911000000,8834000000,2372000000,None,856000000,None,None,6443000000,6462000000,None,None,25278000000,9633000000,57000000,USD,525000000,25145000000,66504000000
None,26575000000,26575000000,None,2327000000,9135000000,11462000000,2010-12-31,31263000000,8232000000,1894000000,None,903000000,None,None,6320000000,6338000000,None,None,22931000000,8332000000,68000000,USD,488000000,22326000000,57838000000
None,20099000000,20099000000,None,1635000000,8476000000,10111000000,2009-12-31,23133000000,8079000000,2100000000,None,397000000,None,None,5946000000,5979000000,None,None,15089000000,8044000000,67000000,USD,414000000,14612000000,43232000000
None,20351000000,20351000000,None,1543000000,7374000000,8917000000,2008-12-31,22900000000,7045000000,1879000000,None,329000000,None,None,5142000000,None,None,None,15941000000,6959000000,None,USD,364000000,15537000000,43251000000
None,18038000000,18038000000,None,1426000000,7855000000,9281000000,2007-12-31,21436000000,7631000000,1973000000,None,224000000,None,None,5658000000,None,None,None,14266000000,7170000000,None,USD,364000000,14208000000,39474000000
None,15762000000,15762000000,None,1406000000,7228000000,8634000000,2006-12-31,19375000000,6989000000,1347000000,None,239000000,None,None,5642000000,None,None,None,12873000000,6502000000,None,USD,344000000,12774000000,35137000000
None,14176000000,14176000000,None,1308000000,5922000000,7230000000,2005-12-31,18386000000,6382000000,2304000000,None,256000000,None,None,4078000000,None,None,None,12464000000,5922000000,None,USD,None,12314000000,32562000000
