accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,1043000000,1043000000,480000000,5700000000,5633000000,None,6946000000,14777000000,None,2024-12-31,68527000000,55412000000,55412000000,10851000000,None,56703000000,None,2227000000,4253000000,28549000000,None,14151000000,20682000000,USD,116725000000,66993000000,7302000000,19434000000,213396000000,50358000000,42995000000,124899000000,163038000000,81904000000,88203000000,None
None,None,2853000000,2853000000,478000000,5709000000,6710000000,None,10346000000,11177000000,None,2023-12-31,67783000000,64900000000,64900000000,10189000000,None,60499000000,None,15368000000,9277000000,27507000000,None,16540000000,18940000000,USD,118353000000,75041000000,10877000000,9837000000,226501000000,43333000000,47794000000,137213000000,183168000000,89419000000,89014000000,-114487000000
None,None,416000000,416000000,476000000,5733000000,6809000000,None,2945000000,14529000000,None,2022-12-31,51375000000,43370000000,43370000000,8981000000,None,32884000000,None,15069000000,5017000000,29864000000,None,25242000000,16274000000,USD,125656000000,35829000000,2945000000,22316000000,197206000000,51259000000,42138000000,101289000000,145944000000,59151000000,95661000000,-113969000000
None,None,1944000000,1944000000,473000000,5708000000,5578000000,None,2241000000,15745000000,None,2021-12-31,49208000000,25146000000,25146000000,9059000000,None,36195000000,None,21526000000,3820000000,31785000000,None,9744000000,14882000000,USD,103394000000,38436000000,2241000000,29125000000,181477000000,59693000000,42671000000,104014000000,121782000000,61343000000,77201000000,-111361000000
None,None,1784000000,1784000000,470000000,5632000000,4309000000,None,2703000000,11194000000,None,2020-12-31,49577000000,28472000000,28472000000,8046000000,None,37133000000,None,20262000000,3439000000,12639000000,None,23640000000,13900000000,USD,96770000000,39836000000,2703000000,10437000000,154229000000,35067000000,25920000000,90756000000,119163000000,64836000000,63238000000,-110988000000
None,None,1305000000,1305000000,468000000,5675000000,4220000000,None,16195000000,12068000000,None,2019-12-31,58653000000,35369000000,35369000000,8283000000,None,35955000000,None,20147000000,2601000000,11090000000,None,25205000000,13967000000,USD,97670000000,52145000000,16190000000,8525000000,167488000000,32803000000,37304000000,104042000000,134685000000,66738000000,63143000000,-110801000000
None,None,1139000000,1139000000,467000000,5977000000,4674000000,None,8831000000,11399000000,None,2018-12-31,53411000000,35211000000,35211000000,7508000000,None,32909000000,None,2767000000,2461000000,12639000000,None,27197000000,13385000000,USD,89554000000,41745000000,8836000000,17694000000,159422000000,49926000000,31858000000,95664000000,109497000000,63806000000,63407000000,-101610000000
None,None,1342000000,1342000000,464000000,1211600000,4656000000,None,9954000000,11271000000,None,2017-12-31,55952000000,48740000000,48740000000,7578000000,None,33538000000,None,7015000000,2288000000,11129000000,None,32276000000,13865000000,USD,85291000000,43478000000,9940000000,18650000000,171797000000,41141000000,30427000000,100141000000,130654000000,69714000000,71308000000,-89425000000
None,None,2595000000,2595000000,461000000,1231800000,4536000000,None,10688000000,11266000000,None,2016-12-31,54449000000,52648000000,52648000000,6783000000,None,31398000000,None,7116000000,2249000000,11023000000,None,18509000000,13318000000,USD,71774000000,42086000000,10688000000,15255000000,171615000000,38949000000,31115000000,111775000000,132666000000,80660000000,59544000000,-84364000000
None,None,3641000000,3641000000,459000000,1251400000,3620000000,None,3724000000,10838000000,None,2015-12-31,48242000000,40358000000,40358000000,7513000000,None,28818000000,None,15999000000,2163000000,10990000000,None,17368000000,13766000000,USD,71993000000,38978000000,10160000000,19649000000,167460000000,43804000000,29399000000,102462000000,123658000000,73063000000,64720000000,-79252000000
