capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
2909000000,-17140000000,2652000000,None,None,-854000000,None,None,None,7013000000,9512000000,9512000000,None,2024-12-31,8051000000,12744000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
3907000000,26066000000,-32278000000,None,None,6199000000,None,None,None,6290000000,9247000000,9247000000,None,2023-12-31,2172000000,8700000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
3236000000,-14834000000,-15783000000,-1350000000,None,592000000,None,None,261000000,5064000000,8983000000,8983000000,None,2022-12-31,31401000000,29267000000,None,None,None,None,None,None,None,None,None,-2000000000,None,None,USD
2711000000,-9816000000,-22546000000,218000000,None,-1125000000,None,None,-3811000000,5191000000,8729000000,8729000000,None,2021-12-31,22459000000,32580000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
2791000000,-9649000000,-4271000000,483000000,None,-736000000,None,None,-1249000000,4777000000,8440000000,8440000000,None,2020-12-31,7021000000,14403000000,None,None,None,None,None,None,None,None,None,425000000,None,None,USD
2594000000,-8485000000,-3945000000,158000000,None,-1050000000,None,None,-742000000,6010000000,8043000000,8043000000,None,2019-12-31,16302000000,12588000000,None,None,None,None,None,None,None,None,None,-8865000000,None,None,USD
2196000000,-20441000000,4525000000,-89000000,None,-717000000,None,None,-644000000,6384000000,7978000000,7978000000,None,2018-12-31,11188000000,15827000000,None,None,None,None,None,None,None,None,None,-12198000000,None,None,USD
2217000000,-13035000000,-4741000000,-1254000000,53000000,-357000000,None,None,259000000,6269000000,7659000000,7659000000,None,2017-12-31,21355000000,16470000000,None,None,None,None,None,None,None,None,None,-5000000000,None,None,USD
1999000000,-8921000000,-7811000000,-1046000000,-215000000,365000000,None,None,-134000000,5757000000,7317000000,7317000000,None,2016-12-31,7246000000,15901000000,None,None,None,None,None,None,None,None,None,-5000000000,None,None,USD
1496000000,-10233000000,-2980000000,298000000,-1000000000,-199000000,None,None,21000000,5157000000,6940000000,6940000000,None,2015-12-31,6986000000,14512000000,None,None,None,None,None,None,None,None,None,-6160000000,None,None,USD
1583000000,-9986000000,-5654000000,1160000000,-83000000,175000000,None,None,148000000,5537000000,6609000000,6609000000,None,2014-12-31,9168000000,16883000000,None,None,None,None,None,None,None,None,None,-5000000000,None,None,USD
1465000000,-14975000000,-10625000000,-7898000000,-63000000,-538000000,None,None,940000000,6410000000,6580000000,6580000000,None,2013-12-31,22072000000,17765000000,None,None,None,None,None,None,None,None,None,-16290000000,None,None,USD
1327000000,-15999000000,6154000000,7207000000,-2000000,-631000000,None,None,275000000,7611000000,6534000000,6534000000,None,2012-12-31,14598000000,17054000000,None,None,None,None,None,None,None,None,None,-8228000000,None,None,USD
1660000000,-20607000000,2200000000,1804000000,-29000000,1084000000,None,None,-66000000,9026000000,6234000000,6234000000,None,2011-12-31,10051000000,20240000000,None,None,None,None,None,None,None,None,None,-9000000000,None,None,USD
1513000000,-11174000000,-492000000,-243000000,-31000000,2917000000,None,None,-608000000,8487000000,6088000000,6088000000,None,2010-12-31,8289000000,11454000000,None,None,None,None,None,None,None,None,None,-1000000000,None,None,USD
1205000000,14481000000,-31272000000,-144000000,60000000,1631000000,None,None,-472000000,4757000000,5548000000,5548000000,None,2009-12-31,8644000000,16587000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
1701000000,-6560000000,-12835000000,None,None,294000000,None,None,None,5090000000,8541000000,8541000000,None,2008-12-31,8104000000,18238000000,None,None,None,None,None,None,None,None,None,-500000000,None,None,USD
1880000000,-12610000000,795000000,None,None,720000000,None,None,None,5200000000,7975000000,7975000000,None,2007-12-31,8144000000,13353000000,None,None,None,None,None,None,None,None,None,-9994000000,None,None,USD
2050000000,-23100000000,5101000000,None,None,118000000,None,None,None,5293000000,6919000000,6919000000,None,2006-12-31,19337000000,17594000000,None,None,None,None,None,None,None,None,None,-6979000000,None,None,USD
2106000000,-9222000000,-5072000000,None,None,72000000,None,None,None,5576000000,5555000000,5555000000,None,2005-12-31,8085000000,14733000000,None,None,None,None,None,None,None,None,None,-3797000000,None,None,USD
