comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,21781000000,21781000000,None,7013000000,11114000000,18127000000,2024-12-31,41846000000,8023000000,-28000000,None,3091000000,545000000,None,8020000000,8051000000,-2546000000,None,25363000000,16483000000,None,USD,10738000000,11471000000,63627000000
None,29213000000,29213000000,None,6290000000,3267000000,9557000000,2023-12-31,30340000000,1058000000,-1114000000,None,2209000000,1624000000,None,2133000000,2172000000,-585000000,None,25048000000,5292000000,None,USD,10578000000,11071000000,59553000000
None,38240000000,38240000000,None,5064000000,35967000000,41031000000,2022-12-31,62090000000,34729000000,3328000000,None,1238000000,1824000000,None,31365000000,31401000000,-987000000,None,24541000000,37549000000,-217000000,USD,11426000000,10877000000,100330000000
None,34413000000,34413000000,None,5191000000,25602000000,30793000000,2021-12-31,46875000000,24311000000,1852000000,None,1291000000,560000000,None,22147000000,22459000000,-1255000000,None,26082000000,20793000000,4878000000,USD,13828000000,10703000000,81288000000
None,11771000000,11771000000,None,4681000000,8487000000,13168000000,2020-12-31,29880000000,7036000000,370000000,None,1449000000,538000000,None,9159000000,7021000000,-1376000000,None,20795000000,9085000000,-663000000,USD,9395000000,9815000000,41651000000
None,12623000000,12623000000,None,5795000000,13058000000,18853000000,2019-12-31,28549000000,11485000000,618000000,None,1573000000,226000000,None,16273000000,16298000000,-1348000000,None,21038000000,7511000000,4508000000,USD,8364000000,12050000000,41172000000
None,16008000000,16008000000,None,6384000000,13201000000,19585000000,2018-12-31,37639000000,11885000000,706000000,None,1316000000,333000000,None,11153000000,11179000000,-983000000,None,22350000000,15289000000,-2116000000,USD,7967000000,11755000000,53647000000
None,15777000000,15777000000,None,6269000000,13575000000,19844000000,2017-12-31,36769000000,12305000000,-9048000000,None,1270000000,391000000,None,21305000000,21353000000,-879000000,None,22378000000,14391000000,-1315000000,USD,7645000000,11684000000,52546000000
None,15954000000,15954000000,None,5757000000,9537000000,15294000000,2016-12-31,36870000000,8351000000,1122000000,None,1186000000,470000000,None,7215000000,7229000000,-716000000,None,22596000000,14274000000,-3655000000,USD,7840000000,11637000000,52824000000
None,13157000000,13157000000,None,5157000000,10164000000,15321000000,2015-12-31,35694000000,8965000000,1990000000,None,1199000000,1597000000,None,6966000000,6975000000,None,None,22398000000,13296000000,-2860000000,USD,7671000000,11709000000,48851000000
None,13310000000,13310000000,None,5537000000,13600000000,19137000000,2014-12-31,36295000000,12240000000,3121000000,None,1360000000,None,None,9080000000,9119000000,None,None,22266000000,14029000000,-1009000000,USD,8310000000,10997000000,49605000000
None,13954000000,13954000000,None,6410000000,17130000000,23540000000,2013-12-31,37630000000,15716000000,4306000000,None,1414000000,None,None,11649000000,11410000000,None,None,20742000000,16888000000,None,USD,6551000000,11355000000,51584000000
None,14642000000,14642000000,None,7655000000,12764000000,20419000000,2012-12-31,40015000000,11242000000,2221000000,None,1522000000,None,None,9787000000,9518000000,None,None,21976000000,18039000000,None,USD,6955000000,13816000000,54657000000
None,17165000000,17165000000,None,9026000000,13162000000,22188000000,2011-12-31,43870000000,11481000000,3621000000,None,1681000000,None,None,8705000000,8739000000,None,None,25488000000,18382000000,None,USD,8004000000,19468000000,61035000000
None,20714000000,20714000000,None,8487000000,11079000000,19566000000,2010-12-31,46343000000,9282000000,1071000000,None,1797000000,None,None,8268000000,8298000000,None,None,28611000000,17732000000,None,USD,9358000000,19614000000,67057000000
None,11590000000,11590000000,None,4757000000,12060000000,16817000000,2009-12-31,38419000000,10827000000,2197000000,None,1233000000,None,None,8635000000,8630000000,None,None,22410000000,16009000000,None,USD,7754000000,14875000000,50009000000
None,10035000000,10035000000,None,5090000000,10210000000,15300000000,2008-12-31,38261000000,9694000000,1645000000,None,516000000,None,None,8024000000,None,None,None,21636000000,16625000000,None,USD,7512000000,14537000000,48296000000
None,11725000000,11725000000,None,5200000000,9675000000,14875000000,2007-12-31,36703000000,9278000000,1023000000,None,397000000,None,None,8210000000,None,None,None,22780000000,13923000000,None,USD,7573000000,15626000000,48428000000
None,10509000000,10509000000,None,5293000000,13516000000,18809000000,2006-12-31,37862000000,13028000000,1992000000,None,488000000,None,None,11024000000,None,None,None,22769000000,15093000000,None,USD,7423000000,15589000000,48371000000
None,10507000000,10507000000,None,5576000000,11271000000,16847000000,2005-12-31,36898000000,10800000000,3178000000,None,471000000,None,None,7610000000,None,None,None,22368000000,14530000000,None,USD,7206000000,16997000000,47405000000
