accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,906101000000,6767898000000,6767898000000,482403000000,357524000,6159127000000,None,11115747000000,10839842710000,None,2024-12-31,357851000000,4321931564000,4321931564000,14143500000000,None,14881620000000,None,7310444000000,3635713814000,4992673311000,None,172180000000,39846827836910,KRW,53658367884000,26903468326000,11277348000000,8034211429000,103404198998000,43421165473000,22779718797000,41953831078000,59983033525000,19174112281000,55394231302000,None
None,924320000000,6670879000000,6670879000000,482403125000,303480000,6956922000000,None,9969129000000,11039250857000,None,2023-12-31,403172000000,4148166484000,4148166484000,14557419000000,None,15011163000000,None,7594320000000,3228048143000,4364942527000,None,178074000000,35206248343570,KRW,53813583000000,25904611000000,10133081000000,11236293000000,101486316000000,46731890000000,22467736000000,41887716000000,54754426000000,19419980000000,54146374000000,None
None,823482000000,8053108000000,8053108000000,482403000000,78906375,6944209000000,None,11915994000000,11994611000000,None,2022-12-31,442487000000,4216003000000,4216003000000,15472417000000,None,12389667000000,None,7329089000000,20290000000,3580688000000,None,238929000000,32855226817730,KRW,52965179000000,25129144141240,12065378000000,10686149000000,98406781000000,47649466000000,23188190000000,40149380000000,50757315000000,16961190000000,52512116000000,None
None,778014000000,4775166000000,4775166000000,482403000000,306752000,6502998000000,None,8809715000000,12183438771000,None,2021-12-31,735969000000,3368383000000,3368383000000,15215098000000,None,12931501000000,None,6634321000000,1066768229000,3027840000000,None,80487000000,29596698000000,KRW,51532887000000,21527076000000,8019687000000,13381159000000,91471614000000,46621630000000,21083623000000,36666671000000,44849984000000,15583048000000,50427355000000,-2508293801780
None,739675000000,4754644000000,4754644000000,482403000000,79120963,3755513000000,None,8677529000000,9664338000000,None,2020-12-31,903893000000,3488399000000,3488399000000,9051790000000,None,11820078000000,None,5438056000000,616623000000,3445972000000,None,170608000000,29400141331760,KRW,46111457000000,20992733693460,8677529000000,11709209000000,79086973000000,35830814000000,16854968000000,31412381000000,43256159000000,14557413000000,44331350000000,-2391522759280
0,675470000000,3514872000000,3514872000000,482403000000,80113759,4255767000000,None,8548212000000,10619279000000,None,2019-12-31,1097809000000,3733393000000,3733393000000,10920320000000,None,11893401498900,None,5532407000000,14315000000,2821214000000,None,66810000000,29925972800160,KRW,45080117000000,21117083498900,8697388000000,8948508000000,79058661000000,34842374000000,16323690000000,31263954000000,44216287000000,14940264000000,44471872000000,-1508303486780
0,94754000000,2643865000000,2643865000000,482403000000,320002424,4789697000000,None,10289619000000,10611155000000,None,2018-12-31,1125149000000,3853546000000,3853546000000,11499928000000,None,9919651496860,None,5261066000000,9554000000,3231337000000,None,77092000000,30018272832170,KRW,44216018000000,20304024496860,10299771000000,8033808000000,78248265000000,33651002000000,18937985000000,31488714000000,44597263000000,12550729000000,43371260000000,-1532728485500
0,93018000000,2612530000000,2612530000000,482403000000,319994400,4265520000000,None,11274516000000,10586554000000,None,2017-12-31,1349838000000,4396487000000,4396487000000,9950955000000,None,9789141174490,None,5465238000000,931499000000,2197988000000,None,42827000000,31883535000000,KRW,43056600000000,21156675174490,11292279000000,7045880000000,79024959000000,31127418000000,18946016000000,31560951000000,47897541000000,12614935000000,43732877000000,-1533054410950
0,114409000000,2447619000000,2447619000000,482403000000,319985556,4927909000000,None,10194807000000,11279251000000,None,2016-12-31,1375131000000,4551330000000,4551330000000,9051721000000,None,12510191004890,None,6441780000000,1930000000,3052370000000,None,84537000000,33770339000000,KRW,41173778000000,22819407004890,10219330000000,5175630000000,79762995000000,29303835000000,18915397000000,33924601000000,50459160000000,15009204000000,42373438000000,-1533468003530
0,0,4870185000000,4870185000000,482403000000,319975336,4108756000000,None,0,11220135000000,None,2015-12-31,1461954000000,4792656000000,4792656000000,8225205000000,None,12849199428940,None,0,4034000000,2832221000000,None,0,35607147167260,KRW,40501059000000,25261516428940,12397908000000,3815784000000,80408759000000,29180889000000,20130926000000,35338537000000,51227870000000,15207611000000,41235350000000,-1533898233670
