capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
7673582750000,-2301732887000,-4486783116000,None,None,914744000000,None,None,None,3984459000000,844195130000,844195130000,None,2024-12-31,1094917126000,6663654760000,None,None,None,None,None,None,None,None,None,-92311110000,None,None,KRW
7227066000000,-178593000000,-7388224000000,None,None,1383720000000,None,None,None,3844654000000,815451341000,815451341000,None,2023-12-31,1846059000000,6167695000000,None,None,None,None,None,None,None,None,None,-340000000000,None,None,KRW
5420459000000,1319408000000,-4219870542320,None,None,-415596000000,None,None,None,3693579000000,1218405000000,1218405000000,None,2022-12-31,3560484000000,6186765000000,None,None,None,None,None,None,None,None,None,0,None,None,KRW
3510830000000,-768666000000,-5607961000000,None,None,-6049837000000,None,None,None,3579445000000,1310920000000,1310920000000,None,2021-12-31,7195890000000,6259365000000,None,None,None,None,None,None,None,None,None,-116771000000,None,None,KRW
3497587000000,-1090868000000,-6259265694100,None,None,1443931000000,None,None,None,3621739000000,659145000000,659145000000,None,2020-12-31,1788152000000,8685737000000,None,None,None,None,None,None,None,None,None,-1161800000000,None,None,KRW
2767006000000,-1512179000000,-3682858684050,0,0,793883000000,None,None,0,3461115000000,946218000000,946218000000,None,2019-12-31,1982637000000,6004655000000,None,None,None,None,None,None,None,None,None,0,None,None,KRW
2583166000000,-3195048000000,-2647970000000,0,0,-1572560000000,None,None,0,3267629000000,723933607396,723933607396,None,2018-12-31,1892064000000,5869725000000,None,None,None,None,None,None,None,None,None,0,None,None,KRW
2631003000000,-1565528000000,-3817874000000,0,0,-1435170000000,None,None,0,3297420000000,863450000000,863450000000,None,2017-12-31,2909311000000,5607310000000,None,None,None,None,None,None,None,None,None,0,None,None,KRW
2462293000000,-3950967000000,-3754627000000,0,0,-889998000000,None,None,0,3213847000000,708970000000,708970000000,None,2016-12-31,1048169000000,5269418000000,None,None,None,None,None,None,None,None,None,0,None,None,KRW
2849392000000,-2241601000000,-4534676000000,0,0,2095732000000,None,None,0,3218246000000,822570000000,822570000000,None,2015-12-31,-96181000000,7601829000000,None,None,None,None,None,None,None,None,None,0,None,None,KRW
3849353000000,135112000000,-3745182000000,0,0,-780582000000,None,None,0,3238549000000,677000000000,677000000000,None,2014-12-31,556659000000,3412099000000,None,None,None,None,None,None,None,None,None,3490694000000,None,None,KRW
7113279000000,3532336000000,-8751670000000,None,None,582287000000,None,None,None,2685550000000,648580000000,648580000000,None,2013-12-31,1355180000000,4858135000000,None,None,None,None,None,None,None,None,None,5159089000000,None,None,KRW
7502757000000,-907627000000,-6169003000000,None,None,1450431000000,None,None,None,2563760000000,751908000000,751908000000,None,2012-12-31,2385607000000,7319456000000,None,None,None,None,None,None,None,None,None,None,None,None,KRW
5905721000000,4899885000000,-5516866000000,None,None,-2538178000000,None,None,None,2266299000000,770858000000,770858000000,None,2011-12-31,3714286000000,1691566000000,None,None,None,None,None,None,None,None,None,-61296000000,None,None,KRW
6104855000000,5679195000000,-6889927000000,None,None,-4216445000000,None,None,None,2950883000000,693296000000,693296000000,None,2010-12-31,4217695000000,2024565000000,None,None,None,None,None,None,None,None,None,None,None,None,KRW
4295740000000,917868000000,-8376230000000,None,None,3413323000000,None,None,None,2059548000000,689129000000,689129000000,None,2009-12-31,3172264000000,7143457000000,None,None,None,None,None,None,None,None,None,3760496000000,None,None,KRW
4224420000000,3116582000000,-5802769000000,None,None,-3393710000000,None,None,None,2379291000000,755037000000,755037000000,None,2008-12-31,4350104000000,3687015000000,None,None,None,None,None,None,None,None,None,-36832000000,None,None,KRW
2975876410803.2,-1001421350437.62,-4266125477208.98,None,None,-461486892364.12,None,None,None,2127932588780,655469102513.19,655469102513.19,None,2007-12-31,3680045887951,5593238775902,None,None,None,None,None,None,None,None,None,-1292093635698.04,None,None,KRW
3663714173207.5,-216235251716.22,-3223495066942.26,None,None,-362597355414.36,None,None,None,1700455064471,607109019712.14,607109019712.14,None,2006-12-31,3161212622351,3723780703673,None,None,None,None,None,None,None,None,None,-811838904657.66,None,None,KRW
3405677027249.9,-1560928350690.29,-3702684122385.24,None,None,-699043669671.17,None,None,None,1595473169329,673581493185.97,673581493185.97,None,2005-12-31,3969049666595,5437950436560,None,None,None,None,None,None,None,None,None,-1285197362287.53,None,None,KRW
