comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,67299585825000,67299585825000,None,3984459660000,2122674272000,6107133932000,2024-12-31,5388557335000,1251203785000,303623462000,None,1138702111000,5211595000000,None,1094917126000,947580000000,130860000000,None,2884588062000,2503969273000,None,KRW,207557000000,2154743000000,72688143160000
None,70735740228000,70735740228000,None,3844652681000,3247723506000,7092376187000,2023-12-31,6391456880000,2635154036000,789304504000,None,986554137000,255259000000,None,1698092001000,1455265000000,-1272550000000,None,2787254374000,3604202506000,None,KRW,175167000000,2005371000000,77127197109000
None,77125356278000,77125356278000,None,3693578796000,4840229337000,8533808133000,2022-12-31,7624847424000,4014366224000,453882684000,None,589386973000,4834011000000,None,3144086510000,3560484000000,-970455000000,None,2449934087000,5174913337000,None,KRW,179714000000,1837572000000,84750203702000
None,64469158881000,64469158881000,None,3579445771000,9251064360000,12830510131000,2021-12-31,11863186169000,9416072781000,2220182818000,None,456280017000,2730110000000,None,6617238627000,7195890000000,-35065000000,None,2295044809000,9568141360000,None,KRW,123092000000,1662482000000,76332345050000
None,53086221982000,53086221982000,None,3621739609000,2349930127000,5971669736000,2020-12-31,4706573751000,2025086323000,236933904000,None,618030004000,2677499000000,None,1602147657000,1788152000000,-214903000000,None,2035632624000,2670941127000,None,KRW,116273000000,1404458000000,57792795733000
None,58137608432000,58137608432000,None,3461115121000,3788531094000,7249646215000,2019-12-31,6229239376000,3053278000000,1070640792000,None,770400400000,23782275680,None,1835086521000,2038165000000,-438789000000,None,2118268283000,4110971094000,0,KRW,110315000000,1486772000000,64366847808000
None,57029629339000,57029629339000,None,3267628811000,5479501731000,8747130542000,2018-12-31,7948148095000,3562821170000,1670756764000,None,817440847000,380399623030,None,1690612431000,1932386000000,-449449000000,None,2182981364000,5765166731000,0,KRW,108352000000,1446197000000,64977777434000
None,51915597000000,51915597000000,None,3297420000000,4621834000000,7919254000000,2017-12-31,8739503000000,4095051000000,1185740000000,None,653115000000,71321771430,None,2790106000000,2909311000000,-489842000000,None,3591604000000,4621834000000,0,KRW,125795000000,1412126000000,60655100000000
None,46415368000000,46415368000000,None,3154844000000,2841035000000,5995879000000,2016-12-31,6668145000000,1432854000000,384685000000,None,685506940000,572760770050,None,1363310000000,1032065000000,-525973000000,None,3823820000000,2844325000000,0,KRW,506828000000,1569797000000,53083513000000
None,51680531000000,51680531000000,None,3164250000000,2410043000000,5574293000000,2015-12-31,6511814000000,180758000000,276939000000,None,989432483000,1037772373040,None,180647000000,0,None,None,4101771000000,2410043000000,0,KRW,491681000000,1593783000000,58192345000000
None,57492094000000,57492094000000,None,3182549000000,2559661000000,5742210000000,2014-12-31,7266531000000,1387880000000,823841000000,None,810361966000,None,None,632706000000,471361.26,None,None,4753533000000,2512998000000,0,KRW,528344000000,1549611000000,64758625000000
None,54931633000000,54931633000000,None,2685550000000,2729720000000,5415270000000,2013-12-31,6834110000000,1938045000000,589029000000,None,636865633000,None,None,1370878000000,1349016000000,None,None,4267841000000,2566269000000,None,KRW,562647000000,1522653000000,61765743000000
None,55920623000000,55920623000000,None,2563760000000,4203319000000,6767079000000,2012-12-31,7424635000000,3331862000000,974016000000,None,842068878000,None,None,2437227000000,None,None,None,3862879000000,3255139000000,None,KRW,192321000000,1476337000000,63345258000000
None,59823850000000,59823850000000,None,2266299000000,5570743000000,7837042000000,2011-12-31,9114875000000,4782395000000,1068109000000,None,818608925000,None,None,3648136000000,None,None,None,3619007000000,5408102000000,None,KRW,212472000000,1399611000000,68938725000000
None,39722461000000,39722461000000,None,3035894000000,5854006000000,8889900000000,2010-12-31,8164794000000,5267123000000,1081472000000,None,574743345000,None,None,4105623000000,None,None,None,2684636000000,5433520000000,None,KRW,141314000000,1036344000000,47887255000000
None,31037425000000,31037425000000,None,2552777000000,4271365000000,6824142000000,2009-12-31,5817576000000,3739275000000,535996000000,None,490308173000,None,None,3218425000000,None,None,None,1949414000000,3868162000000,None,KRW,84382000000,1646811000000,36855001000000
None,32562339000000,32562339000000,None,2379291000000,6440325000000,8819616000000,2008-12-31,9180297000000,6095639000000,1733983000000,None,331567014000,None,None,4378751000000,None,None,None,2006368000000,7173929000000,None,KRW,94571000000,1512519000000,41742636000000
None,24916755671000,24916755671000,None,2127932589000,4934194767000,7062127356000,2007-12-31,6708873610000,4901704130000,1274947568000,None,242901981000,None,None,3560674165000,None,None,None,1774678843000,4922646078000,None,KRW,52846442000,1512626408000,31625629281000
None,18978417400000,18978417400000,None,1700455064000,4186563458000,5887018522000,2006-12-31,5671140762000,4086834016000,879397673000,None,180238766000,None,None,3161212622000,None,None,None,1484577304000,4186563458000,None,KRW,51480529000,1240594337000,24649558162000
None,18622789054000,18622789054000,None,1600147897000,6036466476000,7636614373000,2005-12-31,7476616371000,5445959830000,1462250425000,None,147111779000,None,None,3991540923000,None,None,None,1440149896000,6036467475000,None,KRW,52140502000,1209832118000,26099405425000
