accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,1413000000,6830000000,6830000000,3267000000,1633400000,3196000000,None,180000000,3521000000,None,2024-12-31,727000000,2242000000,2242000000,5860000000,None,12262000000,None,None,2644000000,6806000000,None,None,68573000000,USD,42539000000,13855000000,534000000,370000000,102786000000,19120000000,11743000000,44821000000,83666000000,33078000000,55246000000,None
None,1351000000,9673000000,9673000000,3584000000,1631500000,3265000000,None,824000000,2461000000,None,2023-12-31,797000000,2410000000,2410000000,6659000000,None,12177000000,None,None,1639000000,6619000000,None,None,66468000000,USD,38350000000,14352000000,1169000000,1078000000,103549000000,21510000000,12743000000,47208000000,82039000000,34465000000,54586000000,None
None,1200000000,6775000000,6775000000,3537000000,1629600000,3269000000,None,923000000,3370000000,None,2022-12-31,826000000,3645000000,3645000000,6213000000,None,10148000000,None,None,1674000000,6896000000,None,None,64734000000,USD,34511000000,12271000000,1215000000,2160000000,96744000000,18973000000,11603000000,44470000000,77771000000,32867000000,50175000000,None
None,1363000000,12807000000,12807000000,3777000000,1628900000,3410000000,None,812000000,3117000000,None,2021-12-31,879000000,2832000000,2832000000,5436000000,None,11356000000,None,None,1467000000,6275000000,None,None,64927000000,USD,33337000000,13531000000,1136000000,2543000000,102896000000,24432000000,12627000000,46306000000,78464000000,33679000000,51432000000,None
None,1178000000,10381000000,10381000000,3988000000,1628600000,3124000000,None,351000000,3401000000,None,2020-12-31,946000000,2755000000,2755000000,3917000000,None,13247000000,None,None,1295000000,5705000000,None,None,62882000000,USD,26792000000,14015000000,584000000,2851000000,97390000000,20855000000,11607000000,45487000000,76535000000,33880000000,47054000000,None
None,1309000000,8027000000,8027000000,3655000000,1642100000,2855000000,None,720000000,2924000000,None,2019-12-31,922000000,2637000000,2637000000,3463000000,None,12086000000,None,4259000000,1055000000,5174000000,None,None,57372000000,USD,23387000000,14713000000,1022000000,2670000000,87802000000,17303000000,11125000000,42560000000,70499000000,31435000000,40532000000,None
None,44000000,10773000000,10773000000,3688000000,1731700000,3180000000,None,307000000,3070000000,None,2018-12-31,912000000,2779000000,2779000000,3447000000,None,12401000000,None,4607000000,1861000000,4765000000,None,76000000,56361000000,USD,27025000000,13920000000,1078000000,2692000000,90949000000,20902000000,10865000000,41126000000,70047000000,30261000000,43686000000,None
None,53000000,10550000000,10550000000,4360000000,1799500000,3255000000,None,548000000,3293000000,None,2017-12-31,1037000000,3119000000,3119000000,3472000000,None,14575000000,None,4719000000,1751000000,5557000000,None,85000000,62093000000,USD,23761000000,16052000000,552000000,1084000000,95726000000,19172000000,11349000000,44611000000,76554000000,33262000000,44711000000,None
None,45000000,8201000000,8201000000,4139000000,1808600000,2787000000,None,696000000,3292000000,None,2016-12-31,951000000,3279000000,3279000000,2937000000,None,16889000000,None,5294000000,1299000000,5132000000,None,91000000,58855000000,USD,21631000000,18392000000,717000000,359000000,89263000000,15086000000,9400000000,43533000000,74177000000,34133000000,39290000000,None
None,None,9366000000,9366000000,4174000000,1824700000,2567000000,None,2234000000,2304000000,None,2015-12-31,892000000,3336000000,3336000000,3168000000,None,20765000000,None,5200000000,1524000000,5202000000,None,None,61057000000,USD,19736000000,23624000000,2253000000,223000000,91564000000,15554000000,10157000000,47436000000,76010000000,37279000000,37349000000,None
None,None,12423000000,12423000000,4765000000,1858700000,2592000000,None,2636000000,3549000000,None,2014-12-31,1228000000,5880000000,5880000000,4350000000,None,22411000000,None,5197000000,1676000000,6524000000,None,None,71289000000,USD,26110000000,25219000000,2664000000,417000000,107827000000,21125000000,12580000000,53233000000,86702000000,40653000000,46285000000,None
None,None,10216000000,10216000000,5141000000,1857700000,3095000000,None,28474000000,4600000000,None,2013-12-31,1349000000,5421000000,5421000000,5737000000,None,24544000000,None,4453000000,2917000000,7234000000,None,None,72681000000,USD,23605000000,28551000000,3916000000,710000000,111025000000,22282000000,15371000000,57523000000,88743000000,42152000000,45886000000,None
None,None,7082000000,7082000000,5945000000,1849100000,3317000000,None,None,5427000000,None,2012-12-31,2774000000,6628000000,6628000000,6136000000,None,24463000000,None,None,7416000000,7915000000,None,None,77184000000,USD,21827000000,26819000000,2175000000,533000000,117573000000,20193000000,14234000000,59552000000,97380000000,45318000000,46865000000,None
None,None,9670000000,9670000000,5816000000,1935500000,9582000000,None,None,5875000000,None,2011-12-31,8187000000,7955000000,7955000000,5307000000,None,20185000000,None,None,6148000000,1319000000,None,None,67824000000,USD,27784000000,21804000000,1447000000,585000000,119545000000,21986000000,14999000000,60337000000,97559000000,45338000000,52539000000,None
None,None,9948000000,9948000000,5847000000,1972459378,6576000000,None,None,5788000000,None,2010-12-31,15296000000,5700000000,5700000000,4756000000,None,13277000000,None,None,967000000,1382000000,None,None,56331000000,USD,48228000000,15220000000,1064000000,-2053000000,112402000000,21459000000,11795000000,47128000000,90943000000,35333000000,58333000000,None
None,None,4233000000,4233000000,5170000000,1769600000,5759000000,None,None,4887000000,None,2009-12-31,14268000000,5730000000,5730000000,4889000000,None,22155000000,None,None,229000000,1594000000,None,None,45948000000,USD,34487000000,23002000000,847000000,-1545000000,97236000000,14932000000,9529000000,51311000000,82304000000,41782000000,43831000000,None
None,None,1181000000,1181000000,1121000000,1900606050,7197000000,None,None,5593000000,None,2008-12-31,14296000000,6285000000,6285000000,5607000000,None,29724000000,None,None,5790000000,2947000000,None,None,41886000000,USD,17134000000,40506000000,10514000000,264000000,89616000000,18435000000,22100000000,67155000000,71181000000,45055000000,20638000000,None
None,None,1645000000,1645000000,1391000000,1562983578,3145000000,None,None,6350000000,None,2007-12-31,21105000000,6804000000,6804000000,5397000000,None,38614000000,None,None,7497000000,7717000000,None,None,45799000000,USD,19033000000,48297000000,8213000000,1042000000,101091000000,21931000000,19551000000,74798000000,79160000000,55247000000,24772000000,None
None,None,736000000,736000000,1271000000,1614080700,1503000000,None,None,2856000000,None,2006-12-31,841000000,384000000,384000000,2540000000,None,2007000000,None,None,176000000,1556000000,None,None,22403000000,USD,14401000000,3937000000,1697000000,567000000,34494000000,6875000000,5780000000,15109000000,27619000000,9329000000,18232000000,None
None,None,2379000000,2379000000,1191000000,1656456967,2042000000,None,None,2377000000,None,2005-12-31,1020000000,220000000,220000000,2048000000,None,2783000000,None,None,141000000,555000000,None,None,17733000000,USD,11893000000,3985000000,1202000000,536000000,29803000000,7481000000,4786000000,14064000000,22322000000,9278000000,15739000000,None
