capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
9621000000,-7094000000,-9594000000,None,None,205000000,None,None,None,5918000000,7025000000,7025000000,None,2024-12-31,11552000000,15599000000,None,None,None,None,None,None,None,None,None,1574000000,None,None,USD
7086000000,-5277000000,-6962000000,None,None,-422000000,None,None,None,5334000000,6470000000,6470000000,None,2023-12-31,9953000000,15160000000,None,None,None,None,None,None,None,None,None,127000000,None,None,USD
6750000000,-15473000000,-6707000000,None,None,-1185000000,None,None,None,5010000000,11727000000,11727000000,None,2022-12-31,13076000000,16134000000,None,None,None,None,None,None,None,None,None,86000000,None,None,USD
7384000000,-15862000000,-7159000000,None,None,-1397000000,None,None,None,4697000000,15357000000,15357000000,None,2021-12-31,22575000000,25345000000,None,None,None,None,None,None,None,None,None,66000000,None,None,USD
6189000000,-7130000000,-6556000000,None,None,-281000000,None,None,None,4279000000,6132000000,6132000000,None,2020-12-31,10400000000,15875000000,None,None,None,None,None,None,None,None,None,-208000000,None,None,USD
5488000000,-12219000000,-5501000000,None,None,28000000,None,None,None,4384000000,10334000000,10334000000,None,2019-12-31,6972000000,14912000000,None,None,None,None,None,None,None,None,None,-1552000000,None,None,USD
5430000000,-12951000000,1321000000,None,None,-587000000,None,None,None,4015000000,5356000000,5356000000,None,2018-12-31,13925000000,11821000000,None,None,None,None,None,None,None,None,None,-5386000000,None,None,USD
4482000000,-9141000000,-2373000000,None,None,-482000000,None,None,None,4375000000,4250000000,4250000000,None,2017-12-31,8851000000,13884000000,None,None,None,None,None,None,None,None,None,-2083000000,None,None,USD
3012000000,-7491000000,-2104000000,None,None,292000000,None,None,None,4794000000,2725000000,2725000000,None,2016-12-31,4776000000,8465000000,None,None,None,None,None,None,None,None,None,101000000,None,None,USD
4685000000,-7670000000,-4600000000,None,None,526000000,None,None,None,4645000000,4076000000,4076000000,None,2015-12-31,-1719000000,9383000000,None,None,None,None,None,None,None,None,None,-2028000000,None,None,USD
8162000000,-5436000000,-6503000000,None,None,937000000,None,None,None,4860000000,3710000000,3710000000,None,2014-12-31,6499000000,14286000000,None,None,None,None,None,None,None,None,None,1291000000,None,None,USD
13001000000,-934000000,-10946000000,None,None,-330000000,None,None,None,4791000000,3322000000,3322000000,None,2013-12-31,1079000000,15078000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
17458000000,6325000000,-18174000000,None,None,-326000000,None,None,None,4441000000,3038000000,3038000000,None,2012-12-31,-2997000000,9368000000,None,None,None,None,None,None,None,None,None,-1471000000,None,None,USD
12335000000,-1449000000,-18815000000,None,None,-1000000000,None,None,None,3817000000,2236000000,2236000000,None,2011-12-31,13940000000,20030000000,None,None,None,None,None,None,None,None,None,-5504000000,None,None,USD
4591000000,-10610000000,-1711000000,None,None,-492000000,None,None,None,3437000000,1754000000,1754000000,None,2010-12-31,15281000000,18277000000,None,None,None,None,None,None,None,None,None,1947000000,None,None,USD
5388000000,-2463000000,-3357000000,None,None,653000000,None,None,None,3427000000,876000000,876000000,None,2009-12-31,5784000000,9212000000,None,None,None,None,None,None,None,None,None,5775000000,None,None,USD
8574000000,-9456000000,-4708000000,None,None,-1178000000,None,None,None,3475000000,1933000000,1933000000,None,2008-12-31,10194000000,13657000000,None,None,None,None,None,None,None,None,None,4339000000,None,None,USD
5000000000,34929000000,-42742000000,None,None,130000000,None,None,None,2115000000,1507000000,1507000000,None,2007-12-31,8571000000,8632000000,None,None,None,None,None,None,None,None,None,-1648000000,None,None,USD
3992000000,-5582000000,-4089000000,None,None,-454000000,None,None,None,1509000000,2573000000,2573000000,None,2006-12-31,8974000000,8026000000,None,None,None,None,None,None,None,None,None,-2370000000,None,None,USD
2816000000,-2411000000,-2483000000,None,None,-249000000,None,None,None,1334000000,1141000000,1141000000,None,2005-12-31,6922000000,6935000000,None,None,None,None,None,None,None,None,None,-877000000,None,None,USD
