comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,23378000000,23378000000,None,5067000000,13990000000,19057000000,2024-12-31,30280000000,15615000000,4041000000,None,1629000000,24000000,None,11552000000,11574000000,-1115000000,None,14627000000,15653000000,None,USD,398000000,2942000000,53658000000
None,36743000000,36743000000,None,6289000000,14090000000,20379000000,2023-12-31,17298000000,13785000000,3832000000,None,1957000000,532000000,None,10058000000,9953000000,-1421000000,None,2475000000,14823000000,None,USD,245000000,5295000000,54041000000
None,21284000000,21284000000,None,6527000000,18231000000,24758000000,2022-12-31,34270000000,18662000000,5586000000,None,1854000000,179000000,None,12392000000,13076000000,-1675000000,None,35666000000,19933000000,None,USD,76000000,4254000000,55554000000
None,18561000000,18561000000,None,5112000000,29969000000,35081000000,2021-12-31,44934000000,30833000000,8258000000,None,592000000,64000000,None,21115000000,22575000000,-597000000,None,33409000000,29817000000,None,USD,65000000,3482000000,63495000000
None,15485000000,15485000000,None,4652000000,15010000000,19662000000,2020-12-31,29126000000,15391000000,4991000000,None,645000000,141000000,None,9769000000,10400000000,-504000000,None,26878000000,16829000000,None,USD,45000000,2739000000,44611000000
None,16412000000,16412000000,None,4767000000,11368000000,16135000000,2019-12-31,26753000000,11119000000,4147000000,None,938000000,259000000,None,8010000000,6972000000,-634000000,None,27921000000,15903000000,None,USD,45000000,3285000000,43165000000
None,16559000000,16559000000,None,4387000000,18135000000,22522000000,2018-12-31,23963000000,18167000000,4242000000,None,929000000,709000000,None,13638000000,13925000000,-609000000,None,27325000000,17687000000,None,USD,45000000,3184000000,40522000000
None,15807000000,15807000000,None,4723000000,13075000000,17798000000,2017-12-31,24223000000,12816000000,3965000000,None,1231000000,817000000,None,8762000000,8851000000,-834000000,None,27443000000,14135000000,None,USD,58000000,3898600000,40030000000
None,15530000000,15530000000,None,5090000000,6809000000,11899000000,2016-12-31,18251000000,6343000000,1567000000,None,1449000000,127000000,None,4617000000,4776000000,-1036000000,None,27252000000,6795000000,None,USD,60000000,3472000000,33781000000
None,16819000000,16819000000,None,4645000000,3217000000,7862000000,2015-12-31,18010000000,-726000000,993000000,None,1128000000,4007000000,None,-866000000,-1719000000,None,None,28487000000,3615000000,None,USD,104000000,4181000000,34829000000
None,19704000000,19704000000,None,4860000000,11665000000,16525000000,2014-12-31,27960000000,9552000000,3053000000,None,1031000000,None,None,6527000000,6499000000,None,None,34693000000,11346000000,None,USD,112000000,3074000000,47664000000
None,16674000000,16674000000,None,4791000000,11066000000,15857000000,2013-12-31,34497000000,3505000000,2426000000,None,876000000,None,None,3665000000,1079000000,None,None,37213000000,7430000000,None,USD,231000000,4025000000,51171000000
None,16624000000,16624000000,None,4441000000,-2610000000,1831000000,2012-12-31,34343000000,-2568000000,429000000,None,692000000,None,None,-2990000000,None,None,None,39506000000,-1153000000,None,USD,129000000,3112000000,50967000000
None,36260000000,36260000000,None,3817000000,23505000000,27322000000,2011-12-31,24277000000,13214000000,6439000000,None,850000000,None,None,5826000000,None,None,None,37697000000,13940000000,None,USD,148000000,None,60537000000
None,36667000000,36667000000,None,3437000000,20462000000,23899000000,2010-12-31,19909000000,20577000000,5296000000,None,778000000,None,None,14324000000,None,None,None,594000000,19694000000,None,USD,187000000,None,56576000000
None,33818000000,33818000000,None,3427000000,8789000000,12216000000,2009-12-31,9593000000,7860000000,2076000000,None,929000000,None,None,4872000000,None,None,None,34332000000,7506000000,None,USD,193000000,None,43411000000
None,36988000000,36988000000,None,3475000000,10103000000,13578000000,2008-12-31,54264000000,9178000000,3742000000,None,1618000000,None,None,3676000000,None,None,None,38775000000,10194000000,None,USD,1134000000,None,54264000000
None,19454000000,19454000000,None,2115000000,8981000000,11096000000,2007-12-31,29700000000,9836000000,2090000000,None,538000000,None,None,7312000000,None,None,None,21326000000,8571000000,None,USD,574000000,None,29700000000
None,12205000000,12205000000,None,1509000000,8955000000,10464000000,2006-12-31,22465000000,10240000000,2373000000,None,160000000,None,None,7438000000,None,None,None,13938000000,8974000000,None,USD,283000000,None,22465000000
None,11457000000,11457000000,None,1334000000,7485000000,8819000000,2005-12-31,19033000000,7312000000,1814000000,None,173000000,None,None,5215000000,None,None,None,12436000000,6922000000,None,USD,20000207,None,19033000000
