accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,3219800000,3219800000,1100000,1139800000,1852800000,None,None,1277500000,None,2025-09-30,3368900000,166800000,166800000,2185600000,None,None,None,None,452200000,3453600000,None,None,None,None,-8272500000,26611500000,3063400000,247200000,32019700000,7382300000,10210400000,40108900000,24637400000,29898500000,-8096600000,None
None,10234700000,3286200000,3286200000,1100000,1137300000,1595500000,None,1248900000,1213800000,None,2024-09-30,3315700000,100900000,100900000,1777300000,None,14319500000,None,739900000,313100000,2981300000,None,656200000,None,USD,-7343800000,25803100000,2712000000,257000000,31339300000,6847400000,9070000000,38780900000,24491900000,29710900000,-7448900000,None
None,9200100000,3551500000,3551500000,1100000,1151300000,1544300000,None,1852100000,1184100000,None,2023-09-30,3218300000,120500000,120500000,1806400000,None,13547600000,None,687300000,359900000,2571400000,None,513800000,None,USD,-7255800000,24599800000,3127400000,401500000,29445500000,7303400000,9345300000,37433300000,22142100000,28088000000,-7994800000,None
None,8760900000,2818400000,2818400000,1100000,1158500000,1441400000,None,1924000000,1175500000,None,2022-09-30,3283500000,155900000,155900000,2176600000,None,13119900000,None,590300000,483700000,2565000000,None,610500000,14576100000,USD,-8449800000,23804800000,3169700000,364500000,27978400000,7018700000,9151800000,36677100000,20959700000,27525300000,-8706600000,None
None,8989300000,6455700000,6455700000,1200000,1185500000,1211600000,None,998900000,1133100000,None,2021-09-30,3677300000,349900000,349900000,1603900000,None,13616900000,None,550200000,401500000,2745500000,None,737800000,14605500000,USD,-6315700000,23605100000,2250200000,162200000,31392600000,9756400000,8151400000,36707100000,21636200000,28555700000,-5321200000,None
None,8910500000,4350900000,4350900000,1200000,1181800000,997900000,None,1688700000,1395400000,None,2020-09-30,3597200000,552100000,552100000,1551400000,None,14659600000,None,206100000,227500000,1856700000,None,7661700000,6241400000,USD,-7815600000,25258800000,2937500000,281200000,29374500000,7806400000,7346800000,37173900000,21568100000,29827100000,-7805100000,None
None,None,2686600000,2686600000,1200000,1233200000,1189700000,None,None,879200000,None,2019-09-30,3490800000,781800000,781800000,1529400000,None,11167000000,None,220000000,488200000,3704800000,None,1370500000,6431700000,USD,-5771200000,11172200000,5200000,70500000,19219600000,5653900000,6168700000,25450600000,13565700000,19281900000,-6232200000,None
None,None,8756300000,8756300000,1300000,1394600000,1179300000,None,349900000,693100000,None,2018-09-30,3541600000,1042200000,1042200000,1400500000,None,9090200000,None,602400000,1970200000,2225500000,None,1430500000,5929100000,USD,1457400000,9440100000,349900000,181500000,24156400000,12494200000,5684200000,22980600000,11662200000,17296400000,1169500000,0
None,None,2462300000,2462300000,1400000,1461500000,782500000,None,3987600000,870400000,None,2017-09-30,1539200000,441400000,441400000,1364000000,None,3932600000,None,1023900000,358100000,1923100000,None,755300000,4919500000,USD,5563200000,4159200000,226600000,228600000,14365600000,5283400000,4220700000,8908600000,9082200000,4687900000,5450100000,0
None,None,2128800000,2128800000,1500000,1486700000,730600000,None,400000000,768800000,None,2016-09-30,1719600000,516300000,516300000,1378500000,None,3202200000,None,1496200000,347400000,1876700000,None,689700000,4533800000,USD,5949800000,3602200000,399900000,134400000,14329500000,4760500000,4546900000,8438800000,9569000000,3891900000,5884000000,0
None,None,1530100000,1530100000,1500000,1513400000,684200000,None,2347500000,719000000,None,2015-09-30,1575400000,520400000,520400000,1306400000,None,2347500000,None,664500000,334200000,1726500000,None,625300000,4088300000,USD,5974800000,2606500000,259000000,81300000,12446100000,4352700000,3653500000,6626300000,8093400000,2972800000,5818000000,0
None,None,1708400000,1708400000,700000,1526200000,533700000,None,2048300000,631000000,None,2014-09-30,856200000,273500000,273500000,1090900000,None,2048300000,None,833300000,285600000,1438500000,None,392200000,3519000000,USD,5206600000,2320300000,272000000,135400000,10752900000,4168700000,3038700000,5479200000,6584200000,2440500000,5272000000,0
None,None,2575700000,2575700000,800000,1524600000,491700000,None,None,561400000,None,2013-09-30,862900000,274800000,274800000,1111200000,None,1299400000,None,554800000,287700000,4106900000,None,357700000,3200500000,USD,4130300000,1424400000,125000000,658100000,11516700000,5471400000,5377300000,7034400000,6045300000,1657100000,4480200000,0
None,None,1188600000,1188600000,700000,1546000000,398100000,None,None,485900000,None,2012-09-30,399100000,143700000,143700000,1241500000,None,549600000,None,575900000,435200000,167700000,None,345300000,2658900000,USD,5046200000,1683400000,1133800000,848400000,8219200000,4199600000,2209800000,3104700000,4019600000,894900000,5109000000,0
None,None,1148100000,1148100000,700000,1539400000,540000000,None,None,386500000,None,2011-09-30,321600000,111900000,111900000,965800000,None,549500000,None,479300000,391900000,254800000,None,347800000,2355000000,USD,4297400000,1381200000,831700000,902600000,7360400000,3794900000,2075800000,2973100000,3565500000,897300000,4384900000,0
None,None,1164000000,1164000000,700000,1528400000,282600000,None,None,302700000,None,2010-09-30,262400000,70800000,70800000,543300000,None,549400000,None,533300000,460700000,146200000,None,375100000,2416500000,USD,3471200000,1485600000,936200000,285700000,6385900000,2756400000,1779100000,2703600000,3629500000,924500000,3674700000,0
None,None,599800000,599800000,700000,1491800000,267100000,None,None,271000000,None,2009-09-30,259100000,68200000,68200000,664900000,None,549300000,None,423500000,433800000,797200000,None,400800000,2536400000,USD,2793200000,549500000,200000,66300000,5576800000,2035800000,1581000000,2531100000,3541000000,950100000,3045700000,0
None,None,269800000,269800000,700000,1483400000,324900000,None,None,329500000,None,2008-09-30,266500000,66600000,66600000,692800000,None,549600000,None,None,403400000,782700000,None,None,2956400000,USD,2402400000,1263300000,713700000,52500000,5672600000,1748000000,2189700000,3163400000,3924600000,973700000,2490900000,None
None,None,281261000,281261000,738000,1540200000,390800000,None,None,287925000,None,2007-09-30,215625000,42043000,42043000,691658000,None,552021000,None,None,278200000,755643000,None,None,2890433000,USD,2189366000,1261144000,712223000,157433000,5343878000,1696487000,2155566000,3042509000,3647391000,886943000,2284117000,None
None,None,312606000,312606000,756000,1585112000,340937000,None,None,224271000,None,2006-09-30,161478000,37955000,37955000,636222000,None,4358000,None,None,215651000,661995000,None,None,2287899000,USD,2151084000,702720000,700762000,141038000,4428941000,1529788000,1935620000,2200435000,2899153000,264815000,2228506000,None
