capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
2305500000,-2298000000,-2485400000,None,None,-408400000,None,None,None,2606200000,2771400000,2771400000,None,2025-09-30,1856700000,4747500000,None,None,None,None,None,None,None,None,None,None,None,None,None
2777500000,-3718200000,-2699200000,None,None,42800000,None,None,None,1592400000,2585000000,2585000000,None,2024-09-30,3762300000,6095600000,None,None,None,None,None,None,None,None,None,-1266700000,None,None,USD
2333600000,-2990600000,-2270800000,None,None,366400000,None,None,None,1450300000,2431800000,2431800000,None,2023-09-30,4124700000,6008700000,None,None,None,None,None,None,None,None,None,-984400000,None,None,USD
1841300000,-5638000000,-2146300000,-3387000000,None,-641000000,None,None,-326100000,1529400000,2263300000,2263300000,None,2022-09-30,3283400000,4397300000,None,None,None,None,None,None,None,None,None,-4013000000,None,None,USD
1470000000,-3651000000,-319500000,2104800000,86200000,-49800000,None,None,43000000,1524100000,2119000000,2119000000,None,2021-09-30,4200300000,5989100000,None,None,None,None,None,None,None,None,None,215100000,None,None,USD
1483600000,1713300000,-1711500000,1664300000,64700000,-10900000,None,None,2700000,1503200000,1923500000,1923500000,None,2020-09-30,924700000,1597800000,None,None,None,None,None,None,None,None,None,-1698900000,None,None,USD
1806600000,-10056900000,-1010800000,-6069700000,-49000000,-173000000,None,None,197700000,1449300000,1761300000,1761300000,None,2019-09-30,3594600000,5047000000,None,None,None,None,None,None,None,None,None,-10222300000,None,None,USD
1976400000,-3242800000,-2361500000,6294000000,-39500000,-41200000,None,None,-131000000,1305900000,1743400000,1743400000,None,2018-09-30,4518300000,11937800000,None,None,None,None,None,None,None,None,None,-7133500000,None,None,USD
1519400000,-3001600000,-850000000,333500000,10800000,14000000,None,None,-96800000,1067100000,1450400000,1450400000,None,2017-09-30,2884900000,4174300000,None,None,None,None,None,None,None,None,None,-2042500000,None,None,USD
1440300000,-1750000000,-2222900000,598700000,-3500000,-67500000,None,None,-55600000,1030100000,1178000000,1178000000,None,2016-09-30,2818900000,4575100000,None,None,None,None,None,None,None,None,None,-1995600000,None,None,USD
1303700000,-2256500000,-1520300000,-178300000,-150600000,-207900000,None,None,-82800000,933800000,928600000,928600000,None,2015-09-30,2759300000,3749100000,None,None,None,None,None,None,None,None,None,-1436100000,None,None,USD
1160900000,-623300000,-817700000,-867300000,-34100000,14300000,None,None,-79700000,748400000,783100000,783100000,None,2014-09-30,2067700000,607800000,None,None,None,None,None,None,None,None,None,-758600000,None,None,USD
1151200000,-108200000,-1411200000,1387100000,-1800000,152500000,None,None,-68300000,655600000,628900000,628900000,None,2013-09-30,8800000,2908300000,None,None,None,None,None,None,None,None,None,-588100000,None,None,USD
856200000,-714700000,-974000000,40500000,9700000,-273300000,None,None,-90300000,580600000,513000000,513000000,None,2012-09-30,1384700000,1719500000,None,None,None,None,None,None,None,None,None,-549100000,None,None,USD
531900000,-608000000,-1019500000,-15900000,-800000,-422300000,None,None,-88700000,550000000,389500000,389500000,None,2011-09-30,1248000000,1612400000,None,None,None,None,None,None,None,None,None,-555900000,None,None,USD
440700000,-346000000,-789500000,564200000,-5200000,123200000,None,None,None,540800000,171000000,171000000,None,2010-09-30,948300000,1704900000,None,None,None,None,None,None,None,None,None,-285600000,None,None,USD
445600000,-642200000,-421100000,330000000,4300000,28500000,None,None,None,563300000,0,0,None,2009-09-30,390800000,1389000000,None,None,None,None,None,None,None,None,None,57000000,None,None,USD
984500000,-184500000,-1086600000,None,None,-600000,None,None,None,604500000,None,None,None,2008-09-30,315500000,1258700000,None,None,None,None,None,None,None,None,None,-311400000,None,None,USD
1080348000,-171887000,-1201951000,None,None,-48576000,None,None,None,491891000,None,None,None,2007-09-30,672638000,1331221000,None,None,None,None,None,None,None,None,None,-996798000,None,None,USD
771230000,-155326000,-841040000,None,None,-85527000,None,None,None,414638000,None,None,None,2006-09-30,564259000,1131633000,None,None,None,None,None,None,None,None,None,-854045000,None,None,USD
