comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,28202900000,28202900000,None,1684700000,3694100000,5378800000,2025-09-30,8981500000,3151500000,1294800000,None,542600000,None,None,1856400000,None,None,None,5400700000,3580800000,None,None,None,2617200000,37184400000
None,26467100000,26467100000,None,1592400000,5531600000,7124000000,2024-09-30,9709100000,4969600000,1207300000,None,562000000,122800000,None,3760900000,3762300000,-439200000,None,4300300000,5408800000,None,USD,None,2523300000,36176200000
None,26129400000,26129400000,None,1450300000,5952000000,7402300000,2023-09-30,9846200000,5401900000,1277200000,None,550100000,81200000,None,4124500000,4124700000,-468900000,None,3975400000,5870800000,None,USD,None,2441300000,35975600000
None,23879200000,23879200000,None,1529400000,4714800000,6244200000,2022-09-30,8371100000,4231900000,948500000,None,482900000,97000000,None,3281600000,3283400000,-385900000,None,3753300000,4617800000,97000000,USD,None,2032000000,32250300000
None,20669600000,20669600000,None,1524100000,5826700000,7350800000,2021-09-30,8391000000,5356900000,1156600000,None,469800000,90100000,None,4199300000,4200300000,-379700000,None,3518900000,4872100000,954600000,USD,None,1932600000,29060600000
None,18458900000,18458900000,None,1503200000,1601400000,3104600000,2020-09-30,5059100000,1164400000,239700000,None,437000000,39700000,None,928300000,924700000,-397300000,None,3497400000,1561700000,39700000,USD,None,1679600000,23518000000
None,19020500000,19020500000,None,1449300000,4797200000,6246500000,2019-09-30,7488100000,4466200000,871600000,None,331000000,96500000,None,3599200000,3594600000,-234500000,None,3410200000,4077900000,719300000,USD,None,1824100000,26508600000
None,17402900000,17402900000,None,1305900000,5950300000,7256200000,2018-09-30,7316600000,5780000000,1262000000,None,170300000,191400000,None,4518300000,4518000000,21100000,None,3433300000,3883300000,2067000000,USD,0,1708200000,24719500000
None,15552200000,15552200000,None,1067100000,4410000000,5477100000,2017-09-30,6834600000,4317500000,1432600000,None,92500000,275300000,None,2884700000,2884900000,182800000,None,2699900000,4134700000,275300000,USD,0,1408400000,22386800000
None,14573300000,14573300000,None,1030100000,4279900000,5310000000,2016-09-30,6742600000,4198600000,1379700000,None,81300000,108000000,None,2817700000,2818900000,26700000,None,2570700000,4171900000,108000000,USD,0,1408900000,21315900000
None,13198600000,13198600000,None,933800000,3973500000,4907300000,2015-09-30,5964100000,3903000000,1143700000,None,70500000,27500000,None,2757400000,2759300000,None,None,2363100000,3601000000,372500000,USD,0,1196700000,19162700000
None,11497000000,11497000000,None,748400000,3223800000,3972200000,2014-09-30,4950800000,3159700000,1092000000,None,64100000,None,None,2068100000,2067700000,None,None,1869700000,3081100000,142700000,USD,0,991300000,16447800000
None,10668400000,10668400000,None,655600000,-201800000,453800000,2013-09-30,4198400000,-229900000,-238700000,None,28100000,None,None,8300000,8300000,None,None,4523800000,-325400000,123600000,USD,0,937900000,14866800000
None,9731400000,9731400000,None,580600000,2091800000,2672400000,2012-09-30,3545400000,2059100000,674400000,None,32700000,None,None,1383800000,1384700000,None,None,1548000000,1997400000,94400000,USD,0,801200000,13276800000
None,8510400000,8510400000,None,550000000,1844400000,2394400000,2011-09-30,3190000000,1811100000,563100000,None,33300000,None,None,1245700000,1248000000,None,None,1461500000,1728500000,115900000,USD,15000000,749300000,11700400000
None,4416500000,4416500000,None,540800000,1469700000,2010500000,2010-09-30,6290900000,1437000000,488700000,None,32700000,None,None,945600000,898000000,None,None,4871500000,1419400000,None,USD,9000000,4177000000,10707400000
None,4324900000,4324900000,None,563300000,599000000,1162300000,2009-09-30,5449700000,559900000,168400000,None,39100000,None,None,390800000,354500000,None,None,4887700000,562000000,None,USD,6500000,3878000000,9774600000
None,4645300000,4645300000,None,604500000,512900000,1117400000,2008-09-30,5737700000,459500000,144000000,None,53400000,None,None,315500000,None,None,None,5233800000,503900000,None,USD,7200000,4201000000,10383000000
None,7215013000,7215013000,None,491891000,1053945000,1545836000,2007-09-30,2196484000,1056364000,383726000,None,0,None,None,672638000,None,None,None,1142539000,1053945000,None,USD,7000000,783385000,9411497000
None,6126693000,6126693000,None,414638000,893952000,1308590000,2006-09-30,1660249000,906243000,324770000,None,0,None,None,564259000,None,None,None,766297000,893952000,None,USD,6500000,3167000000,7786942000
