accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,28702000000,39110000000,39110000000,510000000,3181850000,29767000000,None,6920000000,31230000000,None,2024-12-31,16032000000,9480000000,9480000000,23426000000,None,41456000000,None,None,34160000000,45530000000,None,None,None,USD,158834000000,77142000000,11650000000,None,387609000000,127926000000,95034000000,207441000000,259683000000,112407000000,178307000000,None
None,27709000000,38774000000,38774000000,544000000,3399900000,34591000000,None,5288000000,36461000000,None,2023-12-31,16660000000,10253000000,10253000000,26019000000,None,48544000000,None,None,32861000000,44340000000,None,None,None,USD,165915000000,81639000000,10009000000,4912000000,406270000000,134115000000,95467000000,217908000000,272155000000,122441000000,186607000000,None
None,27643000000,40246000000,40246000000,584000000,3705250000,42632000000,None,4620000000,39540000000,None,2022-12-31,16039000000,9662000000,9662000000,31894000000,None,51532000000,None,None,54258000000,64809000000,None,None,198642000000,USD,169482000000,83795000000,9001000000,23864000000,443024000000,165938000000,121311000000,250427000000,277086000000,129116000000,190472000000,None
None,27507000000,36970000000,36970000000,641000000,3903400000,34136000000,None,4080000000,34945000000,None,2021-12-31,14920000000,9773000000,9773000000,25258000000,None,57499000000,None,None,31592000000,49939000000,None,1000000,194932000000,USD,153026000000,89086000000,8218000000,-5994000000,404379000000,128765000000,95547000000,229053000000,275614000000,133506000000,171966000000,None
None,28420000000,31830000000,31830000000,651000000,3897800000,22664000000,None,12756000000,21967000000,None,2020-12-31,14039000000,8671000000,8671000000,19457000000,None,66838000000,None,None,18700000000,28139000000,None,None,210847000000,USD,142616000000,108014000000,16899000000,-12920000000,379268000000,91954000000,73708000000,220731000000,287314000000,147023000000,155310000000,None
None,30537000000,18055000000,18055000000,657000000,4056250000,29497000000,None,10108000000,30429000000,None,2019-12-31,14205000000,9281000000,9281000000,24071000000,None,55779000000,None,25797000000,20134000000,28370000000,None,-1000000,238349000000,USD,172431000000,96424000000,15064000000,-13491000000,404336000000,92689000000,79624000000,213873000000,311647000000,134249000000,186476000000,None
None,14026000000,26741000000,26741000000,685000000,4174350000,30351000000,None,9112000000,27541000000,None,2018-12-31,13716000000,9870000000,9870000000,21117000000,None,53686000000,None,28403000000,22083000000,29831000000,None,None,223175000000,USD,182606000000,76824000000,10134000000,None,399194000000,97482000000,77813000000,196660000000,301712000000,118847000000,198646000000,None
None,15524000000,20312000000,20312000000,696000000,4149500000,33196000000,None,10711000000,30721000000,None,2017-12-31,13662000000,10518000000,10518000000,25223000000,None,59430000000,None,35149000000,19148000000,27526000000,None,None,226380000000,USD,177645000000,85665000000,11795000000,None,407097000000,95404000000,79767000000,209285000000,311693000000,129518000000,194356000000,None
None,14859000000,19130000000,19130000000,683000000,3945850000,28069000000,None,8361000000,25766000000,None,2016-12-31,12987000000,10980000000,10980000000,21775000000,None,69256000000,None,39207000000,19898000000,29587000000,None,None,236098000000,USD,175566000000,92476000000,9484000000,None,411275000000,86569000000,73825000000,222764000000,324706000000,148939000000,186646000000,None
None,None,31752000000,31752000000,546000000,3196900000,23795000000,None,4100000000,22714000000,None,2015-12-31,2010000000,4273000000,4273000000,15822000000,None,47195000000,None,33566000000,23070000000,33390000000,None,None,182838000000,USD,180100000000,58379000000,5530000000,None,340157000000,93358000000,70948000000,176036000000,246799000000,105088000000,162876000000,None
