capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
19601000000,-38434000000,-15155000000,None,None,1273000000,None,None,None,26872000000,8668000000,8668000000,None,2024-12-31,29922000000,54687000000,None,None,None,None,None,None,None,None,None,-14687000000,None,None,USD
22993000000,-38235000000,-17734000000,None,None,6325000000,None,None,None,23106000000,8393000000,8393000000,None,2023-12-31,32627000000,54191000000,None,None,None,None,None,None,None,None,None,-15506000000,None,None,USD
22600000000,-41954000000,-22448000000,None,None,-8360000000,None,None,None,22393000000,7405000000,7405000000,None,2022-12-31,64814000000,68413000000,None,None,None,None,None,None,None,None,None,-19030000000,None,None,USD
19000000000,-34664000000,-4760000000,None,None,-7319000000,None,None,None,26921000000,6253000000,6253000000,None,2021-12-31,29829000000,45105000000,None,None,None,None,None,None,None,None,None,-3174000000,None,None,USD
16585000000,-7224000000,-13278000000,None,None,4477000000,None,None,None,52444000000,7424000000,7424000000,None,2020-12-31,-26966000000,34105000000,None,None,None,None,None,None,None,None,None,-2084000000,None,None,USD
22971000000,-35211000000,-15779000000,None,None,-2635000000,None,None,None,28701000000,15198000000,15198000000,None,2019-12-31,25486000000,42179000000,None,None,None,None,None,None,None,None,None,-11362000000,None,None,USD
23011000000,-32548000000,-13659000000,None,None,2823000000,None,None,None,21704000000,15675000000,15675000000,None,2018-12-31,35621000000,53085000000,None,None,None,None,None,None,None,None,None,-5062000000,None,None,USD
20845000000,-27086000000,-8029000000,None,None,-2079000000,None,None,None,26223000000,10877000000,10877000000,None,2017-12-31,18130000000,35650000000,None,None,None,None,None,None,None,None,None,-717000000,None,None,USD
22116000000,-771000000,-30963000000,None,None,-5658000000,None,None,None,24993000000,9677000000,9677000000,None,2016-12-31,4777000000,20615000000,None,None,None,None,None,None,None,None,None,-160000000,None,None,USD
26131000000,3812000000,-22407000000,None,None,2827000000,None,None,None,26714000000,9370000000,9370000000,None,2015-12-31,2200000000,29810000000,None,None,None,None,None,None,None,None,None,-448000000,None,None,USD
31854000000,-12790000000,-19657000000,None,None,7958000000,None,None,None,24499000000,9444000000,9444000000,None,2014-12-31,14730000000,45044000000,None,None,None,None,None,None,None,None,None,-3328000000,None,None,USD
40145000000,-8978000000,-40146000000,None,None,608000000,None,None,None,21509000000,7198000000,7198000000,None,2013-12-31,16526000000,40440000000,None,None,None,None,None,None,None,None,None,-5565000000,None,None,USD
32576000000,-10630000000,-28453000000,None,None,-1746000000,None,None,None,14615000000,7390000000,7390000000,None,2012-12-31,26960000000,46140000000,None,None,None,None,None,None,None,None,None,-1526000000,None,None,USD
26301000000,-18131000000,-20443000000,None,None,-1930000000,None,None,None,13228000000,6877000000,6877000000,None,2011-12-31,31093000000,36771000000,None,None,None,None,None,None,None,None,None,-2035000000,None,None,USD
26940000000,-1467000000,-21972000000,None,None,-2888000000,None,None,None,15595000000,9979000000,9979000000,None,2010-12-31,20474000000,27350000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
26516000000,-829000000,-26234000000,None,None,-7138000000,None,None,None,14458000000,10717000000,10717000000,None,2009-12-31,12718000000,21488000000,None,None,None,None,None,None,None,None,None,19715000000,None,None,USD
35065000000,-8023000000,-19590000000,None,None,8025000000,None,None,None,13656000000,9516000000,9516000000,None,2008-12-31,26476000000,43918000000,None,None,None,None,None,None,None,None,None,-3573000000,None,None,USD
24576000000,-18158000000,-14570000000,None,None,None,None,None,None,13180000000,9001000000,9001000000,None,2007-12-31,31926000000,34461000000,None,None,None,None,None,None,None,None,None,-4387000000,None,None,USD
22922000000,-12445000000,-20861000000,None,None,None,None,None,None,12615000000,8142000000,8142000000,None,2006-12-31,26311000000,31696000000,None,None,None,None,None,None,None,None,None,-8047000000,None,None,USD
15904000000,-17827000000,-8383000000,None,None,None,None,None,None,11981000000,10556000000,10556000000,None,2005-12-31,26261000000,30113000000,None,None,None,None,None,None,None,None,None,-4988000000,None,None,USD
