comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,238371000000,238371000000,None,26872000000,34780000000,61652000000,2024-12-31,45941000000,29922000000,13401000000,None,4858000000,2372000000,None,16093000000,16521000000,-2486000000,None,15949000000,29992000000,None,USD,1099000000,12439000000,284312000000
None,269413000000,269413000000,None,23106000000,37255000000,60361000000,2023-12-31,47207000000,32627000000,12991000000,None,4628000000,2163000000,None,19359000000,29571000000,-1789000000,None,16470000000,30737000000,None,USD,1287000000,13433000000,316620000000
None,302535000000,302535000000,None,22393000000,70161000000,92554000000,2022-12-31,78779000000,64815000000,21941000000,None,5346000000,398000000,None,42309000000,42873000000,-2783000000,None,15670000000,63109000000,None,USD,1075000000,12883000000,381314000000
None,225655000000,225655000000,None,23071000000,33435000000,56506000000,2021-12-31,35849000000,29829000000,9199000000,None,3606000000,852000000,None,20101000000,20630000000,-2755000000,None,13566000000,22283000000,None,USD,815000000,11328000000,261504000000
None,193538000000,193538000000,None,24981000000,-22757000000,2224000000,2020-12-31,-12995000000,-26967000000,-5433000000,None,4210000000,869000000,None,-21680000000,-21534000000,-3220000000,None,12535000000,-25530000000,None,USD,907000000,9881000000,180543000000
None,308122000000,308122000000,None,25108000000,30043000000,55151000000,2019-12-31,36755000000,25485000000,9053000000,None,4558000000,1078000000,None,15843000000,16432000000,-3480000000,None,13809000000,22946000000,None,USD,962000000,10493000000,344877000000
None,343504000000,343504000000,None,21704000000,39197000000,60901000000,2018-12-31,44875000000,35621000000,11715000000,None,3576000000,876000000,None,23352000000,23906000000,-2700000000,None,13686000000,31189000000,None,USD,986000000,11360000000,388379000000
None,276322000000,276322000000,None,26223000000,22058000000,48281000000,2017-12-31,28857000000,18130000000,4695000000,None,3928000000,904000000,None,12977000000,13435000000,-3024000000,None,13376000000,15481000000,None,USD,922000000,10509000000,305179000000
None,216001000000,216001000000,None,24993000000,9107000000,34100000000,2016-12-31,17590000000,5606000000,829000000,None,3501000000,451000000,None,4575000000,4777000000,-3050000000,None,15223000000,2367000000,None,USD,1014000000,12101000000,233591000000
None,249453000000,249453000000,None,26714000000,3972000000,30686000000,2015-12-31,15507000000,2047000000,-153000000,None,1925000000,None,None,1939000000,2200000000,None,None,18768000000,-3261000000,None,USD,1093000000,11956000000,264960000000
None,381815000000,381815000000,None,24499000000,30113000000,54612000000,2014-12-31,39290000000,28314000000,13686000000,None,1799000000,None,None,15052000000,14730000000,None,None,19411000000,19879000000,None,USD,1222000000,13965000000,421105000000
None,403094000000,403094000000,None,21509000000,35152000000,56661000000,2013-12-31,48141000000,33592000000,17066000000,None,1560000000,None,None,16371000000,None,None,None,21271000000,26870000000,None,USD,1318000000,14675000000,451235000000
None,410555000000,410555000000,None,14615000000,52059000000,66674000000,2012-12-31,56598000000,50512000000,23449000000,None,1547000000,None,None,26592000000,None,None,None,18876000000,37722000000,None,USD,1314000000,14616000000,467153000000
None,409825000000,409825000000,None,13228000000,57005000000,70233000000,2011-12-31,60346000000,55543000000,24475000000,None,1462000000,None,None,30918000000,None,None,None,17748000000,42598000000,None,USD,1125000000,14335000000,470171000000
None,323229000000,323229000000,None,15595000000,36353000000,51948000000,2010-12-31,44827000000,35344000000,14870000000,None,1009000000,None,None,20127000000,None,None,None,18583000000,26244000000,None,USD,1019000000,15528000000,368056000000
None,228376000000,228376000000,None,14458000000,21562000000,36020000000,2009-12-31,56753000000,21020000000,8302000000,None,542000000,None,None,12518000000,None,None,None,35191000000,21562000000,None,USD,1125000000,17430000000,285129000000
None,385152000000,385152000000,None,13656000000,52001000000,65657000000,2008-12-31,80655000000,50820000000,24344000000,None,1181000000,None,None,26277000000,None,None,None,33787000000,46868000000,None,USD,3225000000,17028000000,465807000000
None,298409000000,298409000000,None,13180000000,40752000000,53932000000,2007-12-31,57373000000,50576000000,18650000000,None,1590000000,None,None,31331000000,None,None,None,16621000000,40752000000,None,USD,1712000000,16621000000,355782000000
None,264551000000,264551000000,None,12615000000,37678000000,50293000000,2006-12-31,54294000000,44628000000,18317000000,None,279000000,None,None,25442000000,None,None,None,16616000000,37678000000,None,USD,1562000000,16616000000,318845000000
None,252622000000,252622000000,None,11981000000,37341000000,49322000000,2005-12-31,54109000000,44567000000,17999000000,None,103000000,None,None,25311000000,None,None,None,16768000000,37341000000,None,USD,588000000,16768000000,306731000000
