accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,1906000000,7441000000,7441000000,2526000000,2502800000,7551000000,None,4209000000,10629000000,None,2024-12-31,43384000000,22629000000,22629000000,9431000000,None,11791000000,None,3259000000,14601000000,16007000000,None,2903000000,None,EUR,None,17906000000,4470000000,486000000,132798000000,42588000000,29162000000,54941000000,90210000000,25779000000,77507000000,None
None,2030000000,8710000000,8710000000,2530000000,2512800000,7328000000,None,2045000000,11040000000,None,2023-12-31,49404000000,24319000000,24319000000,9666000000,None,14347000000,None,2666000000,1239000000,13674000000,None,2841000000,None,EUR,67499000000,18697000000,2595000000,270000000,126464000000,30655000000,24194000000,52111000000,95809000000,27917000000,74040000000,None
None,2181000000,12736000000,12736000000,2522000000,2503800000,6813000000,None,4174000000,10746000000,None,2022-12-31,49892000000,21640000000,21640000000,8960000000,None,14857000000,None,9153000000,1584000000,11862000000,None,674000000,11684000000,EUR,66734000000,21212000000,4451000000,664000000,126722000000,34026000000,23964000000,51570000000,92696000000,27606000000,74784000000,None
None,2108000000,10098000000,10098000000,2527000000,2505000000,6180000000,None,3183000000,9787000000,None,2021-12-31,48056000000,21407000000,21407000000,8715000000,None,17123000000,None,7975000000,1964000000,11035000000,None,577000000,11976000000,EUR,63013000000,22414000000,3452000000,1054000000,120242000000,30564000000,21295000000,51211000000,89678000000,29916000000,68681000000,None
None,1163000000,13915000000,13915000000,2518000000,2507200000,5295000000,None,2767000000,9953000000,None,2020-12-31,44364000000,18341000000,18341000000,8352000000,None,19745000000,None,7147000000,1483000000,10098000000,None,387000000,10563000000,EUR,60149000000,23675000000,2999000000,1054000000,114413000000,33703000000,19248000000,51161000000,80710000000,31913000000,63106000000,None
0,1248000000,9427000000,9427000000,2508000000,1257100000,5313000000,None,4554000000,10083000000,None,2019-12-31,44519000000,16509000000,16509000000,7994000000,None,20131000000,None,5266000000,1006000000,6459000000,None,508000000,11017000000,EUR,51780000000,25983000000,4815000000,426000000,112630000000,28936000000,20387000000,53400000000,83694000000,33013000000,59056000000,-9000000
0,0,6925000000,6925000000,2495000000,2510400000,5041000000,None,2633000000,9345000000,None,2018-12-31,44235000000,21889000000,21889000000,7477000000,None,22007000000,None,5531000000,701000000,5491000000,None,963000000,9651000000,EUR,53106000000,24704000000,2633000000,199000000,111408000000,24647000000,17376000000,52373000000,86761000000,34997000000,58876000000,-153000000
0,0,10315000000,10315000000,2508000000,2513800000,4633000000,None,1275000000,8675000000,None,2017-12-31,40264000000,13080000000,13080000000,6818000000,None,14326000000,None,5381000000,546000000,8375000000,None,1026000000,9579000000,EUR,52862000000,15601000000,1275000000,77000000,99813000000,26354000000,15463000000,41574000000,73459000000,26111000000,58070000000,-999999999999999999.99
0,0,10273000000,10273000000,2584000000,2573200000,4297000000,None,1764000000,9050000000,None,2016-12-31,40287000000,10879000000,10879000000,6892000000,None,16815000000,None,4802000000,364000000,9239000000,None,1378000000,10019000000,EUR,51477000000,18579000000,1764000000,108000000,104672000000,26687000000,16434000000,46948000000,77985000000,30514000000,57554000000,-1503000000
0,0,9148000000,9148000000,2611000000,2612400000,3817000000,None,4423498430.32,8853000000,None,2015-12-31,39557000000,12026000000,12026000000,6516000000,None,12974000000,None,6344520861.85,313000000,8528000000,None,0,9943000000,EUR,52010000000,16554000000,3436000000,98000000,102321000000,24928000000,16825000000,44111000000,77393000000,27286000000,58049000000,-298000000
0,0,7341000000,7341000000,2639000000,2631600000,3651000000,None,2131769695.25,9010000000,None,2014-12-31,39197000000,14543000000,14543000000,6562000000,None,28444762544.67,None,7029174161.23,296000000,6895000000,None,0,22274160398.77,EUR,52553000000,14814000000,1538000000,218000000,97392000000,23427000000,13032000000,41124000000,73965000000,28092000000,56120000000,-1486943003.33
None,None,8257000000,8257000000,2649000000,2646200000,3003000000,None,14590000000,8854000000,None,2013-12-31,37134000000,15395000000,15395000000,6352000000,None,14349451000,None,4314000000,264000000,5768000000,None,None,14029778000,EUR,53072000000,14590000000,4176000000,185000000,96055000000,23912000000,13928000000,39022000000,72143000000,25094000000,56904000000,-336208000
None,None,6381000000,6381000000,2653000000,2639000000,3190000000,None,None,9604000000,None,2012-12-31,38073000000,20192000000,20192000000,6379000000,None,14134073000,None,None,258000000,5923000000,None,None,13948151000,EUR,52896000000,14531000000,3812000000,178000000,100409000000,22800000000,13860000000,42943000000,77609000000,29083000000,57332000000,-272950000
None,None,1929000000,1929000000,2682000000,2643400000,3183000000,None,None,10187000000,None,2011-12-31,38582000000,23639000000,23639000000,6051000000,None,16214953000,None,None,256000000,7441000000,None,None,13945975000,EUR,53450000000,15439000000,2940000000,173000000,100668000000,20791000000,13564000000,44295000000,79877000000,30731000000,56203000000,-1210381000
