capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
3195000000,-5763000000,-4407000000,None,None,-477000000,None,None,None,3586000000,4704000000,4704000000,None,2024-12-31,5496000000,9081000000,None,None,None,None,None,None,None,None,None,-302000000,None,None,EUR
1619000000,-8052000000,-6200000000,None,None,-840000000,None,None,None,3776000000,4454000000,4454000000,None,2023-12-31,5400000000,10258000000,None,None,None,None,None,None,None,None,None,-593000000,None,None,EUR
2201000000,-5821000000,-2075000000,None,None,-927000000,None,None,None,3420000000,4168000000,4168000000,None,2022-12-31,8371000000,10526000000,None,None,None,None,None,None,None,None,None,-497000000,None,None,EUR
2043000000,-7056000000,-7298000000,None,None,-357000000,None,None,None,3351000000,4008000000,4008000000,None,2021-12-31,6223000000,10522000000,None,None,None,None,None,None,None,None,None,-382000000,None,None,EUR
2083000000,-6485000000,3588000000,None,None,-593000000,None,None,None,3671000000,3937000000,3937000000,None,2020-12-31,12294000000,7418000000,None,None,None,None,None,None,None,None,None,-822000000,None,None,EUR
1787000000,-4193000000,-1212000000,0,0,-547000000,None,None,0,7445000000,3834000000,3834000000,None,2019-12-31,2754000000,7715000000,None,None,None,None,None,None,None,None,None,-9000000,None,None,EUR
1977000000,3934000000,-12872000000,0,0,-701000000,None,None,0,4279000000,3773000000,3773000000,None,2018-12-31,4306000000,5547000000,None,None,None,None,None,None,None,None,None,-1101000000,None,None,EUR
1956000000,-7902000000,639000000,0,0,-145000000,None,None,0,3686000000,3710000000,3710000000,None,2017-12-31,8434000000,7379000000,None,None,None,None,None,None,None,None,None,-2162000000,None,None,EUR
2083000000,-4101000000,-2511000000,0,0,-323000000,None,None,0,3301000000,3759000000,3759000000,None,2016-12-31,4709000000,7838000000,None,None,None,None,None,None,None,None,None,-2908000000,None,None,EUR
2772000000,-3601000000,-3257000000,0,0,-466000000,None,None,0,4276000000,3694000000,3694000000,None,2015-12-31,4287000000,8920000000,None,None,None,None,None,None,None,None,None,-1784000000,None,None,EUR
1557000000,-5180000000,-3460000000,None,None,-11000000,None,None,None,3777000000,3676000000,3676000000,None,2014-12-31,4390000000,7690000000,None,None,None,None,None,None,None,None,None,-1801000000,None,None,EUR
1398000000,-3726000000,-1273000000,None,None,-117000000,None,None,None,5569000000,3638000000,3638000000,None,2013-12-31,3717000000,6954000000,None,None,None,None,None,None,None,None,None,-1641000000,None,None,EUR
1612000000,-4351000000,-1587000000,None,None,-445000000,None,None,None,4907000000,3487000000,3487000000,None,2012-12-31,4967000000,8171000000,None,None,None,None,None,None,None,None,None,-823000000,None,None,EUR
1782000000,2893000000,-14701000000,None,None,-232000000,None,None,None,5553000000,1372000000,1372000000,None,2011-12-31,5693000000,9319000000,None,None,None,None,None,None,None,None,None,-1074000000,None,None,EUR
1573000000,-4647000000,-3383000000,None,None,-378000000,None,None,None,5129000000,3138000000,3138000000,None,2010-12-31,5467000000,9759000000,None,None,None,None,None,None,None,None,None,-321000000,None,None,EUR
1785000000,-787000000,-7287000000,None,None,-489000000,None,None,None,5011000000,2878000000,2878000000,None,2009-12-31,5265000000,8515000000,None,None,None,None,None,None,None,None,None,None,None,None,EUR
1606000000,-3809000000,-2154000000,None,None,-84000000,None,None,None,5985000000,2708000000,2708000000,None,2008-12-31,3851000000,8523000000,None,None,None,None,None,None,None,None,None,-1227000000,None,None,EUR
1612480370,-4827838930,-1718790220,None,None,-89163100,None,None,None,4671460570,2367623240,2367623240,None,2007-12-31,5271596820,7117272990,None,None,None,None,None,None,None,None,None,-1806000000,None,None,EUR
1454007110,-5853912940,-790270670,None,None,-372025790,None,None,None,6113042920,2041974550,2041974550,None,2006-12-31,4005907030,6604026040,None,None,None,None,None,None,None,None,None,None,None,None,EUR
1142351430,-5980247730,-1100135930,None,None,-585951140,None,None,None,5946475330,1612632100,1612632100,None,2005-12-31,2255996320,6393115320,None,None,None,None,None,None,None,None,None,None,None,None,EUR
