comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,13205000000,13205000000,None,3586000000,7447000000,11033000000,2024-12-31,31081000000,6758000000,1204000000,None,622575000,413000000,None,5560000000,5554000000,-560000000,None,23829000000,7252000000,None,EUR,7394000000,9183000000,44286000000
None,12628000000,12628000000,None,4429000000,6961000000,11390000000,2023-12-31,28990000000,6115000000,1017000000,None,512817081,546000000,None,5400000000,5436000000,-639000000,None,22030000000,6960000000,None,EUR,6507000000,10692000000,41618000000
None,11882000000,11882000000,None,3108000000,10402000000,13510000000,2022-12-31,28679000000,9992000000,1909000000,None,384796000,206000000,None,8371000000,6833000000,-234000000,None,18517000000,10162000000,None,EUR,6501000000,10492000000,40561000000
None,12255000000,12255000000,None,3351000000,8187000000,11538000000,2021-12-31,26920000000,7837000000,1558000000,None,377370000,40000000,None,6223000000,6279000000,-328000000,None,18794000000,8126000000,None,EUR,5692000000,9555000000,39175000000
None,12159000000,12159000000,None,3671000000,14212000000,17883000000,2020-12-31,25210000000,14137000000,1807000000,None,430837000,53000000,None,12294000000,12350000000,-337000000,None,11097000000,14113000000,None,EUR,5530000000,1000000,37369000000
None,11979000000,11979000000,None,7445000000,3217000000,10662000000,2019-12-31,25652000000,3007000000,121000000,None,536275000,141000000,None,2754000000,2938000000,-303000000,None,22601000000,3051000000,0,EUR,6020000000,1000000,37631000000
None,11435000000,11435000000,None,4279000000,4900000000,9179000000,2018-12-31,24242000000,4904000000,481000000,None,486483123,164000000,None,4306000000,4423000000,-271000000,None,19566000000,4676000000,0,EUR,5894000000,75000000,35677000000
None,11613000000,11613000000,None,3686000000,5951000000,9637000000,2017-12-31,24608000000,5616000000,1722000000,None,333432000,147000000,None,8416000000,3912000000,-273000000,None,18804000000,5804000000,0,EUR,5472000000,106000000,36221000000
None,10701000000,10701000000,None,3301000000,6599000000,9900000000,2016-12-31,23995000000,5811000000,1325000000,None,399502137,68000000,None,4709000000,4486000000,-856000000,None,17464000000,6531000000,0,EUR,5172000000,106000000,34696000000
None,10919000000,10919000000,None,4276000000,5802000000,10078000000,2015-12-31,23942000000,5221000000,709000000,None,423379749,228000000,None,4287000000,6276360036.98,None,None,18318000000,5624000000,0,EUR,5082000000,114000000,34861000000
None,10230000000,10230000000,None,3280000000,6256000000,9536000000,2014-12-31,21769000000,5606000000,1214000000,None,451825672,None,None,4390000000,4392000000,None,None,15705000000,6064000000,None,EUR,4667000000,542000000,31999000000
None,10302000000,10302000000,None,5095000000,5093000000,10188000000,2013-12-31,20989000000,4523000000,726000000,None,456999958,None,None,3716000000,None,None,None,16007000000,4982000000,None,EUR,4605000000,495000000,31291000000
None,11098000000,11098000000,None,4907000000,6523000000,11430000000,2012-12-31,24859000000,6165000000,1108000000,None,483402000,None,None,4888000000,None,None,None,18429000000,6430000000,None,EUR,4905000000,182000000,35957000000
None,10865000000,10865000000,None,5553000000,6001000000,11554000000,2011-12-31,24193000000,6327000000,440000000,None,503294588,None,None,5646000000,None,None,None,18332000000,5861000000,None,EUR,4788000000,28000000,35058000000
None,9398000000,9398000000,None,5129000000,6641000000,11770000000,2010-12-31,24638000000,7151000000,1430000000,None,391005258,None,None,5467000000,None,None,None,18103000000,6535000000,None,EUR,4547000000,582000000,34036000000
None,7880000000,7880000000,None,5011000000,6390000000,11401000000,2009-12-31,22869000000,6880000000,1364000000,None,300511000,None,None,5265000000,None,None,None,16503000000,6366000000,None,EUR,4583000000,17066546000,30749000000
None,7337000000,7337000000,None,5985000000,4497000000,10482000000,2008-12-31,21480000000,4854000000,682000000,None,318819086,None,None,3851000000,None,None,None,17086000000,4394000000,None,EUR,4575000000,16345081000,28817000000
None,7571000000,7571000000,None,4664000000,6101000000,10765000000,2007-12-31,21636000000,6218000000,687000000,None,278468000,None,None,5263000000,None,None,None,15725000000,5911000000,None,EUR,4537000000,7873101730,29207000000
None,7586750000,7586750000,None,6113043000,6003935000,12116978000,2006-12-31,21902545000,4806028000,800121000,None,358521529,None,None,4005907000,None,None,None,16173651000,5728894000,None,EUR,4430213000,8020148650,29489295000
None,7559952000,7559952000,None,5946475000,5720201000,11666676000,2005-12-31,20931289000,2733031000,477035000,None,464696119,None,None,2255996000,None,None,None,16182045000,4749244000,None,EUR,4040868000,8243842840,28491241000
