accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,2980956000000,2980956000000,881357000000,6075064000,2100144000000,None,2131404000000,1943184000000,None,2025-03-31,1508721000000,2920260000000,2920260000000,1310770000000,None,2066842000000,None,17451452000000,752753000000,2386562000000,None,925917000000,None,JPY,6678168000000,4198246000000,2131404000000,467325000000,35293173000000,7454988000000,10688788000000,26783022000000,27838185000000,16094234000000,8179745000000,None
None,None,1907113000000,1907113000000,881357000000,6176655000,2064905000000,None,2030316000000,2158196000000,None,2024-03-31,1487100000000,2543715000000,2543715000000,1518644000000,None,2058117000000,None,17880514000000,769886000000,2274183000000,None,755221000000,None,JPY,6002407000000,4088433000000,2030316000000,422967000000,34107490000000,6776806000000,10192045000000,26351385000000,27330684000000,16159340000000,7587177000000,None
None,192952000000,1480900000000,1480900000000,880365000000,6206885000,1866101000000,None,2102876000000,1770948000000,None,2023-03-31,1275112000000,2125724000000,2125724000000,1468042000000,None,1767696000000,None,19603292000000,648828000000,2033495000000,None,12890871000000,1822927000000,JPY,5092442000000,4063524000000,2102876000000,353814000000,31154095000000,5722532000000,9318409000000,24496945000000,25431563000000,15178536000000,6598537000000,None
None,220113000000,2049636000000,2049636000000,880365000000,6256300000,1843338000000,None,2147962000000,1621629000000,None,2022-03-31,952895000000,1792149000000,1792149000000,874007000000,None,1203646000000,None,19409907000000,522669000000,1781912000000,None,12148769000000,1526643000000,JPY,4170417000000,3571721000000,2147962000000,415835000000,29651955000000,5483776000000,8765665000000,23945373000000,24168179000000,15179708000000,5653804000000,None
None,363621000000,1786982000000,1786982000000,880214000000,6251730000,1596563000000,None,1319567000000,1365493000000,None,2021-03-31,726109000000,1453602000000,1453602000000,636668000000,None,773294000000,None,14263995000000,494329000000,1428964000000,None,11225344000000,1362528000000,JPY,2914503000000,2650688000000,1480515000000,431545000000,27507843000000,4715017000000,7353604000000,20783504000000,22792826000000,13429900000000,6680343000000,None
None,383778000000,1512523000000,1512523000000,880214000000,6311275000,1310536000000,None,839983000000,1194334000000,None,2020-03-31,690929000000,1370144000000,1370144000000,559779000000,None,592832000000,None,12734132000000,496719000000,1353511000000,None,10177603000000,1301254000000,JPY,1949697000000,2050642000000,991910000000,407829000000,24967066000000,4171184000000,6149340000000,18972590000000,20795882000000,12823250000000,4874438000000,-232503000000
0,0,1470073000000,1470073000000,874291000000,6473230000,492124000000,None,791079000000,1289422000000,None,2019-03-31,768552000000,917966000000,917966000000,653278000000,None,532760000000,None,11724651000000,524738000000,2359072000000,None,8972255000000,777053000000,JPY,2320586000000,1359451000000,791079000000,1309101000000,20981586000000,5246612000000,6079815000000,16536095000000,15734974000000,10456280000000,3746377000000,-104704000000
0,0,1586329000000,1586329000000,865678000000,6462100000,468550000000,None,721615000000,1203485000000,None,2018-03-31,530492000000,527168000000,527168000000,692937000000,None,584005000000,None,10756058000000,516744000000,2125225000000,None,8320812000000,739470000000,JPY,1440387000000,1345066000000,721615000000,1176601000000,19065538000000,5176096000000,5620541000000,15409171000000,13889442000000,9788630000000,2967366000000,-4530000000
0,0,960142000000,960142000000,860645000000,6441715000,539900000000,None,518079000000,1177443000000,None,2017-03-31,522538000000,584185000000,584185000000,640835000000,None,657390000000,None,10111793000000,525861000000,1986632000000,None,7780336000000,758199000000,JPY,984368000000,1199541000000,518079000000,1051441000000,17660556000000,4355722000000,5221739000000,14513076000000,13304834000000,9291337000000,2497246000000,-4335000000
0,0,983612000000,983612000000,858867000000,6289415000,550964000000,None,0,1059650000000,None,2016-03-31,606290000000,615754000000,615754000000,683146000000,None,531195000000,None,0,523922000000,1941308000000,None,0,820818000000,JPY,936331000000,893545000000,336940000000,946397000000,16673390000000,4196727000000,4830750000000,13541502000000,12476663000000,8710752000000,2463340000000,-4259000000
0,0,949413000000,949413000000,707038000000,5572120000,622215000000,None,0.05,1131849000000,None,2015-03-31,561255000000,642361000000,642361000000,665432000000,None,682620000000,None,2.84,514476000000,1930471000000,None,0,739285000000,JPY,813765000000,933612000000,221525000000,936731000000,15834331000000,4197901000000,4745590000000,12900614000000,11636430000000,8155024000000,2317077000000,-4220000000
None,None,1046466000000,1046466000000,646654000000,5135120000,712829000000,None,1311011000000,1095670000000,None,2014-03-31,691803000000,675663000000,675663000000,733943000000,None,8901224000,None,7920023000000,496241000000,1721166000000,None,None,7283065000,JPY,940262000000,1294402000000,377754000000,832566000000,15333720000000,4204886000000,4783614000000,12546464000000,11128834000000,7762850000000,2258137000000,-41600000
None,None,826361000000,826361000000,630923000000,5054507000,572102000000,None,None,924634000000,None,2013-03-31,643243000000,694621000000,694621000000,710054000000,None,9966313000,None,None,487887000000,1566277000000,None,None,9149851000,JPY,1094775000000,1182610000000,244182000000,697597000000,14211033000000,3646533000000,4315089000000,11536032000000,10564500000000,7220943000000,2192262000000,-47494000
None,None,894576000000,894576000000,630923000000,5017795000,758680000000,None,None,971959000000,None,2012-03-31,576758000000,503699000000,503699000000,707052000000,None,9249193000,None,None,500462000000,1536407000000,None,None,11297148000,JPY,1084462000000,1172587000000,410361000000,680913000000,13295667000000,3754962000000,4529981000000,10785546000000,9540705000000,6255565000000,2028891000000,-56267000
None,None,1014412000000,1014412000000,7623502000,5017795000,1806312000000,None,None,958871000000,None,2011-03-31,469005000000,391122000000,391122000000,704043000000,None,9814343000,None,None,520549000000,438808000000,None,None,11175302000,JPY,1566274000000,975586000000,163351000000,646171000000,12911122000000,3844046000000,4135299000000,9955220000000,9067076000000,5819921000000,2547987000000,-56428000
None,None,1191608000000,1191608000000,6753983000,5017600000,1003197000000,None,None,891625000000,None,2010-03-31,438869000000,378917000000,378917000000,645455000000,None,9895150000,None,None,824691000000,1193458000000,None,None,10791767000,JPY,1851004000000,1208814000000,284607000000,579493000000,12866114000000,4132872000000,4059925000000,9580559000000,8733242000000,5520634000000,2965905000000,-50054000
None,None,660789000000,660789000000,6436378000,5017495000,1597625000000,None,None,853454000000,None,2009-03-31,443958000000,396348000000,396348000000,813068000000,None,6736194000,None,None,826412000000,389077000000,None,None,11998602000,JPY,1916951000000,1111302000000,451155000000,466912000000,12013511000000,3620635000000,3810900000000,8796909000000,8392876000000,4986009000000,2964653000000,-47490000
