capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
647527000000,-298243000000,-930120000000,None,None,199916000000,None,None,None,1152987000000,115253000000,115253000000,None,2025-03-31,1473726000000,2321675000000,None,None,None,None,None,None,None,None,None,-285548000000,None,None,JPY
623946000000,-210709000000,-818886000000,None,None,75641000000,None,None,None,1144981000000,98620000000,98620000000,None,2024-03-31,970573000000,1373213000000,None,None,None,None,None,None,None,None,None,-202974000000,None,None,JPY
613635000000,84300000000,-1052664000000,None,None,-560382000000,None,None,None,1004590000000,86568000000,86568000000,None,2023-03-31,1180313000000,314691000000,None,None,None,None,None,None,None,None,None,-99248000000,None,None,JPY
441096000000,-336578000000,-728780000000,None,None,-194624000000,None,None,None,835233000000,74342000000,74342000000,None,2022-03-31,1117503000000,1233643000000,None,None,None,None,None,None,None,None,None,-88624000000,None,None,JPY
512239000000,666967000000,-1781516000000,None,None,-57007000000,None,None,None,663737000000,61288000000,61288000000,None,2021-03-31,1191375000000,1350150000000,None,None,None,None,None,None,None,None,None,-366000000,None,None,JPY
439761000000,65658000000,-1352278000000,None,None,40315000000,None,None,None,746451000000,49574000000,49574000000,None,2020-03-31,622260000000,1349745000000,None,None,None,None,None,None,None,None,None,-200211000000,None,None,JPY
312644000000,-122884000000,-1307445000000,0,0,30455000000,None,None,0,722519000000,38067000000,38067000000,None,2019-03-31,966550000000,1258738000000,None,None,None,None,None,None,None,None,None,-100177000000,None,None,JPY
262989000000,246456000000,-822197000000,0,0,-51508000000,None,None,0,720718000000,28490000000,28490000000,None,2018-03-31,547279000000,1254972000000,None,None,None,None,None,None,None,None,None,-198000000,None,None,JPY
333509000000,452302000000,-1253973000000,0,0,11199000000,None,None,0,624553000000,25301000000,25301000000,None,2017-03-31,127561000000,809262000000,None,None,None,None,None,None,None,None,None,-114000000,None,None,JPY
375411000000,380122000000,-1030403000000,0,0,-57804000000,None,None,0,696678000000,12751000000,12751000000,None,2016-03-31,209715000000,749089000000,None,None,None,None,None,None,None,None,None,301708000000,None,None,JPY
215916000000,-263195000000,-639636000000,0,0,113485000000,None,None,0,627565000000,13160000000,13160000000,None,2015-03-31,-49004000000,754640000000,None,None,None,None,None,None,None,None,None,0.10,None,None,JPY
283457000000,207877000000,-710502000000,None,None,20248000000,None,None,None,662368000000,25643000000,25643000000,None,2014-03-31,-68841000000,664116000000,None,None,None,None,None,None,None,None,None,301708000000,None,None,JPY
326490000000,88528000000,-705280000000,None,None,56987000000,None,None,None,538605000000,25057000000,25057000000,None,2013-03-31,104176000000,481512000000,None,None,None,None,None,None,None,None,None,None,None,None,JPY
382549000000,257336000000,-882886000000,None,None,29778000000,None,None,None,319594000000,25078000000,25078000000,None,2012-03-31,-398425000000,519539000000,None,None,None,None,None,None,None,None,None,None,None,None,JPY
253688000000,-10112000000,-714439000000,None,None,-112089000000,None,None,None,325366000000,25098000000,25098000000,None,2011-03-31,-220326000000,616245000000,None,None,None,None,None,None,None,None,None,None,None,None,JPY
338050000000,365014000000,-746004000000,None,None,148584000000,None,None,None,648669000000,25085000000,25085000000,None,2010-03-31,12954000000,912907000000,None,None,None,None,None,None,None,None,None,None,None,None,JPY
496125000000,267458000000,-1081342000000,None,None,160432000000,None,None,None,405443000000,42594000000,42594000000,None,2009-03-31,-98938000000,407153000000,None,None,None,None,None,None,None,None,None,None,None,None,JPY
474552000000,505518000000,-910442000000,None,None,-140725000000,None,None,None,428010000000,25098000000,25098000000,None,2008-03-31,369435000000,757684000000,None,None,None,None,None,None,None,None,None,None,None,None,JPY
527515000000,247903000000,-715430000000,None,None,-119202000000,None,None,None,400009000000,25052000000,25052000000,None,2007-03-31,126328000000,561028000000,None,None,None,None,None,None,None,None,None,None,None,None,JPY
462452926000,359816390000,-871115832000,None,None,-164783430000,None,None,None,668432214000,24835217000,24835217000,None,2006-03-31,123587573000,399835223000,None,None,None,None,None,None,None,None,None,None,None,None,JPY
