comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,9294512000000,9294512000000,None,1152987000000,1514602000000,2667589000000,2025-03-31,3662552000000,1473726000000,313839000000,None,40876000000,50925000000,None,1141600000000,1159887000000,-10680000000,None,2255389000000,1407163000000,None,JPY,None,2256829000000,12957064000000
None,9695687000000,9695687000000,None,1144981000000,1309658000000,2454639000000,2024-03-31,3325081000000,1268662000000,288168000000,None,40996000000,37580000000,None,970573000000,980494000000,-5703000000,None,2116250000000,1208831000000,None,JPY,742772000000,1733501000000,13020768000000
None,8398931000000,8398931000000,None,1004590000000,1300894000000,2305484000000,2023-03-31,3140906000000,1274496000000,262723000000,None,26398000000,31058000000,None,1005277000000,943622000000,-27893000000,None,1957149000000,1302389000000,None,JPY,735698000000,1578039000000,11539837000000
None,7219841000000,7219841000000,None,904470000000,1132103000000,2036573000000,2022-03-31,2701672000000,1117503000000,229097000000,None,14600000000,19304000000,None,882178000000,888406000000,-84836000000,None,1499333000000,1202339000000,None,JPY,618368000000,1240764000000,9921513000000
None,6561559000000,6561559000000,None,687373000000,1012173000000,1699546000000,2021-03-31,2437801000000,997965000000,-45931000000,None,12185000000,10457000000,None,1029610000000,1191375000000,-1728000000,None,1469955000000,955255000000,None,JPY,545357000000,1208564000000,8999360000000
None,5925049000000,5925049000000,None,746451000000,810540000000,1556991000000,2020-03-31,2334836000000,799450000000,177190000000,None,11090000000,38781000000,None,582191000000,622260000000,8188000000,None,1502625000000,845459000000,None,JPY,499290000000,1124782000000,8259885000000
None,6263196000000,6263196000000,None,722519000000,1024115000000,1746634000000,2019-03-31,2402491000000,1011648000000,45098000000,None,12467000000,116549000000,None,916271000000,966550000000,9151000000,None,1508256000000,894235000000,0,JPY,481202000000,1166876000000,8665687000000
None,6230422000000,6230422000000,None,720718000000,712615000000,1433333000000,2018-03-31,2313560000000,699049000000,151770000000,None,13566000000,27854000000,None,490794000000,547279000000,6218000000,None,1583197000000,734860000000,0,JPY,458518000000,1157092000000,8543982000000
None,5663154000000,5663154000000,None,624553000000,266163000000,890716000000,2017-03-31,1940096000000,251619000000,124058000000,None,14544000000,32670000000,None,73289000000,127561000000,-3085000000,None,1651394000000,288702000000,0,JPY,447456000000,1142141000000,7603250000000
None,6074652000000,6074652000000,None,696678000000,329790000000,1026468000000,2016-03-31,2031060000000,304504000000,94789000000,None,25286000000,15363000000,None,147791000000,0,None,None,1736863000000,294197000000,0,JPY,468183000000,1273203000000,8105712000000
None,6158134000000,6158134000000,None,627565000000,63329000000,690894000000,2015-03-31,2057746000000,39729000000,88733000000,None,23600000000,None,None,-125980000000,-0.02,None,None,1989198000000,68548000000,0,JPY,464320000000,1313756000000,8215880000000
None,5956211000000,5956211000000,None,662368000000,49201000000,711569000000,2014-03-31,1811055000000,25741000000,94582000000,None,23460000000,None,None,-128369000000,-68841000000,None,None,1784560000000,26495000000,None,JPY,466030000000,1212328000000,7767266000000
None,5341396000000,5341396000000,None,584786000000,268741000000,853527000000,2013-03-31,1459455000000,242084000000,141505000000,None,26657000000,None,None,41540000000,None,None,None,1457626000000,226503000000,None,JPY,473610000000,1102645000000,6800851000000
None,4386447000000,4386447000000,None,555106000000,-58142000000,496964000000,2012-03-31,2106765000000,-83186000000,315239000000,None,22769000000,None,None,-455038000000,None,None,None,1316293000000,-65663000000,None,JPY,5260005000,1375887000000,6493212000000
None,4831363000000,4831363000000,None,575558000000,228922000000,804480000000,2011-03-31,2349910000000,205013000000,425339000000,None,23909000000,None,None,-259585000000,None,None,None,2177601000000,199821000000,None,JPY,5157250000,1501813000000,7181273000000
None,4892563000000,4892563000000,None,371004000000,49417000000,420421000000,2010-03-31,2321435000000,26912000000,13958000000,None,22505000000,None,None,-40802000000,None,None,None,1544890000000,31772000000,None,JPY,4625278000,1544890000000,7213998000000
None,5660504000000,5660504000000,None,405443000000,-150579000000,254864000000,2009-03-31,2069489000000,-174955000000,-72741000000,None,24376000000,None,None,-98938000000,None,None,None,1686030000000,-227783000000,None,JPY,5074459000,1686030000000,7729993000000
None,6290022000000,6290022000000,None,428010000000,1120371000000,1548381000000,2008-03-31,2581392000000,567134000000,203478000000,None,553237000000,None,None,369435000000,None,None,None,1714445000000,475299000000,None,JPY,5213500000,1714445000000,8871414000000
None,5889601000000,5889601000000,None,400009000000,669412000000,1069421000000,2007-03-31,2406094000000,102037000000,53888000000,None,567375000000,None,None,126328000000,None,None,None,1788427000000,71750000000,None,JPY,4626888000,1788427000000,8295695000000
None,5150776914000,5150776914000,None,381843000000,847134000000,1228977000000,2006-03-31,2323799470000,286252358000,176435973000,None,560805000000,None,None,123587573000,None,None,None,2132532989000,226416000000,None,JPY,4526685000,2058615850500,7474576385000
