accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,1453000000,1070000000,1070000000,5446000000,1103008000,3701000000,None,6056000000,4289000000,None,2024-12-31,5161000000,332000000,332000000,3369000000,None,58768000000,None,4037000000,1966000000,5493000000,None,2016000000,7775000000,USD,13750000000,66277000000,6256000000,None,145180000000,10694000000,15993000000,108506000000,134486000000,92513000000,33208000000,None
None,1490000000,748000000,748000000,5423000000,1098000000,2898000000,None,4790000000,3963000000,None,2023-12-31,5161000000,368000000,368000000,3352000000,None,57210000000,None,3792000000,1927000000,5093000000,None,1957000000,9216000000,USD,12482000000,63490000000,4973000000,2424000000,139331000000,10432000000,13467000000,104106000000,128899000000,90639000000,31444000000,None
-35297000000,1585000000,1917000000,1917000000,5417000000,1080982000,3525000000,None,6894000000,3716000000,None,2022-12-31,5161000000,406000000,406000000,2677000000,None,50656000000,None,9757000000,2106000000,3782000000,None,1903000000,94570000000,USD,11538000000,59135000000,7091000000,6169000000,134891000000,10416000000,15724000000,100359000000,124475000000,84635000000,30408000000,-53000000
-34079000000,1753000000,1798000000,1798000000,5279000000,1061000000,2169000000,None,3597000000,2962000000,None,2021-12-31,5280000000,445000000,445000000,2355000000,None,49921000000,None,10202000000,1850000000,3735000000,None,2104000000,91108000000,USD,10929000000,55470000000,3847000000,None,127534000000,8965000000,10921000000,94967000000,118569000000,84046000000,28165000000,-47000000
-32397000000,1852000000,1065000000,1065000000,5268000000,1058000000,2806000000,None,4116000000,3335000000,None,2020-12-31,5280000000,487000000,487000000,2488000000,None,45073000000,None,10386000000,1729000000,3600000000,None,2211000000,87634000000,USD,11311000000,51041000000,4357000000,1362000000,122935000000,8617000000,12079000000,90410000000,114318000000,78331000000,28263000000,-46000000
-30765000000,1844000000,1975000000,1975000000,5257000000,1054000000,2557000000,None,5044000000,3409000000,None,2019-12-31,5280000000,536000000,536000000,2388000000,None,95000000,None,10334000000,1360000000,4220000000,None,2239000000,83080000000,USD,10877000000,48686000000,5273000000,None,118700000000,9817000000,12546000000,86650000000,108883000000,74104000000,27796000000,-42000000
-31038000000,24000000,1396000000,1396000000,5164000000,1033788000,3436000000,None,6089000000,4059000000,None,2018-12-31,5315000000,613000000,613000000,2394000000,None,208000000,None,10296000000,687000000,4215000000,None,2297000000,80797000000,USD,8706000000,46849000000,6113000000,None,116914000000,9583000000,14286000000,87584000000,107331000000,73298000000,25014000000,-38000000
-31457000000,31000000,2130000000,2130000000,5038000000,1007603100,3076000000,None,6300000000,4048000000,None,2017-12-31,6268000000,873000000,873000000,2627000000,None,226000000,None,11510000000,815000000,3645000000,None,2684000000,79872000000,USD,8885000000,50793000000,6331000000,0,111005000000,10072000000,13594000000,85153000000,100933000000,71559000000,24491000000,-36000000
None,32000000,1975000000,1975000000,4952000000,990200000,2825000000,None,4796000000,3790000000,None,2016-12-31,6251000000,970000000,970000000,2782000000,None,42629000000,None,3929000000,1175000000,3846000000,None,2748000000,77811000000,USD,10356000000,47457000000,4828000000,0,109697000000,9722000000,12917000000,82967000000,99975000000,70050000000,25485000000,-31000000
-24253000000,None,1404000000,1404000000,4572000000,911600000,1905000000,None,2665000000,2047000000,None,2015-12-31,2000000,317000000,317000000,1929000000,None,24688000000,None,2752000000,1146000000,2267000000,None,None,61114000000,USD,10010000000,28738000000,4050000000,22000000,78318000000,6526000000,9129000000,56218000000,71792000000,47089000000,21319000000,-142000000
-24059000000,None,710000000,710000000,4539000000,908300000,1593000000,None,3315000000,1947000000,None,2014-12-31,0,0,0,1969000000,None,33000000,None,2492000000,1238000000,2208000000,None,None,54868000000,USD,9609000000,24776000000,4132000000,7000000,70233000000,5864000000,8961000000,48932000000,64369000000,39971000000,21080000000,-26000000
