capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
8955000000,-208000000,-9400000000,None,None,-49000000,None,None,None,5266000000,2954000000,2954000000,None,2024-12-31,4260000000,9788000000,None,None,None,None,None,None,None,None,None,143000000,None,None,USD
9095000000,999000000,-9668000000,None,None,-605000000,None,None,None,4986000000,3035000000,3035000000,None,2023-12-31,3976000000,7553000000,None,None,None,None,None,None,None,None,None,10295000000,None,None,USD
7923000000,2336000000,-8430000000,208000000,None,-127000000,None,None,-769000000,4064000000,2907000000,2907000000,None,2022-12-31,3428000000,6302000000,None,None,None,None,None,None,None,None,None,-298000000,None,None,USD
7240000000,1945000000,-7353000000,761000000,None,-603000000,None,None,-81000000,3973000000,2777000000,2777000000,None,2021-12-31,2309000000,6169000000,None,None,None,None,None,None,None,None,None,9117000000,None,None,USD
7441000000,-576000000,-7030000000,-910000000,None,-186000000,None,None,-222000000,3905000000,2685000000,2685000000,None,2020-12-31,3103000000,6696000000,None,None,None,None,None,None,None,None,None,8662000000,None,None,USD
7555000000,-1930000000,-3392000000,459000000,None,-76000000,None,None,630000000,3331000000,2570000000,2570000000,None,2019-12-31,4744000000,5781000000,None,None,None,None,None,None,None,None,None,6210000000,None,None,USD
8001000000,-1813000000,-5760000000,-628000000,None,172000000,None,None,-426000000,3549000000,2425000000,2425000000,None,2018-12-31,2300000000,6945000000,None,None,None,None,None,None,None,None,None,-33000000,None,None,USD
7423000000,951000000,-7191000000,155000000,None,72000000,None,None,-199000000,3457000000,2300000000,2300000000,None,2017-12-31,926000000,6395000000,None,None,None,None,None,None,None,None,None,-658000000,None,None,USD
7310000000,15725000000,-20048000000,None,None,-79000000,None,None,None,2923000000,2104000000,2104000000,None,2016-12-31,2529000000,4894000000,None,None,None,None,None,None,None,None,None,17596000000,None,None,USD
7393000000,1700000000,-7280000000,694000000,None,17000000,None,None,243000000,2395000000,1959000000,1959000000,None,2015-12-31,2435000000,6274000000,None,None,None,None,None,None,None,None,None,-115000000,None,None,USD
5977000000,644000000,-6408000000,51000000,None,341000000,None,None,-352000000,2293000000,1866000000,1866000000,None,2014-12-31,2031000000,5815000000,None,None,None,None,None,None,None,None,None,-5000000,None,None,USD
5463000000,-324000000,-5742000000,31000000,None,517000000,None,None,-153000000,2298000000,1828000000,1828000000,None,2013-12-31,1710000000,6097000000,None,None,None,None,None,None,None,None,None,-20000000,None,None,USD
4809000000,-417000000,-5168000000,None,None,-549000000,None,None,None,2145000000,1758000000,1758000000,None,2012-12-31,2415000000,4898000000,None,None,None,None,None,None,None,None,None,-430000000,None,None,USD
4525000000,-852000000,-4183000000,None,None,-122000000,None,None,None,2048000000,1666000000,1666000000,None,2011-12-31,2268000000,5903000000,None,None,None,None,None,None,None,None,None,3719000000,None,None,USD
4086000000,22000000,-4256000000,None,None,105000000,None,None,None,1831000000,1561000000,1561000000,None,2010-12-31,2040000000,3991000000,None,None,None,None,None,None,None,None,None,3810000000,None,None,USD
4670000000,1329000000,-4319000000,None,None,-471000000,None,None,None,1788000000,1434000000,1434000000,None,2009-12-31,1708000000,3263000000,None,None,None,None,None,None,None,None,None,3042000000,None,None,USD
3961000000,944000000,-4126000000,None,None,-326000000,None,None,None,1704000000,1280000000,1280000000,None,2008-12-31,1742000000,3398000000,None,None,None,None,None,None,None,None,None,-125000000,None,None,USD
3545000000,348000000,-3709000000,None,None,-110000000,None,None,None,1486000000,1205000000,1205000000,None,2007-12-31,1734000000,3395000000,None,None,None,None,None,None,None,None,None,3826000000,None,None,USD
2994000000,-21000000,-2834000000,None,None,-239000000,None,None,None,1421000000,1140000000,1140000000,None,2006-12-31,1573000000,2820000000,None,None,None,None,None,None,None,None,None,1564000000,None,None,USD
2370000000,-67000000,-2629000000,None,None,-188000000,None,None,None,1398000000,1098000000,1098000000,None,2005-12-31,1591000000,2530000000,None,None,None,None,None,None,None,None,None,-356000000,None,None,USD
