comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,13382000000,13382000000,None,5266000000,7972000000,13238000000,2024-12-31,13342000000,5229000000,969000000,None,2743000000,2604000000,None,4401000000,4260000000,-2743000000,None,6274000000,7068000000,None,USD,None,None,26724000000
None,13545000000,13545000000,None,4986000000,6791000000,11777000000,2023-12-31,11708000000,4345000000,496000000,None,2446000000,2302000000,None,3976000000,2915000000,-2373000000,None,5882000000,5826000000,None,USD,None,None,25253000000
None,18652000000,18652000000,None,4064000000,6245000000,10309000000,2022-12-31,10627000000,4223000000,795000000,None,2022000000,1871000000,None,3535000000,3428000000,-2022000000,None,5257000000,5370000000,875000000,USD,None,1411000000,29279000000
None,12866000000,12866000000,None,3973000000,4413000000,8386000000,2021-12-31,10247000000,2576000000,267000000,None,1837000000,1761000000,None,2408000000,2309000000,-1837000000,None,6549000000,3698000000,715000000,USD,None,1290000000,23113000000
None,10478000000,10478000000,None,3905000000,5317000000,9222000000,2020-12-31,9897000000,3496000000,393000000,None,1821000000,1668000000,None,3134000000,3103000000,-1821000000,None,5012000000,4885000000,432000000,USD,None,1234000000,20375000000
None,11816000000,11816000000,None,3331000000,8278000000,11609000000,2019-12-31,9603000000,6542000000,1798000000,None,1736000000,1574000000,None,4754000000,4744000000,-1736000000,None,1867000000,7736000000,542000000,USD,None,3799000000,21419000000
None,13879000000,13879000000,None,3549000000,4591000000,8140000000,2018-12-31,9616000000,2749000000,449000000,None,1842000000,1694000000,None,2242000000,2300000000,-1842000000,None,5425000000,4191000000,400000000,USD,0,1606000000,23495000000
None,13116000000,13116000000,None,3457000000,2762000000,6219000000,2017-12-31,9915000000,1068000000,142000000,None,1694000000,1588000000,None,880000000,926000000,-1694000000,None,7582000000,2333000000,211000000,USD,0,1250000000,23031000000
None,11366000000,11366000000,None,2923000000,4797000000,7720000000,2016-12-31,8530000000,3480000000,951000000,None,1317000000,1258000000,None,2493000000,2529000000,-1317000000,None,4044000000,4486000000,None,USD,0,235000000,19896000000
None,9811000000,9811000000,None,2395000000,4469000000,6864000000,2015-12-31,7678000000,3629000000,1194000000,None,840000000,817000000,None,2421000000,2435000000,None,None,3396000000,4282000000,187000000,USD,0,997000000,17489000000
None,11031000000,11031000000,None,2293000000,3843000000,6136000000,2014-12-31,7436000000,3008000000,977000000,None,835000000,None,None,2031000000,2031000000,None,None,3794000000,3642000000,201000000,USD,0,981000000,18467000000
None,9817000000,9817000000,None,2298000000,3383000000,5681000000,2013-12-31,7270000000,2559000000,849000000,None,824000000,None,None,1710000000,1710000000,None,None,4015000000,3255000000,128000000,USD,0,934000000,17087000000
None,9373000000,9373000000,None,2145000000,4608000000,6753000000,2012-12-31,7164000000,3749000000,1334000000,None,859000000,None,None,2415000000,None,None,None,2701000000,4463000000,None,USD,0,0,16537000000
None,10808000000,10808000000,None,2048000000,4344000000,6392000000,2011-12-31,6849000000,3487000000,1219000000,None,857000000,None,None,2268000000,None,None,None,2618000000,4231000000,None,USD,0,0,17657000000
None,7262000000,7262000000,None,1831000000,3961000000,5792000000,2010-12-31,10194000000,3066000000,1026000000,None,895000000,None,None,2040000000,None,None,None,10194000000,3802000000,None,USD,0,0,17456000000
None,6426000000,6426000000,None,1788000000,3509000000,5297000000,2009-12-31,9317000000,2604000000,896000000,None,905000000,None,None,1708000000,None,None,None,9317000000,3470000000,None,USD,0,202000000,15743000000
None,7633000000,7633000000,None,1704000000,3588000000,5292000000,2008-12-31,9494000000,2722000000,915000000,None,866000000,None,None,1807000000,None,None,None,9494000000,3506000000,None,USD,None,None,17127000000
None,6371000000,6371000000,None,1486000000,3455000000,4941000000,2007-12-31,8982000000,2569000000,835000000,None,886000000,None,None,1734000000,None,None,None,8982000000,3326000000,None,USD,None,None,15353000000
None,5695000000,5695000000,None,1421000000,3219000000,4640000000,2006-12-31,8661000000,2353000000,780000000,None,866000000,None,None,1573000000,None,None,None,8661000000,3224000000,None,USD,None,None,14356000000
None,5226000000,5226000000,None,1398000000,2933000000,4331000000,2005-12-31,8328000000,2186000000,595000000,None,747000000,None,None,1591000000,None,None,None,8328000000,2962000000,None,USD,None,None,13554000000
