capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
2177000000,-9813000000,-45422000000,None,None,None,None,None,None,2027000000,7160000000,7160000000,None,2024-10-31,8842000000,54937000000,None,None,None,None,None,None,None,None,None,-15206000000,None,None,CAD
1844000000,-12847000000,76226000000,None,None,None,None,None,None,1911000000,5825000000,5825000000,None,2023-10-31,10782000000,-65302000000,None,None,None,None,None,None,None,None,None,-13234000000,None,None,CAD
1454000000,-4819000000,-31895000000,None,None,None,None,None,None,1766000000,6665000000,6665000000,None,2022-10-31,17429000000,38949000000,None,None,None,None,None,None,None,None,None,-14302000000,None,None,CAD
1129000000,-5036000000,-45268000000,None,None,None,None,None,None,2066000000,5555000000,5555000000,None,2021-10-31,14298000000,50129000000,None,None,None,None,None,None,None,None,None,-11764000000,None,None,CAD
1757000000,-6129000000,-224115000000,None,None,None,None,None,None,2141000000,5043000000,5043000000,None,2020-10-31,13047000000,231786000000,None,None,None,None,None,None,None,None,None,-9877000000,None,None,CAD
1385000000,-5652000000,4947000000,0,0,0,None,None,0,1405000000,5157000000,5157000000,None,2019-10-31,11686000000,830000000,None,None,None,None,None,None,None,None,None,-12168000000,None,None,CAD
587000000,-6527000000,1549000000,0,0,0,None,None,0,1391000000,4634000000,4634000000,None,2018-10-31,14516000000,5693000000,None,None,None,None,None,None,None,None,None,-10425000000,None,None,CAD
434000000,-7035000000,-18934000000,0,0,0,None,None,0,1307000000,4211000000,4211000000,None,2017-10-31,12770000000,26127000000,None,None,None,None,None,None,None,None,None,-11226000000,None,None,CAD
797000000,-247000000,-36452000000,0,0,0,None,None,0,1337000000,3808000000,3808000000,None,2016-10-31,11079000000,37401000000,None,None,None,None,None,None,None,None,None,-6371000000,None,None,CAD
972000000,11916000000,-47111000000,0,0,0.02,None,None,0,1250000000,3444000000,3444000000,None,2015-10-31,9547000000,35273000000,None,None,None,None,None,None,None,None,None,-6230000000,None,None,CAD
828000000,8931000000,-35787000000,None,None,680749090.26,None,None,None,1131000000,3188000000,3188000000,None,2014-10-31,9395000000,25967000000,None,None,None,None,None,None,None,None,None,-6766000000,None,None,CAD
751000000,-11070000000,-16106000000,None,None,0,None,None,None,1039000000,2647000000,2647000000,None,2013-10-31,7775000000,27284000000,None,None,None,None,None,None,None,None,None,-4418000000,None,None,CAD
813000000,10780000000,-23509000000,None,None,0,None,None,None,971000000,1870000000,1870000000,None,2012-10-31,7545000000,13065000000,None,None,None,None,None,None,None,None,None,-3252000000,None,None,CAD
301000000,1428000000,-17501000000,None,None,0,None,None,None,1124000000,1835000000,1835000000,None,2011-10-31,7371000000,16633000000,None,None,None,None,None,None,None,None,None,-2888000000,None,None,CAD
770000000,39779000000,-42618000000,None,None,0,None,None,None,1193000000,1766000000,1766000000,None,2010-10-31,4644000000,3082000000,None,None,None,None,None,None,None,None,None,-3084000000,None,None,CAD
820000000,12213000000,-36611000000,None,None,4678107606.68,None,None,None,1253000000,1791000000,1791000000,None,2009-10-31,3120000000,24643000000,None,None,None,None,None,None,None,None,None,-1762000000,None,None,CAD
532000000,51398000000,-70913000000,None,None,21692371134.02,None,None,None,1014911000,1636000000,1636000000,None,2008-10-31,3833574000,19982000000,None,None,None,None,None,None,None,None,None,-2439000000,None,None,CAD
322000000,9735000000,-13866000000,None,None,0,None,None,None,860846000,1452000000,1452000000,None,2007-10-31,3996784000,4073000000,None,None,None,None,None,None,None,None,None,-701000000,None,None,CAD
494000000,19226000000,-12459000000,None,None,0,None,None,None,848199000,972000000,972000000,None,2006-10-31,4603388000,-6381000000,None,None,None,None,None,None,None,None,None,-285000000,None,None,CAD
814000000,15384000000,-20349000000,None,None,946094609.46,None,None,None,867871000,718000000,718000000,None,2005-10-31,2229000000,5262000000,None,None,None,None,None,None,None,None,None,511000000,None,None,CAD
