accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,4009000000,4009000000,444000000,383000000,3079000000,None,2214000000,9626000000,None,2024-12-31,45853000000,15533000000,15533000000,4978000000,None,29061000000,None,None,1963000000,4926000000,None,3988000000,10795000000,USD,53102000000,32775000000,2475000000,1561000000,97321000000,22137000000,13332000000,47650000000,75184000000,34318000000,49584000000,None
None,None,8083000000,8083000000,442000000,388000000,2872000000,None,3609000000,9664000000,None,2023-12-31,44020000000,16670000000,16670000000,5088000000,None,31308000000,None,None,1760000000,4579000000,None,4642000000,11004000000,USD,47364000000,36424000000,3872000000,-1967000000,98726000000,24589000000,14012000000,51884000000,74137000000,37872000000,46735000000,None
None,None,8524000000,8524000000,441000000,394000000,3381000000,None,5579000000,9427000000,None,2022-12-31,41196000000,17478000000,17478000000,5634000000,None,28909000000,None,None,1644000000,5177000000,None,7119000000,9280000000,USD,41910000000,36073000000,5851000000,2000000,97154000000,25229000000,17010000000,53006000000,71925000000,35996000000,43978000000,None
None,None,4477000000,4477000000,439000000,397000000,2867000000,None,2537000000,8945000000,None,2021-12-31,41924000000,20146000000,20146000000,5051000000,None,32333000000,None,None,1640000000,5111000000,None,48993000000,8333000000,USD,35431000000,36339000000,2803000000,None,95123000000,20113000000,13436000000,54146000000,75010000000,40710000000,40793000000,-8922000000
None,None,10325000000,10325000000,437000000,399000000,2175000000,None,2628000000,6472000000,None,2020-12-31,26041000000,12685000000,12685000000,4029000000,None,19107000000,None,None,1131000000,4046000000,None,3340000000,5912000000,USD,28116000000,22545000000,2812000000,28000000,69052000000,21957000000,10304000000,34535000000,47095000000,24231000000,34507000000,-6818000000
None,None,2399000000,2399000000,434000000,403000000,1920000000,None,676000000,4952000000,None,2019-12-31,25714000000,14014000000,14014000000,3370000000,None,17076000000,None,67000000,1172000000,2518000000,None,3241000000,4749000000,USD,22092000000,18490000000,843000000,37000000,58381000000,11893000000,6197000000,28706000000,46488000000,22509000000,29675000000,-5236000000
None,None,2103000000,2103000000,432000000,406000000,1615000000,None,1271000000,4595000000,None,2018-12-31,25347000000,14978000000,14978000000,3005000000,None,17719000000,None,64000000,922000000,2452000000,None,2515000000,4165000000,USD,18696000000,18990000000,1271000000,3000000,56232000000,10625000000,6147000000,28646000000,45607000000,22499000000,27586000000,-3665000000
None,None,1335000000,1335000000,428000000,398000000,1428000000,None,2135000000,3879000000,None,2017-12-31,25290000000,16684000000,16684000000,2971000000,None,18873000000,None,32000000,1236000000,2334000000,None,2569000000,4047000000,USD,15914000000,21008000000,2135000000,10000000,56669000000,9421000000,7048000000,31256000000,47248000000,24208000000,25413000000,-3103000000
None,None,786000000,786000000,415100000,397400000,926200000,None,1255500000,3049000000,None,2016-12-31,21328000000,13969000000,13969000000,2213000000,None,15372400000,None,37000000,973000000,2032800000,None,1572600000,2577800000,USD,13926900000,16627900000,2097400000,15800000,45908000000,7021000000,4866000000,24368000000,38886500000,19502400000,21539300000,-2306000000
None,None,452100000,452100000,411900000,401900000,822200000,None,1002200000,2544900000,None,2015-12-31,18827600000,12758300000,12758300000,1991700000,None,11420200000,None,39200000,752500000,1741900000,None,1295000000,2448800000,USD,12142300000,12472000000,1051800000,13600000,40834300000,5741200000,4146300000,19484100000,35093100000,15337800000,21350200000,-1007900000
None,None,1343500000,1343500000,408500000,402300000,820700000,None,2216100000,2473600000,None,2014-12-31,18842600000,14110100000,14110100000,1859500000,None,12351600000,None,38500000,863200000,1839700000,None,1171900000,2426500000,USD,10406900000,14564000000,2212400000,28700000,42852100000,6539800000,5349800000,22304000000,36312299999,16954200000,20548100000,-455900000
None,None,5826000000,5826000000,369600000,365800000,691500000,None,None,1942300000,None,2013-12-31,12503300000,7071300000,7071300000,1494500000,None,9499600000,None,None,613400000,1247900000,None,None,1767400000,USD,8753300000,10487300000,987700000,8300000,31863400000,9880700000,3126000000,15007300000,21982700000,11881300000,16856099999,-412200000
None,None,805600000,805600000,413500000,366600000,641400000,None,None,1804900000,None,2012-12-31,12474500000,7804500000,7804500000,1443300000,None,7031200000,None,None,776700000,1162300000,None,808200000,1726400000,USD,7697300000,7124300000,93100000,4300000,27444600000,4834800000,2093300000,11979900000,22609800000,9886599999,15464700000,-2996800000
None,None,1016300000,1016300000,406400000,384800000,612300000,None,None,1763700000,None,2011-12-31,11988000000,7815900000,7815900000,1355400000,None,5755200000,None,None,707500000,1035500000,None,696400000,1656200000,USD,6716300000,7028000000,1272800000,4300000,26833700000,4821900000,3089200000,11795600000,22011800000,8682500000,15038100000,-1837100000
None,None,917100000,917100000,401800000,409400000,551000000,None,None,1516800000,None,2010-12-31,9270600000,6041100000,6041100000,1175100000,None,2031300000,None,None,518700000,927300000,None,562900000,1408600000,USD,5386400000,2137100000,105800000,8900000,21386800000,4136600000,1742400000,6025800000,17250200000,4283400000,15361000000,-490500000
None,None,1564100000,1564100000,423900000,423034826,533600000,None,None,1409600000,None,2009-12-31,8982900000,6337000000,6337000000,1131400000,None,2065900000,None,None,418700000,820000000,None,555100000,1333400000,USD,4350800000,2183400000,235000000,7100000,21600800000,4530900000,1639300000,6169900000,17094099999,4554800000,15430900000,-576500000
None,None,1280500000,1280500000,421800000,434700000,539500000,None,None,1478100000,None,2008-12-31,8677700000,6423200000,6423200000,1171400000,None,2043500000,None,None,408400000,817700000,None,None,1275300000,USD,3528700000,2058300000,29600000,7500000,21090000000,4345900000,1540200000,6163400000,16744099999,4623200000,14926600000,-151300000
None,None,625100000,625100000,439300000,443700000,676900000,None,None,1450000000,None,2007-12-31,8713200000,7157800000,7157800000,1169900000,None,2045900000,None,None,406200000,882700000,None,None,1267400000,USD,2534500000,2195200000,149300000,14100000,21207400000,3665300000,1901600000,6719100000,17542100000,4817500000,14488300000,-1157300000
None,None,667434000,667434000,424240000,203700000,630815000,None,None,1392743000,None,2006-12-31,8524989000,7511565000,7511565000,1164465000,None,2180705000,None,None,411132000,916889000,None,None,1256727000,USD,1773410000,2664003000,-180281000,48162000,21262238000,3659536000,2152321000,7350411000,17602702000,5198090000,13911827000,-246404000
None,None,214326000,214326000,181817000,165334000,153475000,None,None,565564000,None,2005-12-31,1966195000,450740000,450740000,359392000,None,468630000,None,None,133957000,422458000,None,None,280654000,USD,1604475000,598767000,130137000,80661000,4251569000,1353900000,791662000,1458257000,2897669000,666595000,2793312000,-437707000
