capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
1400000000,-6792000000,-5841000000,None,None,-27000000,None,None,None,3108000000,583000000,583000000,None,2024-12-31,6338000000,8667000000,None,None,None,None,None,None,None,None,None,-4000000000,None,None,USD
1479000000,-3622000000,-5142000000,None,None,598000000,None,None,None,3406000000,523000000,523000000,None,2023-12-31,5995000000,8406000000,None,None,None,None,None,None,None,None,None,-3000000000,None,None,USD
2243000000,-2810000000,-2159000000,4185000000,None,-825000000,None,None,-430000000,3381000000,455000000,455000000,None,2022-12-31,6960000000,9154000000,None,None,None,None,None,None,None,None,None,-3000000000,None,None,USD
2523000000,6581000000,-21932000000,-6039000000,None,-1065000000,None,None,-204000000,2592000000,395000000,395000000,None,2021-12-31,7728000000,9543000000,None,None,None,None,None,None,None,None,None,-2000000000,None,None,USD
1474000000,959000000,-1510000000,7738000000,None,-508000000,None,None,-1302000000,2325000000,337000000,337000000,None,2020-12-31,6375000000,8289000000,None,None,None,None,None,None,None,None,None,-1500000000,None,None,USD
926000000,-3118000000,-1487000000,368000000,None,-458000000,None,None,-225000000,2277000000,297000000,297000000,None,2019-12-31,3696000000,4973000000,None,None,None,None,None,None,None,None,None,-1500000000,None,None,USD
758000000,-2237000000,-1253000000,1053000000,None,-324000000,None,None,-366000000,2267000000,266000000,266000000,None,2018-12-31,2938000000,4543000000,None,None,None,None,None,None,None,None,None,-500000000,None,None,USD
508000000,3854000000,-7729000000,130000000,None,-81000000,None,None,-362000000,2033000000,237000000,237000000,None,2017-12-31,2228000000,4005000000,None,None,None,None,None,None,None,None,None,-750000000,None,None,USD
444400000,2860600000,-5532100000,334100000,-150700000,97800000,None,None,-352200000,1758000000,238400000,238400000,None,2016-12-31,2025300000,3156300000,None,None,None,None,None,None,None,None,None,-1250000000,None,None,USD
422900000,-2617000000,-1087400000,-891400000,-129600000,-140700000,None,None,-149400000,1688200000,240600000,240600000,None,2015-12-31,1980300000,2816900000,None,None,None,None,None,None,None,None,None,-500000000,None,None,USD
427600000,4796100000,-11782700000,-4482500000,-115500000,-109800000,None,None,-145400000,1684800000,234800000,234800000,None,2014-12-31,1895500000,2619600000,None,None,None,None,None,None,None,None,None,6747700000,None,None,USD
282400000,3310000000,-263300000,5020400000,-37000000,-72200000,None,None,-147900000,999900000,216200000,216200000,None,2013-12-31,1279100000,2010700000,None,None,None,None,None,None,None,None,None,-89800000,None,None,USD
315100000,-917700000,-1325800000,-165300000,38700000,-59900000,None,None,12000000,983700000,142200000,142200000,None,2012-12-31,1258400000,2039500000,None,None,None,None,None,None,None,None,None,-1150000000,None,None,USD
266500000,3550600000,-5142200000,99200000,-200000,-32500000,None,None,-107300000,863500000,5162600000,5162600000,None,2011-12-31,1019600000,1691000000,None,None,None,None,None,None,None,None,None,-1337500000,None,None,USD
265500000,-1295100000,-858900000,-647000000,9200000,-27900000,None,None,-89500000,770000000,741400000,741400000,None,2010-12-31,1033100000,1497800000,None,None,None,None,None,None,None,None,None,-1012500000,None,None,USD
207500000,-557500000,-829500000,283600000,11400000,108200000,None,None,127300000,787300000,748200000,748200000,None,2009-12-31,851300000,1659200000,None,None,None,None,None,None,None,None,None,-414600000,None,None,USD
264400000,-228400000,-450000000,None,None,-49600000,None,None,None,792700000,None,None,None,2008-12-31,988700000,1420200000,None,None,None,None,None,None,None,None,None,-187400000,None,None,USD
175500000,-928700000,-586000000,None,None,-14000000,None,None,None,756800000,None,None,None,2007-12-31,761100000,1483500000,None,None,None,None,None,None,None,None,None,-898000000,None,None,USD
76797000,-260096000,283447000,None,None,7860000,None,None,None,240773000,None,None,None,2006-12-31,168935000,405654000,None,None,None,None,None,None,None,None,None,-300000000,None,None,USD
43545000,390860000,-753480000,None,None,6258000,None,None,None,123272000,None,None,None,2005-12-31,198301000,270913000,None,None,None,None,None,None,None,None,None,None,None,None,USD
