comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,25151000000,25151000000,None,3108000000,8692000000,11800000000,2024-12-31,17728000000,6995000000,657000000,None,1654000000,1078000000,None,6335000000,6338000000,-312000000,None,10066000000,7662000000,None,USD,1390000000,8595000000,42879000000
None,25295000000,25295000000,None,3406000000,6859000000,6859000000,2023-12-31,17562000000,6298000000,-284000000,None,1375000000,720000000,None,5995000000,5923000000,-534000000,None,10703000000,6859000000,None,USD,1337000000,8612000000,42857000000
None,25904000000,25904000000,None,3381000000,8561000000,11942000000,2022-12-31,19011000000,7663000000,703000000,None,726000000,272000000,None,6950000000,6960000000,-454000000,None,10486000000,8525000000,-4000000,USD,1471000000,7127000000,44915000000
None,19577000000,19577000000,None,2592000000,9377000000,11969000000,2021-12-31,19634000000,8837000000,1109000000,None,536000000,43000000,None,7725000000,7728000000,-493000000,None,9316000000,10318000000,-655000000,USD,1406000000,6842000000,39211000000
None,16191000000,16191000000,None,2325000000,7783000000,10108000000,2020-12-31,16027000000,7227000000,850000000,None,553000000,488000000,None,6375000000,6375000000,-488000000,None,8130000000,7897000000,-16000000,USD,1181000000,6930000000,32218000000
None,14198000000,14198000000,None,2277000000,4746000000,7023000000,2019-12-31,11344000000,4070000000,374000000,None,676000000,224000000,None,3696000000,3696000000,-452000000,None,7085000000,4259000000,152000000,USD,1003000000,6144000000,25542000000
None,13370000000,13370000000,None,2266000000,3929000000,6195000000,2018-12-31,10988000000,3262000000,324000000,None,667000000,137000000,None,2938000000,2938000000,-530000000,None,7116000000,3872000000,None,USD,967000000,6057000000,24358000000
None,11239000000,11239000000,None,2033000000,3021000000,5054000000,2017-12-31,9679000000,2429000000,201000000,None,592000000,81000000,None,2225000000,2228000000,-511000000,None,6412000000,3267000000,None,USD,888000000,5492000000,20918000000
None,9692200000,9692200000,None,1758000000,2493500000,4251500000,2016-12-31,8581900000,2023900000,-1400000,None,469600000,48400000,None,2021800000,2025300000,-421200000,None,5723000000,2858900000,None,USD,754800000,4975900000,18274100000
None,9127400000,9127400000,None,1688200000,2351300000,4039500000,2015-12-31,7838000000,1936400000,-43900000,None,414900000,264900000,None,1975400000,1980300000,None,None,5343500000,2494500000,None,USD,692300000,4612100000,16965400000
None,9004100000,9004100000,None,1684800000,2567100000,4251900000,2014-12-31,7885500000,2087199999,191700000,None,479900000,None,None,1894400000,1895500000,None,None,5537100000,2348400000,None,USD,691100000,4896100000,16889600000
None,7464600000,7464600000,None,999900000,1581800000,2581700000,2013-12-31,5625700000,1319500000,40400000,None,262300000,None,None,1273300000,1279100000,None,None,3827000000,1798700000,None,USD,395500000,3446300000,13090300000
None,7095600000,7095600000,None,983700000,1511000000,2494700000,2012-12-31,5414300000,1269400000,11000000,None,241600000,None,None,1177900000,1258400000,None,None,3785000000,1629300000,None,USD,376400000,3354900000,12509900000
None,6692200000,6692200000,None,859600000,1324600000,2184200000,2011-12-31,4866600000,1132800000,109400000,None,191800000,None,None,1329900000,1019600000,None,None,3385200000,1481400000,None,USD,340200000,3126500000,11725900000
None,6118400000,6118400000,None,739700000,1172400000,1912100000,2010-12-31,4274700000,1087700000,101600000,None,84700000,None,None,1035600000,1133400000,None,None,3010200000,1264500000,None,USD,284400000,2826200000,10788700000
None,6039400000,6039400000,None,787300000,1045200000,1832500000,2009-12-31,4070300000,927100000,75800000,None,118100000,None,None,850300000,973100000,None,None,2952400000,1117900000,None,USD,246100000,2668900000,10109700000
None,6255600000,6255600000,None,792700000,1279500000,2072200000,2008-12-31,4242399999,1149600000,160900000,None,129900000,None,None,994200000,None,None,None,2976100000,1266300000,None,USD,249100000,2692300000,10498000000
None,5852300000,5852300000,None,756800000,1021100000,1777900000,2007-12-31,3894100000,881300000,101700000,None,139800000,None,None,761100000,None,None,None,2828300000,1065800000,None,USD,238700000,2549100000,9746400000
None,2104670000,2104670000,None,240773000,261300000,502073000,2006-12-31,1686947000,209370000,43054000,None,51930000,None,None,168935000,None,None,None,1321651000,365296000,None,USD,170184000,1110205000,3791617000
None,1395570000,1395570000,None,123272000,312613000,435885000,2005-12-31,1237457000,285898000,87597000,None,26715000,None,None,223218000,None,None,None,943683000,293774000,None,USD,152775000,761786000,2633027000
