accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,2095000000,25844000000,25844000000,7577000000,2355456000,39932000000,None,7929000000,40794000000,None,2024-12-31,11265000000,22973000000,22973000000,18868000000,None,41220000000,None,32973000000,4558000000,25443000000,None,4486000000,109095000000,USD,112151000000,53557000000,10024000000,6507000000,285487000000,96571000000,87960000000,165232000000,188916000000,77272000000,117858000000,None
None,1721000000,25456000000,25456000000,7616000000,2433768000,41335000000,None,7869000000,42801000000,None,2023-12-31,9951000000,23132000000,23132000000,19317000000,None,38280000000,None,30921000000,3983000000,23886000000,None,4858000000,108916000000,EUR,102472000000,47870000000,9590000000,6165000000,283654000000,99529000000,88785000000,164201000000,184125000000,75416000000,116753000000,None
None,1437000000,33026000000,33026000000,8163000000,2572182000,41346000000,None,15502000000,59120000000,None,2022-12-31,8650000000,23281000000,23281000000,22936000000,None,45264000000,None,31671000000,1896000000,38150000000,None,21402000000,107101000000,EUR,123951000000,60766000000,15502000000,8554000000,303864000000,125724000000,109778000000,189294000000,178140000000,79516000000,111724000000,None
None,1390000000,21342000000,21342000000,8224000000,2647468000,36837000000,None,15035000000,55327000000,None,2021-12-31,8829000000,23655000000,23655000000,19952000000,None,49512000000,None,35082000000,2200000000,-9851000000,None,1430000000,106559000000,EUR,81819000000,64547000000,15035000000,12141000000,293458000000,111136000000,95102000000,178459000000,182322000000,83357000000,111736000000,-1666000000
None,1206000000,31268000000,31268000000,8267000000,2621000000,23574000000,None,17099000000,25753000000,None,2020-12-31,8807000000,24721000000,24721000000,14730000000,None,60203000000,None,34764000000,3298000000,17427000000,None,1409000000,108335000000,EUR,70356000000,77302000000,17099000000,4501000000,266132000000,79679000000,64676000000,160047000000,186453000000,95371000000,103702000000,-1387000000
None,1202000000,27352000000,27352000000,8123000000,2682619000,28394000000,None,13617000000,34253000000,None,2019-12-31,8346000000,2027000000,2027000000,17132000000,None,39816000000,None,30144000000,2536000000,19071000000,None,2066000000,116408000000,EUR,85755000000,62592000000,14819000000,3992000000,273294000000,85265000000,70244000000,153989000000,188029000000,83745000000,116778000000,-1012000000
None,None,27907000000,27907000000,8227000000,2680562061,26134000000,None,13306000000,31093000000,None,2018-12-31,8174000000,1699000000,1699000000,14880000000,None,36584000000,None,26016000000,2265000000,15387000000,None,2404000000,113324000000,EUR,120569000000,53435000000,12214000000,3654000000,256762000000,79799000000,62234000000,138648000000,176963000000,76414000000,115640000000,-1843000000
None,None,33185000000,33185000000,7882000000,2568750000,26479000000,None,11096000000,28258000000,None,2017-12-31,1427000000,1391000000,1391000000,16520000000,None,39141000000,None,25446000000,3592000000,12925000000,None,None,109397000000,EUR,112040000000,52436000000,10258000000,3393000000,242631000000,84948000000,56705000000,128594000000,157683000000,71889000000,111556000000,-458000000
None,None,24597000000,24597000000,7604000000,2458730159,23227000000,None,13920000000,25649000000,None,2016-12-31,1157000000,1391000000,1391000000,15247000000,None,39105000000,None,22617000000,2555000000,11659000000,None,None,111971000000,EUR,76586000000,56987000000,13072000000,4548000000,230978000000,72517000000,54685000000,129404000000,158461000000,74719000000,98680000000,-600000000
None,None,23269000000,23269000000,7670000000,2344239631,20928000000,None,4738000000,24866000000,None,2015-12-31,626000000,890000000,890000000,13116000000,None,41278000000,None,17138000000,2795000000,11854000000,None,None,109518000000,EUR,5087000000,56952000000,11804000000,6190000000,224484000000,70236000000,50975000000,129075000000,154248000000,78100000000,92494000000,-4585000000
