capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
14909000000,-14425000000,-17332000000,None,None,-203000000,None,None,None,12025000000,7717000000,7717000000,None,2024-12-31,15758000000,30854000000,None,None,None,None,None,None,None,None,None,-7995000000,None,None,USD
17722000000,-29730000000,-16454000000,None,None,3159000000,None,None,None,12930000000,7517000000,7517000000,None,2023-12-31,21384000000,40679000000,None,None,None,None,None,None,None,None,None,-9167000000,None,None,EUR
15690000000,-19272000000,-15116000000,None,None,-3805000000,None,None,None,13680000000,9986000000,9986000000,None,2022-12-31,21044000000,47367000000,None,None,None,None,None,None,None,None,None,-7711000000,None,None,EUR
12343000000,-25497000000,-13656000000,None,None,-5903000000,None,None,None,14343000000,8228000000,8228000000,None,2021-12-31,16366000000,30410000000,None,None,None,None,None,None,None,None,None,-1823000000,None,None,EUR
10764000000,1398000000,-13079000000,None,None,2274000000,None,None,None,22861000000,6688000000,6688000000,None,2020-12-31,-7336000000,14803000000,None,None,None,None,None,None,None,None,None,-611000000,None,None,EUR
11810000000,-7709000000,-17177000000,None,None,-2071000000,None,None,None,16401000000,6641000000,6641000000,None,2019-12-31,11438000000,24685000000,None,None,None,None,None,None,None,None,None,-2810000000,None,None,EUR
17080000000,-13925000000,-14946000000,None,None,1430000000,None,None,None,14584000000,4913000000,4913000000,None,2018-12-31,11550000000,24703000000,None,None,None,None,None,None,None,None,None,-4328000000,None,None,EUR
13767000000,-5540000000,-11632000000,None,None,-476000000,None,None,None,16611000000,2919000000,2919000000,None,2017-12-31,8299000000,22319000000,None,None,None,None,None,None,None,None,None,-4898000000,None,None,EUR
18106000000,3532000000,-17653000000,None,None,-2475000000,None,None,None,14423000000,2661000000,2661000000,None,2016-12-31,6206000000,16521000000,None,None,None,None,None,None,None,None,None,100000000,None,None,EUR
25132000000,1060000000,-20449000000,None,None,888000000,None,None,None,19334000000,2845000000,2845000000,None,2015-12-31,4786000000,19946000000,None,None,None,None,None,None,None,None,None,-237000000,None,None,EUR
26320000000,5909000000,-24319000000,None,None,5289000000,None,None,None,20859000000,7308000000,7308000000,None,2014-12-31,4250000000,25608000000,None,None,None,None,None,None,None,None,None,-289000000,None,None,EUR
30931536358.36,-1581098621.89,-29147449529.12,None,None,1121268192,None,None,None,13888812173,7411140876.58,7411140876.58,None,2013-12-31,11959733767,29651467867,None,None,None,None,None,None,None,None,None,-238000000,None,None,EUR
26324490173.78,-4952786521.01,-22577829502.47,None,None,491972386,None,None,None,13861189726,6855873250.99,6855873250.99,None,2012-12-31,14337292035,29706139074,None,None,None,None,None,None,None,None,None,-88000000,None,None,EUR
23264856457.78,-5584861642.15,-20689521093.90,None,None,-2391290259.87,None,None,None,10495755297,6661914328.30,6661914328.30,None,2011-12-31,16306136996,25320458816,None,None,None,None,None,None,None,None,None,5273799494,None,None,EUR
18369464024.47,-4452719776.57,-15902380635.72,None,None,-2521611916.48,None,None,None,11554728022,6780156935.76,6780156935.76,None,2010-12-31,14372921931,24595025934,None,None,None,None,None,None,None,None,None,65168240,None,None,EUR
16976617571.21,-4109118001.03,-14711444781.94,None,None,-6041893518.25,None,None,None,9777064588,7557739698.55,7557739698.55,None,2009-12-31,12363172674,17708751217,None,None,None,None,None,None,None,None,None,7911628173,None,None,EUR
16511679705.99,-1103934070.22,-15389648355.93,None,None,5596235765,None,None,None,8237046523,7180443800.99,7180443800.99,None,2008-12-31,15247654314,25989085948,None,None,None,None,None,None,None,None,None,-1655205056.10,None,None,EUR
15405000000,-4880000000,-14845000000,None,None,-3952000000,None,None,None,8683000000,6586000000,6586000000,None,2007-12-31,19765000000,25827000000,None,None,None,None,None,None,None,None,None,-2224911426.36,None,None,EUR
13079000000,-9776000000,-12636000000,None,None,-660000000,None,None,None,7331000000,5278000000,5278000000,None,2006-12-31,16016000000,21197000000,None,None,None,None,None,None,None,None,None,-5054837730.47,None,None,EUR
10038000000,-5996000000,-11962000000,None,None,None,None,None,None,6689000000,4435000000,4435000000,None,2005-12-31,14963000000,17361000000,None,None,None,None,None,None,None,None,None,-3774000000,None,None,EUR
