comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,140078000000,140078000000,None,13107000000,29170000000,42277000000,2024-12-31,55532000000,26806000000,10775000000,None,3851000000,1786000000,None,15758000000,16031000000,-290000000,None,31427000000,24105000000,None,USD,805000000,None,195610000000
None,156572000000,156572000000,None,13818000000,36964000000,50782000000,2023-12-31,62373000000,34811000000,13301000000,None,2229000000,1719000000,None,21384000000,19914000000,-333000000,None,31516000000,30857000000,None,EUR,774000000,None,218945000000
None,182099000000,182099000000,None,13680000000,45362000000,59042000000,2022-12-31,81211000000,43286000000,22242000000,None,2063000000,1143000000,None,20526000000,21044000000,-880000000,None,31518000000,49693000000,None,EUR,762000000,None,263310000000
None,132626000000,132626000000,None,14343000000,27723000000,42066000000,2021-12-31,52008000000,25953000000,9587000000,None,1742000000,379000000,None,16032000000,16366000000,-1302000000,None,28083000000,23925000000,None,EUR,824000000,None,184634000000
None,100093000000,100093000000,None,22861000000,-4981000000,17880000000,2020-12-31,19611000000,-7018000000,318000000,None,2055000000,1620000000,None,-7242000000,-7336000000,-1886000000,None,19611000000,42406000000,None,EUR,895000000,None,119704000000
None,132218000000,132218000000,None,16401000000,19662000000,36063000000,2019-12-31,44031000000,17310000000,5872000000,None,2352000000,1474000000,None,11267000000,11438000000,-1863000000,None,28679000000,15352000000,None,EUR,968000000,None,176249000000
None,140033000000,140033000000,None,14584000000,20187000000,34771000000,2018-12-31,44073000000,18066000000,6516000000,None,1933000000,1739000000,None,11446000000,11550000000,-1327000000,None,28811000000,15262000000,None,EUR,986000000,None,184106000000
None,115706000000,115706000000,None,16611000000,12724000000,29335000000,2017-12-31,33393000000,11328000000,3029000000,None,1534000000,1108000000,None,8631000000,8299000000,-842000000,None,26374000000,7019000000,None,EUR,912000000,22189000000,149099000000
None,97244000000,97244000000,None,14423000000,8284000000,22707000000,2016-12-31,30681000000,7176000000,970000000,None,1108000000,1757000000,None,6196000000,6206000000,-416000000,None,26089000000,4592000000,None,EUR,1050000000,24030000000,127925000000
None,114723000000,114723000000,None,19334000000,7406000000,26740000000,2015-12-31,28698000000,6439000000,1653000000,None,967000000,2119000000,None,5087000000,4786000000,None,None,26849000000,1849000000,None,EUR,1068000000,22316000000,143421000000
None,172885000000,172885000000,None,20859000000,13612000000,34471000000,2014-12-31,39133000000,12864000000,8614000000,None,748000000,None,None,4244000000,4250000000,None,None,30856000000,8277000000,None,EUR,1245000000,26726000000,212018000000
None,173135000000,173135000000,None,13358000000,27177000000,40535000000,2013-12-31,54834000000,26288000000,14767000000,None,925184346,None,None,11228000000,None,None,None,31517000000,23317000000,None,EUR,1260000000,None,227969000000
None,175465000000,175465000000,None,13466000000,31446000000,44912000000,2012-12-31,58751000000,30583000000,16747000000,None,548468411,None,None,13648000000,None,None,None,31650000000,27101000000,None,EUR,1034000000,None,234216000000
None,158110297000,158110297000,None,11182684000,35536258000,46718942000,2011-12-31,57753872000,34612144000,18263236000,None,924113796,None,None,15953600000,None,None,None,27418832000,30335040000,None,EUR,1006705000,None,215864170000
None,135468812000,135468812000,None,12125283000,28594228000,40719511000,2010-12-31,51359223000,27975795000,13602873000,None,618433302,None,None,14059050000,None,None,None,27047480000,24311744000,None,EUR,948734000,None,186828036000
None,101808127000,101808127000,None,10182532000,24060118000,34242650000,2009-12-31,58878732000,23468394000,11105221000,None,759355837,None,None,12102413000,None,None,None,38265803000,20612929000,None,EUR,931580000,None,160686859000
None,154556338000,154556338000,None,8626834000,35955119000,44581953000,2008-12-31,68640198000,34940279000,19692625000,None,1844530445,None,None,14742323000,None,None,None,36436785000,32203413000,None,EUR,851843000,26590472478,223196536000
None,128022803000,128022803000,None,8669281000,41656583000,50325864000,2007-12-31,71466896000,39526441000,19792380000,None,2130141280,None,None,19217928000,None,None,None,35263242000,36203654000,None,EUR,867418000,25430000000,199489699000
None,109984294000,109984294000,None,7331494000,36103156000,43434650000,2006-12-31,65138777000,34130053000,18107669000,None,453,None,None,15531418000,None,None,None,33178477000,31960300000,None,EUR,750909000,25784000000,175123071000
None,83252597000,83252597000,None,7204700000,29432317000,36637017000,2005-12-31,55389608000,28114081000,13983016000,None,388000000,None,None,14536130000,None,None,None,27096682000,28292926000,None,EUR,800519000,None,138642205000
