accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,3200000000,3200000000,1741000000,919000000,820000000,None,750000000,1719000000,None,2024-12-31,4362000000,257000000,257000000,4527000000,None,12846000000,None,None,1200000000,1914000000,None,1954000000,None,USD,52262000000,13596000000,750000000,4380000000,35509000000,15026000000,3643000000,18606000000,20483000000,14963000000,16903000000,None
None,None,2964000000,2964000000,1741000000,916000000,802000000,None,599000000,1787000000,None,2023-12-31,4362000000,223000000,223000000,3999000000,None,10624000000,None,None,264000000,570000000,None,1336000000,None,USD,52283000000,11223000000,599000000,5611000000,32348000000,15122000000,3320000000,15451000000,17226000000,12131000000,16897000000,None
-3074000000,344000000,3050000000,3050000000,1741000000,926000000,851000000,None,500000000,1895000000,None,2022-12-31,4362000000,152000000,152000000,2757000000,None,8235000000,None,None,302000000,1445000000,None,1226000000,6876000000,USD,50353000000,9079000000,500000000,6017000000,27207000000,14021000000,2985000000,12630000000,13186000000,9645000000,14577000000,-40214000000
-2717000000,383000000,4631000000,4631000000,1741000000,936000000,571000000,None,500000000,1701000000,None,2021-12-31,4362000000,85000000,85000000,1910000000,None,7241000000,None,None,335000000,1295000000,None,1367000000,5141000000,USD,45919000000,8206000000,582000000,5108000000,24676000000,13685000000,2569000000,11343000000,10991000000,8774000000,13333000000,-36800000000
-2512000000,249000000,3107000000,3107000000,1741000000,933000000,415000000,None,550000000,1414000000,None,2020-12-31,4362000000,274000000,274000000,1955000000,None,6248000000,None,49000000,302000000,1219000000,None,1436000000,3269000000,USD,42051000000,7119000000,622000000,3461000000,19351000000,10239000000,2390000000,10164000000,9112000000,7774000000,9187000000,-36578000000
-2437000000,259000000,2437000000,2437000000,1741000000,952000000,388000000,None,500000000,1074000000,None,2019-12-31,4362000000,409000000,409000000,2001000000,None,5303000000,None,300000000,299000000,1116000000,None,1607000000,3303000000,USD,39898000000,6135000000,573000000,2950000000,18018000000,8761000000,2123000000,9111000000,9257000000,6988000000,8907000000,-34495000000
-2242000000,None,2438000000,2438000000,1741000000,990000000,478000000,None,749000000,1207000000,None,2018-12-31,4362000000,717000000,717000000,2217000000,None,4319000000,None,251000000,440000000,1041000000,None,1308000000,3183000000,USD,37906000000,5068000000,749000000,1795000000,17137000000,8097000000,2474000000,8143000000,9040000000,5669000000,8994000000,-32130000000
-2125000000,None,1656000000,1656000000,1741000000,1012000000,466000000,None,500000000,1278000000,None,2017-12-31,4362000000,1056000000,1056000000,1957000000,None,3577000000,None,268000000,1030000000,1036000000,None,1392000000,2664000000,USD,34662000000,4077000000,500000000,2813000000,17642000000,8734000000,2258000000,7305000000,8908000000,5047000000,10337000000,-27458000000
-2411000000,None,1154000000,1154000000,1741000000,1021000000,396000000,None,631000000,1267000000,None,2016-12-31,4362000000,1316000000,1316000000,1790000000,None,2978000000,None,235000000,910000000,1154000000,None,129000000,2512000000,USD,33107000000,3609000000,631000000,2336000000,16431000000,7457000000,2264000000,5958000000,8974000000,3694000000,10473000000,-25523000000
-2869000000,None,1000000000,1000000000,1741000000,1043000000,386000000,None,1000000000,1165000000,None,2015-12-31,4362000000,1629000000,1629000000,1691000000,None,3120000000,None,221000000,1000000000,1074000000,None,196000000,2596000000,USD,31176000000,4120000000,1000000000,2218000000,16230000000,7074000000,2555000000,6284000000,9156000000,3729000000,9946000000,-24068000000
-3426000000,None,1199000000,1199000000,1741000000,1080000000,437000000,None,1001000000,1246000000,None,2014-12-31,4362000000,1985000000,1985000000,1784000000,None,3641000000,None,224000000,1197000000,1153000000,None,225000000,2840000000,USD,29653000000,4642000000,1001000000,2342000000,17722000000,7768000000,2662000000,7332000000,9954000000,4670000000,10390000000,-21840000000
-3157000000,None,1627000000,1627000000,1741000000,1113000000,422000000,None,None,1203000000,None,2013-12-31,4362000000,2341000000,2341000000,1731000000,None,4158000000,None,216000000,1256000000,281000000,None,216000000,3399000000,USD,28173000000,5158000000,1000000000,2202000000,18938000000,8019000000,2747000000,8131000000,10919000000,5384000000,10807000000,-19790000000
-2979000000,None,1416000000,1416000000,1741000000,1146000000,444000000,None,None,1230000000,None,2012-12-31,4362000000,2700000000,2700000000,1757000000,None,4186000000,None,215000000,1278000000,376000000,None,872000000,3912000000,USD,27205000000,5686000000,1500000000,2549000000,20064000000,8230000000,3430000000,9103000000,11791000000,5630000000,10961000000,-18462000000
