capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
4820000000,-2880000000,-3202000000,None,None,-528000000,None,None,None,1580000000,4795000000,4795000000,None,2024-12-31,4799000000,6318000000,None,None,None,None,None,None,None,None,None,-929000000,None,None,USD
5071000000,-2144000000,-4362000000,None,None,-1242000000,None,None,None,1238000000,4557000000,4557000000,None,2023-12-31,6510000000,6420000000,None,None,None,None,None,None,None,None,None,-293000000,None,None,USD
2797000000,-6718000000,-3583000000,-1581000000,None,-847000000,None,None,-194000000,979000000,4297000000,4297000000,None,2022-12-31,8749000000,8720000000,None,None,None,None,None,None,None,None,None,-3615000000,None,None,USD
2462000000,-3137000000,-4095000000,1524000000,None,45000000,None,None,-287000000,954000000,3886000000,3886000000,None,2021-12-31,7769000000,8756000000,None,None,None,None,None,None,None,None,None,-527000000,None,None,USD
649000000,-4547000000,-922000000,670000000,None,46000000,None,None,-340000000,992000000,3426000000,3426000000,None,2020-12-31,5595000000,6139000000,None,None,None,None,None,None,None,None,None,-2553000000,None,None,USD
847000000,-4730000000,-1920000000,-1000000,None,216000000,None,None,133000000,1050000000,3008000000,3008000000,None,2019-12-31,5017000000,6649000000,None,None,None,None,None,None,None,None,None,-2960000000,None,None,USD
1131000000,-6329000000,-78000000,782000000,None,-282000000,None,None,71000000,954000000,2555000000,2555000000,None,2018-12-31,5580000000,7189000000,None,None,None,None,None,None,None,None,None,-5100000000,None,None,USD
695000000,-3734000000,-1127000000,502000000,None,-167000000,None,None,-7000000,904000000,2104000000,2104000000,None,2017-12-31,3682000000,5363000000,None,None,None,None,None,None,None,None,None,-2556000000,None,None,USD
531000000,-3810000000,-650000000,154000000,None,-99000000,None,None,-108000000,955000000,1646000000,1646000000,None,2016-12-31,3595000000,4614000000,None,None,None,None,None,None,None,None,None,-2132000000,None,None,USD
551000000,-4165000000,-302000000,-199000000,None,93000000,None,None,77000000,1133000000,1444000000,1444000000,None,2015-12-31,2986000000,4268000000,None,None,None,None,None,None,None,None,None,-2741000000,None,None,USD
385000000,-3943000000,-377000000,-428000000,None,-53000000,None,None,-49000000,1230000000,1323000000,1323000000,None,2014-12-31,2821000000,3892000000,None,None,None,None,None,None,None,None,None,-2831000000,None,None,USD
412000000,-3170000000,-3000000,211000000,None,26000000,None,None,16000000,1215000000,1175000000,1175000000,None,2013-12-31,2162000000,3384000000,None,None,None,None,None,None,None,None,None,-2868000000,None,None,USD
495000000,-1951000000,-1039000000,424000000,None,5000000,None,None,311000000,1299000000,819000000,819000000,None,2012-12-31,1759000000,3414000000,None,None,None,None,None,None,None,None,None,-1800000000,None,None,USD
816000000,2589000000,-6172000000,-327000000,None,-17000000,None,None,112000000,1015000000,644000000,644000000,None,2011-12-31,2236000000,3256000000,None,None,None,None,None,None,None,None,None,-1973000000,None,None,USD
1199000000,-2626000000,-1057000000,137000000,None,-304000000,None,None,-231000000,913000000,592000000,592000000,None,2010-12-31,3228000000,3820000000,None,None,None,None,None,None,None,None,None,-2454000000,None,None,USD
753000000,-1411000000,-1096000000,136000000,None,177000000,None,None,-364000000,925000000,567000000,567000000,None,2009-12-31,1470000000,2643000000,None,None,None,None,None,None,None,None,None,-954000000,None,None,USD
763000000,-2430000000,-1182000000,None,None,43000000,None,None,None,1059000000,537000000,537000000,None,2008-12-31,1920000000,3330000000,None,None,None,None,None,None,None,None,None,-2122000000,None,None,USD
686000000,-4477000000,215000000,None,None,11000000,None,None,None,1070000000,425000000,425000000,None,2007-12-31,2657000000,4406000000,None,None,None,None,None,None,None,None,None,-4886000000,None,None,USD
1272000000,-5568000000,3075000000,None,None,-248000000,None,None,None,1221000000,199000000,199000000,None,2006-12-31,2638000000,2460000000,None,None,None,None,None,None,None,None,None,-5302000000,None,None,USD
1330000000,-3540000000,-1687000000,None,None,-25000000,None,None,None,1558000000,173000000,173000000,None,2005-12-31,2324000000,3772000000,None,None,None,None,None,None,None,None,None,-4151000000,None,None,USD
