comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,6547000000,6547000000,None,1580000000,5961000000,7541000000,2024-12-31,9094000000,5453000000,654000000,None,508000000,None,None,4799000000,4799000000,-508000000,None,3629000000,5465000000,None,USD,1959000000,1794000000,15641000000
None,6500000000,6500000000,None,1164000000,7331000000,8495000000,2023-12-31,11019000000,7418000000,908000000,None,353000000,None,None,6510000000,7101000000,-353000000,None,3688000000,7331000000,None,USD,1863000000,1825000000,17519000000
None,6257000000,6257000000,None,979000000,10246000000,11225000000,2022-12-31,13771000000,10032000000,1283000000,None,214000000,None,None,8749000000,8749000000,-214000000,None,3631000000,10140000000,106000000,USD,1670000000,1704000000,20028000000
None,5968000000,5968000000,None,954000000,9103000000,10057000000,2021-12-31,12376000000,8919000000,1150000000,None,184000000,None,None,7769000000,7769000000,-184000000,None,3416000000,8960000000,143000000,USD,1554000000,1666000000,18344000000
None,5192000000,5192000000,None,992000000,6207000000,7199000000,2020-12-31,9269000000,6017000000,422000000,None,190000000,None,None,5595000000,5595000000,-190000000,None,3375000000,5894000000,313000000,USD,1530000000,1623000000,14461000000
None,5219000000,5219000000,None,1050000000,5898000000,6948000000,2019-12-31,9164000000,5728000000,711000000,None,170000000,170000000,None,5017000000,5017000000,-170000000,None,3189000000,5723000000,175000000,USD,1544000000,1645000000,14383000000
None,5507000000,5507000000,None,954000000,6811000000,7765000000,2018-12-31,10277000000,6686000000,1106000000,None,125000000,125000000,None,5580000000,5580000000,-125000000,None,3243000000,6713000000,98000000,USD,1559000000,1684000000,15784000000
None,5347000000,5347000000,None,904000000,6158000000,7062000000,2017-12-31,9614000000,6080000000,2398000000,None,78000000,78000000,None,3682000000,3682000000,-78000000,None,3202000000,6083000000,75000000,USD,1508000000,1694000000,14961000000
None,5130000000,5130000000,None,955000000,5010000000,5965000000,2016-12-31,8240000000,4930000000,1335000000,None,80000000,8000000,None,3595000000,3595000000,-58000000,None,3137000000,4855000000,211000000,USD,1356000000,1767000000,13370000000
None,5440000000,5440000000,None,1133000000,4306000000,5439000000,2015-12-31,7560000000,4216000000,1230000000,None,90000000,90000000,None,2986000000,2986000000,None,None,3028000000,4274000000,32000000,USD,1267000000,1748000000,13000000000
None,5618000000,5618000000,None,1230000000,3968000000,5198000000,2014-12-31,7427000000,3874000000,1053000000,None,94000000,None,None,2821000000,2821000000,None,None,3201000000,3947000000,21000000,USD,1358000000,1843000000,13045000000
None,5841000000,5841000000,None,1297000000,2851000000,4148000000,2013-12-31,6364000000,2754000000,592000000,None,95000000,None,None,2125000000,2162000000,None,None,3380000000,2832000000,17000000,USD,1522000000,1858000000,12205000000
None,6457000000,6457000000,None,1401000000,1918000000,3319000000,2012-12-31,6368000000,1935000000,176000000,None,85000000,None,None,1759000000,1759000000,None,None,3681000000,1973000000,47000000,USD,1877000000,1804000000,12825000000
None,6963000000,6963000000,None,1015000000,2997000000,4012000000,2011-12-31,6772000000,2955000000,719000000,None,42000000,None,None,2201000000,2236000000,None,None,3353000000,3475000000,5000000,USD,1715000000,1638000000,13735000000
None,6474000000,6474000000,None,913000000,4551000000,5464000000,2010-12-31,7492000000,4551000000,1323000000,None,13000000,None,None,3228000000,3228000000,None,None,3089000000,4514000000,37000000,USD,1570000000,1519000000,13966000000
None,5428000000,5428000000,None,925000000,2203000000,3128000000,2009-12-31,4999000000,2017000000,547000000,None,24000000,None,None,1470000000,1470000000,None,None,2796000000,2211000000,26000000,USD,1476000000,1320000000,10427000000
None,6256000000,6256000000,None,1059000000,2691000000,3750000000,2008-12-31,6245000000,2481000000,561000000,None,76000000,None,None,1920000000,None,None,None,3554000000,2735000000,None,USD,1940000000,1614000000,12501000000
None,6502000000,6502000000,None,1070000000,3497000000,4567000000,2007-12-31,7333000000,3692000000,1051000000,None,1000000,None,None,2657000000,None,None,None,3836000000,3497000000,None,USD,2155000000,1681000000,13835000000
None,6996000000,6996000000,None,1221000000,3367000000,4588000000,2006-12-31,7259000000,3625000000,987000000,None,7000000,None,None,4341000000,None,None,None,3892000000,3367000000,None,USD,2195000000,1697000000,14255000000
None,7029000000,7029000000,None,1527000000,2559000000,4086000000,2005-12-31,6363000000,2755000000,582000000,None,9000000,None,None,2324000000,None,None,None,3572000000,2791000000,None,USD,2015000000,1557000000,13392000000
