accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,17391000000,3298000000,3298000000,7621000000,7204000000,27433000000,None,5089000000,9638000000,None,2024-12-31,63432000000,132290000000,132290000000,2270000000,None,118443000000,None,295000000,15962000000,8950000000,None,23900000000,149780000000,USD,1871000000,140923000000,5089000000,None,394795000000,31168000000,46872000000,274570000000,363627000000,227698000000,104372000000,None
None,17568000000,6722000000,6722000000,7621000000,7258000000,27309000000,None,9477000000,10289000000,None,2023-12-31,67854000000,132502000000,132502000000,2177000000,None,127854000000,None,1251000000,17270000000,9541000000,None,23696000000,149394000000,USD,-5015000000,154899000000,9477000000,80000000,407060000000,36458000000,51127000000,287645000000,370602000000,236518000000,103297000000,None
None,18659000000,3701000000,3701000000,7621000000,7587000000,31101000000,None,7597000000,11466000000,None,2022-12-31,67895000000,129446000000,129446000000,3123000000,None,128423000000,None,3533000000,14818000000,12759000000,None,28849000000,149259000000,USD,-19415000000,154679000000,7597000000,38000000,402853000000,33108000000,56173000000,296396000000,369745000000,240223000000,97500000000,-17082000000
None,21261000000,19223000000,19223000000,7621000000,7503000000,29511000000,None,25875000000,12313000000,None,2021-12-31,92740000000,119221000000,119221000000,3325000000,None,152820000000,None,7274000000,135907000000,45740000000,None,30578000000,150084000000,USD,42350000000,195832000000,25865000000,1106000000,551622000000,170768000000,106230000000,367767000000,380854000000,261537000000,166332000000,-17280000000
None,22202000000,9740000000,9740000000,7621000000,7183000000,31836000000,None,3470000000,20215000000,None,2020-12-31,135259000000,146316000000,146316000000,3695000000,None,153775000000,None,1780000000,18358000000,20748000000,None,28358000000,14752000000,USD,37457000000,179636000000,3659000000,29000000,525761000000,52008000000,63438000000,346521000000,473753000000,283083000000,161673000000,-17910000000
None,23838000000,12130000000,12130000000,7621000000,7348000000,29640000000,None,11676000000,22636000000,None,2019-12-31,146241000000,157617000000,157617000000,2864000000,None,149437000000,None,3695000000,19995000000,20097000000,None,29421000000,130128000000,USD,57936000000,184951000000,11838000000,54000000,551669000000,54761000000,68911000000,349735000000,496908000000,280824000000,184221000000,-13085000000
None,None,5204000000,5204000000,7621000000,6806000000,27018000000,None,10255000000,26472000000,None,2018-12-31,146370000000,163827000000,163827000000,2047000000,None,166250000000,None,6245000000,19751000000,20020000000,None,30233000000,131473000000,USD,58753000000,176505000000,10255000000,8000000,531864000000,51427000000,64420000000,337980000000,480437000000,273560000000,184089000000,-12059000000
None,None,50498000000,50498000000,6495000000,6183000000,24439000000,None,38374000000,16522000000,None,2017-12-31,105449000000,114276000000,114276000000,2225000000,None,125972000000,None,1560000000,12126000000,13101000000,None,19747000000,125222000000,USD,50500000000,164346000000,38374000000,1000000,444097000000,79146000000,81389000000,302090000000,364951000000,220701000000,140861000000,-12714000000
None,None,5788000000,5788000000,6495000000,6189000000,22027000000,None,9832000000,16794000000,None,2016-12-31,105207000000,116860000000,116860000000,2039000000,None,113681000000,None,1674000000,15787000000,12119000000,None,21748000000,124899000000,USD,34734000000,123513000000,9832000000,245000000,403821000000,38369000000,50576000000,279711000000,365452000000,229135000000,123135000000,-12659000000
None,None,5121000000,5121000000,6495000000,5646000000,21047000000,None,7632000000,16532000000,None,2015-12-31,104568000000,120710000000,120710000000,4033000000,None,121981000000,None,1606000000,14339000000,12275000000,None,None,124450000000,USD,33671000000,126151000000,7636000000,95000000,402672000000,35992000000,47816000000,279032000000,366680000000,231216000000,122671000000,-12592000000
None,None,8603000000,8603000000,6495000000,5221000000,14984000000,None,6051000000,14527000000,None,2014-12-31,69692000000,66963000000,66963000000,1933000000,None,76011000000,None,250000000,10476000000,11046000000,None,None,112898000000,USD,31081000000,81834000000,6056000000,1992000000,296834000000,33606000000,37282000000,206564000000,263228000000,169282000000,89716000000,-47029000000
None,None,3339000000,3339000000,6495000000,5385000000,11561000000,None,None,12918000000,None,2013-12-31,69273000000,62212000000,62212000000,1148000000,None,69290000000,None,3860000000,6939000000,11950000000,None,None,110968000000,USD,31141000000,74788000000,5498000000,106000000,277787000000,23196000000,34995000000,186305000000,254591000000,151310000000,90988000000,-45619000000
None,None,4868000000,4868000000,6495000000,5821000000,12076000000,None,None,12657000000,None,2012-12-31,69773000000,58775000000,58775000000,1036000000,None,66358000000,None,4581000000,5181000000,10974000000,None,None,109767000000,USD,22481000000,69844000000,3486000000,86000000,272315000000,22706000000,31787000000,179620000000,249609000000,147833000000,92362000000,-32888000000
None,None,3045000000,3045000000,6495000000,5950000000,10485000000,None,None,13231000000,None,2011-12-31,70842000000,59343000000,59343000000,2572000000,None,61300000000,None,None,6709000000,12079000000,None,None,107087000000,USD,25453000000,64753000000,3453000000,149000000,270442000000,22985000000,30892000000,164645000000,247457000000,133753000000,105534000000,-20750000000
None,None,1437000000,1437000000,6495000000,5938000000,7437000000,None,None,13610000000,None,2010-12-31,73601000000,60520000000,60520000000,2628000000,None,58971000000,None,4515000000,5807000000,13882000000,None,41546000000,103196000000,USD,31792000000,66167000000,7196000000,0,269391000000,20854000000,34854000000,157441000000,248537000000,122587000000,111647000000,-21083000000
None,None,3741000000,3741000000,6495000000,5924000000,7511000000,None,None,14845000000,None,2009-12-31,72782000000,61628000000,61628000000,2809000000,None,64720000000,None,None,6601000000,14737000000,None,None,100093000000,USD,21944000000,72081000000,7361000000,2921000000,268312000000,25187000000,36951000000,166323000000,243125000000,129372000000,101564000000,-21260000000
None,None,1792000000,1792000000,6495000000,5958000000,6921000000,None,None,16047000000,None,2008-12-31,71829000000,63712000000,63712000000,2552000000,None,60872000000,None,None,4717000000,13543000000,None,None,99088000000,USD,36591000000,74991000000,14119000000,2332000000,265245000000,22556000000,42290000000,168495000000,242689000000,126205000000,96347000000,-21410000000
None,None,1970000000,1970000000,6495000000,6170000000,7059000000,None,None,16185000000,None,2007-12-31,70713000000,58402000000,58402000000,3568000000,None,57255000000,None,None,6531000000,14409000000,None,None,95890000000,USD,33297000000,64115000000,6860000000,2270000000,275644000000,24686000000,39274000000,160277000000,250958000000,121003000000,115367000000,-15683000000
None,None,2418000000,2418000000,6495000000,3902000000,6919000000,None,None,16194000000,None,2006-12-31,67657000000,59740000000,59740000000,4511000000,None,50063000000,None,None,6941000000,15681000000,None,None,94596000000,USD,30375000000,59796000000,9733000000,None,270634000000,25553000000,40482000000,155094000000,245081000000,114612000000,115540000000,-7368000000
None,None,1224000000,1224000000,4065000000,3379000000,4466000000,None,None,9351000000,None,2005-12-31,14055000000,8503000000,8503000000,3040000000,None,26115000000,None,None,4079000000,10362000000,None,None,58727000000,USD,29106000000,30570000000,4455000000,None,145632000000,14654000000,25418000000,90942000000,130978000000,65524000000,54690000000,-5406000000
