capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
20263000000,-24708000000,-17490000000,None,None,-383000000,None,None,None,20580000000,8208000000,8208000000,None,2024-12-31,12253000000,38771000000,None,None,None,None,None,None,None,None,None,-215000000,None,None,USD
17853000000,-15614000000,-19660000000,None,None,1850000000,None,None,None,18777000000,8136000000,8136000000,None,2023-12-31,14400000000,38314000000,None,None,None,None,None,None,None,None,None,-194000000,None,None,USD
19626000000,-23741000000,-25805000000,-50651000000,None,1109000000,None,None,None,18021000000,9859000000,9859000000,None,2022-12-31,-6874000000,32023000000,None,None,None,None,None,None,None,None,None,-3555000000,None,None,USD
16527000000,1578000000,-32089000000,11446000000,None,1109000000,None,None,None,22862000000,15068000000,15068000000,None,2021-12-31,21479000000,41957000000,None,None,None,None,None,None,None,None,None,-202000000,None,None,USD
15675000000,-32007000000,-13548000000,-2425000000,None,-1636000000,None,None,None,28516000000,14956000000,14956000000,None,2020-12-31,-3821000000,43130000000,None,None,None,None,None,None,None,None,None,-5498000000,None,None,USD
19435000000,-25083000000,-16690000000,6895000000,None,1524000000,None,None,None,28217000000,14888000000,14888000000,None,2019-12-31,14975000000,48668000000,None,None,None,None,None,None,None,None,None,-2417000000,None,None,USD
20758000000,-25989000000,-63145000000,-45532000000,None,None,None,None,None,28430000000,13410000000,13410000000,None,2018-12-31,19370000000,43602000000,None,None,None,None,None,None,None,None,None,-609000000,None,None,USD
20647000000,25930000000,-18943000000,44710000000,None,0,None,None,None,24387000000,12038000000,12038000000,None,2017-12-31,29450000000,38010000000,None,None,None,None,None,None,None,None,None,-463000000,None,None,USD
21516000000,-14462000000,-24215000000,667000000,None,0,None,None,None,25847000000,11797000000,11797000000,None,2016-12-31,12976000000,39344000000,None,None,None,None,None,None,None,None,None,-512000000,None,None,USD
19218000000,9782000000,-49144000000,-3482000000,None,0,None,None,None,22016000000,10200000000,10200000000,None,2015-12-31,13345000000,35880000000,None,None,None,None,None,None,None,None,None,-269000000,None,None,USD
21199000000,-7737000000,-18337000000,5264000000,None,0,None,None,None,18273000000,9552000000,9552000000,None,2014-12-31,6736000000,31338000000,None,None,None,None,None,None,None,None,None,-1617000000,None,None,USD
20944000000,-13201000000,-23124000000,-1529000000,None,0,None,None,None,18395000000,9696000000,9696000000,None,2013-12-31,6995000000,34796000000,None,None,None,None,None,None,None,None,None,-13028000000,None,None,USD
19465000000,-17673000000,-19680000000,1823000000,None,0,None,None,None,18143000000,10241000000,10241000000,None,2012-12-31,7264000000,39176000000,None,None,None,None,None,None,None,None,None,-12752000000,None,None,USD
20110000000,-11650000000,-21250000000,None,None,0,None,None,None,18377000000,10172000000,10172000000,None,2011-12-31,4184000000,34648000000,None,None,None,None,None,None,None,None,None,7936000000,None,None,USD
19530000000,-15848000000,-21449000000,-2304000000,None,0,None,None,None,19379000000,9916000000,9916000000,None,2010-12-31,19864000000,34993000000,None,None,None,None,None,None,None,None,None,3827000000,None,None,USD
16595000000,-14510000000,-17925000000,None,None,None,None,None,None,19714000000,9670000000,9670000000,None,2009-12-31,12843000000,34445000000,None,None,None,None,None,None,None,None,None,8161000000,None,None,USD
19676000000,-4691000000,-29143000000,None,None,None,None,None,None,19883000000,9507000000,9507000000,None,2008-12-31,12867000000,33656000000,None,None,None,None,None,None,None,None,None,-6077000000,None,None,USD
17717000000,-16014000000,-18506000000,None,None,None,None,None,None,21577000000,8743000000,8743000000,None,2007-12-31,12147000000,34072000000,None,None,None,None,None,None,None,None,None,-10390000000,None,None,USD
8320000000,-6128000000,-8293000000,None,None,None,None,None,None,9907000000,5153000000,5153000000,None,2006-12-31,7356000000,15615000000,None,None,None,None,None,None,None,None,None,-2678000000,None,None,USD
5576000000,-11226000000,-974000000,None,None,None,None,None,None,7643000000,4256000000,4256000000,None,2005-12-31,4786000000,12974000000,None,None,None,None,None,None,None,None,None,-2571000000,None,None,USD
