comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,69801000000,69801000000,None,20580000000,23443000000,44023000000,2024-12-31,52535000000,16698000000,4445000000,None,6745000000,4509000000,None,10948000000,12253000000,-6759000000,None,28274000000,24261000000,None,USD,955000000,28411000000,122336000000
None,68900000000,68900000000,None,18777000000,26540000000,45317000000,2023-12-31,53528000000,19848000000,4225000000,None,6692000000,4861000000,None,14400000000,15623000000,-6704000000,None,28760000000,24768000000,None,USD,954000000,28874000000,122428000000
None,50848000000,50848000000,None,18021000000,3045000000,21066000000,2022-12-31,69893000000,-3094000000,3780000000,None,6139000000,4317000000,None,-8524000000,-6874000000,-6108000000,None,74480000000,-4587000000,7601000000,USD,1236000000,28961000000,120741000000
None,60407000000,60407000000,None,17852000000,35867000000,53719000000,2021-12-31,73631000000,29171000000,5395000000,None,6696000000,6253000000,None,20081000000,21479000000,-6884000000,None,47734000000,25897000000,10484000000,USD,1325000000,37944000000,134038000000
None,108436000000,108436000000,None,28516000000,5054000000,33570000000,2020-12-31,63324000000,-2856000000,965000000,None,7910000000,7830000000,None,-5176000000,-3821000000,-7925000000,None,37607000000,25717000000,-1336000000,USD,1210000000,38039000000,171760000000
None,112358000000,112358000000,None,28217000000,26872000000,55089000000,2019-12-31,68907000000,18468000000,3493000000,None,8404000000,8215000000,None,13903000000,14975000000,-8422000000,None,38530000000,30377000000,-1077000000,USD,1276000000,33297000000,181193000000
None,107849000000,107849000000,None,28430000000,32785000000,61215000000,2018-12-31,62956000000,24873000000,4920000000,None,7912000000,8185000000,None,19370000000,19953000000,-7957000000,None,35667000000,27289000000,6734000000,USD,1194000000,36765000000,170756000000
None,102197000000,102197000000,None,24387000000,21418000000,45805000000,2017-12-31,58349000000,15139000000,-14708000000,None,6279000000,6405000000,None,29450000000,29847000000,-6300000000,None,34842000000,23507000000,490000000,USD,1503000000,34917000000,160546000000
None,102731000000,102731000000,None,25847000000,24701000000,50548000000,2016-12-31,61055000000,19812000000,6479000000,None,4889000000,4694000000,None,12976000000,13333000000,-4910000000,None,35181000000,25874000000,375000000,USD,1649000000,36347000000,163786000000
None,89062000000,89062000000,None,22016000000,24792000000,46808000000,2015-12-31,57739000000,20692000000,7005000000,None,4100000000,4041000000,None,13345000000,13687000000,None,None,31033000000,26706000000,27000000,USD,1693000000,32954000000,146801000000
None,78884000000,78884000000,None,18273000000,13529000000,31802000000,2014-12-31,53563000000,9960000000,3442000000,None,3569000000,None,None,6442000000,6518000000,None,None,39697000000,13866000000,1827000000,USD,1730000000,39697000000,132447000000
None,69859000000,69859000000,None,18395000000,31671000000,50066000000,2013-12-31,58893000000,27777000000,9224000000,None,3894000000,None,None,18418000000,18553000000,None,None,28414000000,30479000000,1238000000,USD,1488000000,28414000000,128752000000
None,73358000000,73358000000,None,18143000000,13840000000,31983000000,2012-12-31,54076000000,10439000000,2900000000,None,3401000000,None,None,7264000000,7539000000,None,None,41079000000,12997000000,886000000,USD,1278000000,41079000000,127434000000
None,75751000000,75751000000,None,18377000000,10228000000,28605000000,2011-12-31,50972000000,6716000000,2532000000,None,3512000000,None,None,3944000000,None,None,None,38844000000,12128000000,None,USD,1197000000,38844000000,126723000000
None,71642000000,71642000000,None,19379000000,21213000000,40592000000,2010-12-31,52638000000,18238000000,-1162000000,None,2975000000,None,None,19864000000,19400000000,None,None,33065000000,19573000000,1659000000,USD,1345000000,33065000000,124280000000
None,70086000000,70086000000,None,19515000000,21863000000,41378000000,2009-12-31,52427000000,18518000000,6091000000,None,3345000000,None,None,12138000000,None,None,None,31427000000,21000000000,None,USD,986000000,31407000000,122513000000
None,69778000000,69778000000,None,19883000000,23554000000,43437000000,2008-12-31,54250000000,20164000000,7036000000,None,3390000000,None,None,-2625000000,None,None,None,30209000000,24041000000,None,USD,832000000,31187000000,123443000000
None,67632000000,67632000000,None,21577000000,21907000000,43484000000,2007-12-31,51296000000,18400000000,6253000000,None,3507000000,None,None,11951000000,None,None,None,29620000000,21676000000,None,USD,985000000,30892000000,118928000000
None,37256000000,37256000000,None,9907000000,12724000000,22631000000,2006-12-31,25799000000,10881000000,3525000000,None,1843000000,None,None,7356000000,None,None,None,14737000000,11062000000,None,USD,223000000,15511000000,63055000000
None,26833000000,26833000000,None,7643000000,7174000000,14817000000,2005-12-31,17029000000,5718000000,932000000,None,1456000000,None,None,4786000000,None,None,None,10012000000,7017000000,None,USD,130000000,10861000000,43764000000
