accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,4597000000,223329000000,223329000000,346000000,3351112000,49023000000,None,30509000000,25858000000,None,2024-12-31,5990000000,897000000,897000000,None,None,322128000000,None,317873000000,-25858000000,817796000000,None,None,15498000000,USD,78035000000,336961000000,51140000000,161260000000,1565028000000,410447000000,917959000000,1479455000000,1154581000000,561496000000,85079000000,None
None,5502000000,317212000000,317212000000,346000000,3295996000,49214000000,None,38530000000,35890000000,None,2023-12-31,6043000000,1472000000,1472000000,-623719718869,None,366106000000,None,343808000000,2080000000,901708000000,None,None,17849000000,USD,74880000000,399495000000,60340000000,97147000000,1717246000000,452329000000,1013842000000,1630607000000,1264917000000,616765000000,86108000000,None
None,3334000000,172825000000,172825000000,304000000,3674024290,47034000000,None,29676000000,23430000000,None,2022-12-31,6043000000,224000000,224000000,-379831109306,None,188259000000,None,187524000000,373977109306,-2184120150,None,None,12288000000,USD,50004000000,217935000000,29676000000,2239000000,1104364000000,189260000000,74761000000,1047146000000,206079000000,74761000000,56876000000,None
None,3558000000,194798000000,194798000000,322000000,3975819271,45139000000,None,2458000000,26325000000,None,2021-12-31,6126000000,252000000,252000000,-429561801985,None,212954000000,None,183800000000,429561801985,-239690763,None,None,12888000000,USD,43851000000,256052000000,43098000000,8844000000,1117182000000,229967000000,88237000000,1056180000000,202183000000,176082000000,60662000000,-4675000000
None,3927000000,158231000000,158231000000,338000000,4193708157,38742000000,None,30987000000,24659000000,None,2020-12-31,6182000000,298000000,298000000,-391492000000,None,200475000000,None,242770000000,391492000000,-228000000,None,None,9328000000,USD,38847000000,247142000000,46667000000,8258000000,1125765000000,191148000000,85409000000,1065929000000,215261000000,201267000000,59517000000,-4068000000
None,3943000000,107068000000,107068000000,338000000,3890287435,37233000000,None,16648000000,18007000000,None,2019-12-31,6272000000,197000000,197000000,-345624000000,None,155469000000,None,235251000000,345624000000,-141000000,None,None,9406000000,USD,34154000000,181250000000,21838000000,6345000000,972183000000,131420000000,59071000000,917476000000,219822000000,177447000000,54533000000,-3326000000
None,None,110732000000,110732000000,338000000,3841569146,39964000000,None,21258000000,20602000000,None,2018-12-31,6392000000,3232758000,3232758000,None,None,125634000000,None,217389000000,990000000,-41397000000,None,None,6313000000,USD,30448000000,152726000000,39025000000,6667000000,958489000000,138001000000,78989000000,905385000000,182535000000,152941000000,52928000000,-2631000000
None,None,92151000000,92151000000,395240686.18,3836714533,31965000000,None,25213000000,22447617776.59,None,2017-12-31,6342000000,2721304000,2721304000,134223660000,None,141672000000,None,216203841534.15,1039000000,-33327297118,None,None,6485000000,USD,25932000000,146103000000,52308308267.20,8889000000,939279000000,113109671590,32248560194,886725000000,193363036269,153989877,52495000000,-2210000000
0,0,118689267976.68,118689267976.68,377888145.11,3844186047,33594746864.02,None,19725000000,12220019237.94,None,2016-12-31,6194420996.84,240474274.16,240474274.16,86586443320.69,None,150894000000,None,186833788107.81,602363518580.32,-33594746864.02,None,0,8186000000,USD,31239080504.90,176588430812.12,25694430812.12,15386427435.66,917074654993.03,134075695412.34,33594746864.02,864344045071.75,169296833591.80,164896645.14,52730609921.28,-2016390775.44
None,None,105696855651,105696855651,389502650.64,3781274265,47825867022,None,11836000000,14293229735.75,None,2015-12-31,6312978025,1564000000,1564000000,123824498000,None,119045374836,None,63975000000,-0.95,-49106673140.18,None,None,8433800964,USD,29849055076,135647080247,21463113593.14,63274452672,953845453441,167736028489,47825867022,895867225122,157822427259,212455991,55959896402,-1855545813
