capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
2008000000,-84165000000,709000000,None,None,None,None,None,None,3798000000,2187610000,2187610000,None,2024-12-31,5146000000,3279000000,None,None,None,None,None,None,None,None,None,-2834391000,None,None,USD
1685000000,-58262000000,103228000000,None,None,None,None,None,None,3368602774,1679000000,1679000000,None,2023-12-31,27866000000,86068000000,None,None,None,None,None,None,None,None,None,-2779000000,None,None,USD
1643000000,-9094000000,-12447000000,None,None,None,None,None,None,2061000000,1668000000,1668000000,None,2022-12-31,7661000000,14647000000,None,None,None,None,None,None,None,None,None,-6006000000,None,None,USD
1841000000,10345000000,-2119000000,None,None,None,None,None,None,2118000000,1301000000,1301000000,None,2021-12-31,7486000000,31425000000,None,None,None,None,None,None,None,None,None,-3341000000,None,None,USD
1854000000,12432000000,-6785000000,None,None,None,None,None,None,2126000000,2607000000,2607000000,None,2020-12-31,6572000000,36958000000,None,None,None,None,None,None,None,None,None,-1387000000,None,None,USD
1584000000,-25614000000,-1558000000,None,None,None,None,None,None,1830000000,2544000000,2544000000,None,2019-12-31,4310000000,19705000000,None,None,None,None,None,None,None,None,None,-1559000000,None,None,USD
1688000000,190000000,-6132000000,None,None,None,None,None,None,1293000000,2387936263,2387936263,None,2018-12-31,4522000000,28913000000,None,None,None,None,None,None,None,None,None,-1431000000,None,None,USD
1635372501.51,27315751111,5235655842,None,None,None,None,None,None,1132338900,2223447998,2223447998,None,2017-12-31,1158003880,-52265191101.44,None,None,None,None,None,None,None,None,None,-718511305,None,None,USD
1744174633.4,-954044875.44,35656936455,0,0,0,None,None,0,1056123751,3164000000,3164000000,None,2016-12-31,3225299856,-16153000530.02,None,None,None,None,None,None,None,None,None,-1248000000,None,None,USD
1862530856.7,-6672129820.73,-8441000000,None,None,None,None,None,None,1039010966,2760000000,2760000000,None,2015-12-31,6460685524,3145360365,None,None,None,None,None,None,None,None,None,-854882441.02,None,None,USD
1936632181.47,2131812343,2625324878,None,None,None,None,None,None,910166560,944269952,944269952,None,2014-12-31,3681118089,8494887897,None,None,None,None,None,None,None,None,None,-701839547.75,None,None,USD
1392723134.3,-53584909912.45,6148940245,None,None,None,None,None,None,1012991988,633352049,633352049,None,2013-12-31,3809706243,61213336788,None,None,None,None,None,None,None,None,None,-384238340.45,None,None,USD
1224655223.41,-41670044144.55,-16245851179.20,None,None,None,None,None,None,870841594,413963344,413963344,None,2012-12-31,-2448215048.58,73446451457,None,None,None,None,None,None,None,None,None,-1269566550.92,None,None,USD
1199672719.93,2837135661,20589954202,None,None,None,None,None,None,943586692,None,None,None,2011-12-31,4704119690,-15132452794.10,None,None,None,None,None,None,None,None,None,-2002996525.31,None,None,USD
578764375.5,2190960149,-27491842738.70,None,None,None,None,None,None,1107247927,None,None,None,2010-12-31,7986092538,12798074351,None,None,None,None,None,None,None,None,None,-1678523669.43,None,None,USD
825120772.95,-52350724637.68,-19867632850.24,None,None,None,None,None,None,2290821256,None,None,None,2009-12-31,-2053140096.62,52654106280,None,None,None,None,None,None,None,None,None,None,None,None,USD
1136586504.79,-5189820219.47,-1565257996.73,None,None,None,None,None,None,1676395050,None,None,None,2008-12-31,-18976418398.32,72072846135,None,None,None,None,None,None,None,None,None,None,None,None,USD
1683635241.75,65043853849,2426726607,None,None,None,None,None,None,1353078584,3768345894.49,3768345894.49,None,2007-12-31,-3389307593.99,-45198995107.76,None,None,None,None,None,None,None,None,None,-2442593327.16,None,None,USD
1469913100.51,38888342351,3639121167,None,None,None,None,None,None,1246925725,2634858173.47,2634858173.47,None,2006-12-31,10452533202,-3861288735.86,None,None,None,None,None,None,None,None,None,-3488276766.68,None,None,USD
1440000000,49128000000,-1833000000,None,None,None,None,None,None,1443000000,2363000000,2363000000,None,2005-12-31,11181000000,-48107000000,None,None,None,None,None,None,None,None,None,-1834472285.50,None,None,USD
