comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,36499000000,36499000000,None,3368000000,6821000000,10189000000,2024-12-31,44795000000,6821000000,1675000000,None,35947000000,43055000000,None,5086000000,5146000000,7108000000,None,37974000000,6821000000,None,USD,None,29803000000,81294000000
None,-305000000,-305000000,None,3750000000,28255000000,32005000000,2023-12-31,39063000000,28255000000,873000000,None,28216000000,28521000000,None,27366000000,30908000000,6790000000,None,10808000000,28255000000,None,USD,None,26982000000,39063000000
None,None,None,None,2061000000,9604000000,11665000000,2022-12-31,33363000000,9604000000,1942000000,None,6563000000,13185000000,None,7629000000,7662000000,6621000000,None,23759000000,9604000000,None,USD,None,21059000000,33363000000
None,None,None,None,2118000000,9484000000,11602000000,2021-12-31,35059000000,9484000000,1998000000,None,3260000000,9964000000,None,7457000000,7486000000,6705000000,None,25575000000,9484000000,None,USD,None,21612000000,35059000000
None,None,None,None,2126000000,8155000000,10281000000,2020-12-31,32074000000,8155000000,1583000000,None,4248000000,8810000000,None,6557000000,6643000000,5862000000,None,23919000000,8155000000,None,USD,None,20378000000,32074000000
None,None,None,None,1940000000,5577000000,7517000000,2019-12-31,28975000000,5577000000,1267000000,None,7193000000,10685000000,None,4304000000,4310000000,4500000000,None,23398000000,5577000000,None,USD,None,19708000000,28975000000
None,326000000,326000000,None,1283638148,5422452877,6706091025,2018-12-31,30004000000,5991000000,1468000000,None,7748000000,17068000000,None,4515000000,4523000000,6025000000,None,30005000000,16359000000,None,USD,None,19976000000,30005000000
None,105739716,105739716,None,1135259679,5327842354,6463102033,2017-12-31,29865823486,5351000000,4305000000,None,6633000000,14571548830.19,None,969000000,1159030479.73,6655000000,None,29652000000,29067000,None,USD,None,19107064028,29652000000
None,81466794,81466794,None,1022285629,7559403749,8581689378,2016-12-31,27752694294,4209000000,777000000,None,7471000000,13530358650.20,None,3348000000,3224318329.05,6488000000,None,28627000000,28320000,0,USD,0,17954103767,28627000000
None,819473109,819473109,None,1039010966,-1031629966,7381000,2015-12-31,30260815021,5553194933,-908502286.43,None,6519363846,13550642674,None,6275545303,6386000000,7379438843,None,30260815021,30605000,None,USD,None,19076524624,30260815021
None,7253000000,7253000000,None,910166560,5678672568,6588839128,2014-12-31,28154485604,2488799894,-1193329490.41,None,6715006623,None,None,3648756611,3640000000,None,None,28154485604,9170433744,None,USD,None,18858651133,28154485604
None,25708670000,25708670000,None,1012991988,7781071091,8794063079,2013-12-31,31018513301,3686885190,-123947851.76,None,8283096893,None,None,3804072250,None,None,None,30796533967,11963221291,None,USD,None,20960708530,30796533967
None,119398407,119398407,None,870841594,3186622763,4057464357,2012-12-31,27792443943,-1965144428.26,504978584,None,10943028337,None,None,-2475600004.38,None,None,None,27749723411,8679935590,None,USD,None,19356782158,27749723411
None,194455365,194455365,None,943586692,5715966206,6659552898,2011-12-31,29489209321,5639205602,957400461,None,11840525348,None,None,4397028977,None,None,None,29489209321,17240646484,None,USD,None,19583674250,29489209321
None,148702861,148702861,None,1107247927,14005937353,15113185280,2010-12-31,33772666489,7857715966,-437550147.10,None,13541588660,None,None,7972185076,None,None,None,33772666488,21193902112,None,USD,None,21958812516,33772666488
None,290821256,290821256,None,2290821256,3194063870,5484885126,2009-12-31,23186473429,-2474396135.27,-428019323.67,None,16440579710,None,None,-2642512077.29,None,None,None,23183574879,13370048309,None,USD,None,18909178743,23183574879
None,27879587000,27879587000,None,1676395050,24042185435,25718580485,2008-12-31,3401354190,-25923885127.25,-6385243987.86,None,55743170674,None,None,-19885127247.26,None,None,None,3537707214,29851038991,None,USD,None,19448984356,3537707214
None,30175945000,30175945000,None,1353078584,97456182339,98809260923,2007-12-31,26589977522,-3298514698.75,1206752170,None,91476045660,None,None,-4625148750.50,None,None,None,26361673057,88767244038,None,USD,None,26431310326,26361673057
None,26179582000,26179582000,None,1246925725,21950420060,23197345785,2006-12-31,39262993933,11714000000,2286000000,None,66363000000,None,None,10057000000,None,None,None,39401000000,78638301360,None,USD,None,23589932775,39401000000
None,27170672000,27170672000,None,1443000000,9900982586,11343982586,2005-12-31,38512000000,9599848139,1871678056,None,37781321184,None,None,10652239939,None,None,None,30548215641,50489000000,None,USD,None,16020000000,30548215641
