accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,1486000000,6136000000,6136000000,88000000,2507100000,10258000000,None,5880000000,5117000000,None,2024-12-31,22311000000,18590000000,18590000000,5177000000,None,23289000000,None,None,1271000000,7541000000,None,55000000,11669000000,EUR,49721000000,30655000000,6202000000,1493000000,79750000000,19194000000,25234000000,57195000000,60556000000,31961000000,19990000000,None
None,1395000000,4159000000,4159000000,88000000,2532400000,10355000000,None,4567000000,4938000000,None,2023-12-31,21109000000,18357000000,18357000000,5119000000,None,22631000000,None,None,1736000000,7400501000,None,33000000,10707000000,EUR,47052000000,28593000000,4901000000,1729981000,75266000000,17902000000,23507000000,54502000000,57364000000,30995000000,18102000000,None
None,1408000000,4326000000,4326000000,92000000,2559800000,18023000000,None,5231000000,7456227454,None,2022-12-31,21609000000,18880000000,18880000000,5931000000,None,23713000000,None,None,7703000000,1833000000,None,270000000,10770000000,EUR,50253000000,29284000000,5571000000,1197000000,77821000000,19157000000,25427000000,56120000000,58664000000,30693000000,19021000000,None
None,1649000000,3415000000,3415000000,92000000,2609600000,14861000000,None,6696000000,5737583273,None,2021-12-31,20330000000,18261000000,18261000000,4683000000,None,22881000000,None,None,2397483021,44000000,None,275000000,10347000000,EUR,46745000000,29942000000,7061000000,1080000000,75095000000,17401000000,24778000000,55349000000,57694000000,30571000000,17107000000,-3406000000
None,1771000000,5548000000,5548000000,92000000,2629800000,14132000000,None,3906000000,5310997872,None,2020-12-31,18942000000,15999000000,15999000000,4462000000,None,22844000000,None,None,27999988,43000000,None,235000000,10558000000,EUR,22548000000,27130000000,4286000000,749000000,67659000000,16157000000,20592000000,50004000000,51502000000,29412000000,15266000000,-483000000
0,1919000000,4185000000,4185000000,420000000,2626700000,9190000000,None,4067000000,6695000000,None,2019-12-31,18067000000,12962000000,12962000000,4164000000,None,21818000000,None,2840696898.14,479000000,4960000000,None,222000000,12062000000,EUR,18212000000,28257000000,4450000000,907000000,64806000000,16430000000,20978000000,50920000000,48376000000,29942000000,13192000000,-703000000
0,128000000,3230000000,3230000000,464000000,2694800000,14457000000,None,2947000000,5512000000,None,2018-12-31,17341000000,12152000000,12152000000,4301000000,None,21258000000,None,3028994895.69,7270000000,2080000000,None,225000000,12088000000,EUR,26265000000,26084000000,3235000000,874000000,59456000000,15481000000,19772000000,47164000000,43975000000,27392000000,11572000000,-10181000000
0,131000000,3317000000,3317000000,484000000,2814000000,8217000000,None,7694000000,5219000000,None,2017-12-31,16881000000,11520000000,11520000000,3962000000,None,16007000000,None,0,9327000000,6167000000,None,554000000,12270000000,EUR,26648000000,24430000000,7705000000,770000000,60285000000,16983000000,23177000000,45898000000,43302000000,22721000000,13629000000,-9208000000
0,143000000,3382000000,3382000000,484000000,2853900000,8591000000,None,5266000000,5310000000,None,2016-12-31,17624000000,9809000000,9809000000,4278000000,None,11001000000,None,880112837.22,7437000000,5846000000,None,507000000,11673000000,EUR,23180000000,16595000000,5275000000,599000000,56429000000,13884000000,20556000000,39448000000,42545000000,18892000000,16355000000,-4164000000
0,0,2302000000,2302000000,484000000,2855400000,8296000000,None,2663692073.22,-655000000,None,2015-12-31,16213000000,8846000000,8846000000,4335000000,None,9490000000,None,1054786426.30,6367000000,7341000000,None,0,11106000000,EUR,22619000000,14030000000,4382000000,337000000,52298000000,12686000000,20019000000,36216000000,39612000000,16197000000,15439000000,-4119000000
