capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
1738000000,-6941000000,-625000000,None,None,-198000000,None,None,None,1757000000,4319000000,4319000000,None,2024-12-31,5744000000,9519000000,None,None,None,None,None,None,None,None,None,-1508000000,None,None,EUR
1502000000,-7193000000,-2294000000,None,None,340000000,None,None,None,1578000000,4363000000,4363000000,None,2023-12-31,6487000000,9426000000,None,None,None,None,None,None,None,None,None,-1507000000,None,None,EUR
1627000000,-8890000000,2453000000,None,None,-1398000000,None,None,None,1946000000,4329000000,4329000000,None,2022-12-31,8269000000,7282000000,None,None,None,None,None,None,None,None,None,-1509000000,None,None,EUR
1239000000,-7099000000,-3246000000,None,None,-458000000,None,None,None,1763000000,4483000000,4483000000,None,2021-12-31,6621000000,7972000000,None,None,None,None,None,None,None,None,None,-3018000000,None,None,EUR
932000000,-5804000000,-1481000000,None,None,-587000000,None,None,None,2018000000,4279000000,4279000000,None,2020-12-31,6073000000,9058000000,None,None,None,None,None,None,None,None,None,0,None,None,EUR
1429000000,-4667000000,-2237000000,0,0,313000000,None,None,0,1982000000,4209000000,4209000000,None,2019-12-31,6026000000,8109000000,None,None,None,None,None,None,None,None,None,-201000000,None,None,EUR
1329000000,-12113000000,4644000000,0,0,-471000000,None,None,0,2008000000,4066000000,4066000000,None,2018-12-31,9369000000,7318000000,None,None,None,None,None,None,None,None,None,-6277000000,None,None,EUR
1509000000,-2020000000,-5879000000,0,0,-104000000,None,None,0,2025000000,3916000000,3916000000,None,2017-12-31,6023000000,7879000000,None,None,None,None,None,None,None,None,None,-5218000000,None,None,EUR
1804000000,-3073000000,-3188000000,0,0,190000000,None,None,0,1464000000,3609000000,3609000000,None,2016-12-31,5184000000,7047000000,None,None,None,None,None,None,None,None,None,-257000000,None,None,EUR
1867000000,-3032000000,-3539000000,0,0,-129000000,None,None,0,1370000000,3331000000,3331000000,None,2015-12-31,4909000000,7330000000,None,None,None,None,None,None,None,None,None,-276000000,None,None,EUR
1893000000,-5190000000,-341000000,None,None,-47000000,None,None,None,1127000000,3189000000,3189000000,None,2014-12-31,5171000000,5543000000,None,None,None,None,None,None,None,None,None,-467000000,None,None,EUR
1791000000,-5390000000,-1161000000,None,None,168000000,None,None,None,1151000000,2993000000,2993000000,None,2013-12-31,4842000000,6294000000,None,None,None,None,None,None,None,None,None,4047000000,None,None,EUR
2380000000,-6622000000,-755000000,None,None,-9000000,None,None,None,1199000000,2699000000,2699000000,None,2012-12-31,4948000000,6836000000,None,None,None,None,None,None,None,None,None,920000000,None,None,EUR
2099000000,411000000,-4467000000,None,None,-219000000,None,None,None,1029000000,2485000000,2485000000,None,2011-12-31,4623000000,5452000000,None,None,None,None,None,None,None,None,None,4168000000,None,None,EUR
1815000000,-4609000000,-1164000000,None,None,-573000000,None,None,None,993000000,2817000000,2817000000,None,2010-12-31,4598000000,5490000000,None,None,None,None,None,None,None,None,None,-124000000,None,None,EUR
1369000000,-4301000000,-1263000000,None,None,473000000,None,None,None,1032000000,2623000000,2623000000,None,2009-12-31,3659000000,5774000000,None,None,None,None,None,None,None,None,None,None,None,None,EUR
1099000000,-2643000000,1415000000,None,None,-345000000,None,None,None,1003000000,2086000000,2086000000,None,2008-12-31,7167000000,3384000000,None,None,None,None,None,None,None,None,None,-1503000000,None,None,EUR
983000000,-2457000000,-623000000,None,None,-333000000,None,None,None,943000000,2182000000,2182000000,None,2007-12-31,5245000000,3324000000,None,None,None,None,None,None,None,None,None,-1500000000,None,None,EUR
934000000,-5967000000,1155000000,None,None,-156000000,None,None,None,982000000,2602000000,2602000000,None,2006-12-31,5408000000,3906000000,None,None,None,None,None,None,None,None,None,None,None,None,EUR
813000000,-4821000000,515000000,None,None,-153000176.80,None,None,None,1274000000,1804000000,1804000000,None,2005-12-31,5074000000,4353000000,None,None,None,None,None,None,None,None,None,-1276000000,None,None,EUR
