comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,33391000000,33391000000,None,1757000000,11250000000,13007000000,2024-12-31,60761000000,8869000000,2500000000,None,1118000000,438000000,None,5744000000,6369000000,-680000000,None,51361000000,9400000000,None,EUR,987000000,6710000000,60761000000
None,34429000000,34429000000,None,990000000,10068000000,11058000000,2023-12-31,25175000000,9339000000,2199000000,None,1075000000,442000000,None,6487000000,7140000000,-633000000,None,15417000000,9758000000,None,EUR,949000000,6588000000,59604000000
None,35906000000,35906000000,None,1069000000,9512000000,10581000000,2022-12-31,24167000000,10337000000,2068000000,None,789000000,281000000,None,7642000000,8269000000,-508000000,None,13412000000,10755000000,None,EUR,908000000,6619000000,60073000000
None,30259000000,30259000000,None,1746000000,9637000000,11383000000,2021-12-31,22185000000,8556000000,1935000000,None,498000000,147000000,None,6049000000,6621000000,-361000000,None,13483000000,8702000000,None,EUR,847000000,5686000000,52444000000
None,28684000000,28684000000,None,2018000000,9358000000,11376000000,2020-12-31,22040000000,7996000000,1923000000,None,703000000,232000000,None,5581000000,6073000000,-480000000,None,13737000000,8303000000,None,EUR,800000000,4791000000,50724000000
None,29102000000,29102000000,None,1964000000,9917000000,11881000000,2019-12-31,22878000000,8289000000,2263000000,None,763000000,424000000,None,5625000000,6026000000,-539000000,None,14170000000,8708000000,0,EUR,840000000,4849000000,51980000000
None,28703000000,28703000000,None,2008000000,9329000000,11337000000,2018-12-31,22279000000,12360000000,2572000000,None,731000000,408000000,None,9369000000,9808000000,-469000000,None,9640000000,12639000000,0,EUR,900000000,4791000000,50982000000
None,30484000000,30484000000,None,1538000000,9404000000,10942000000,2017-12-31,23231000000,8126000000,1670000000,None,565000000,226000000,None,6023000000,6486000000,-412000000,None,14274000000,8957000000,0,EUR,900000000,5352000000,53715000000
None,30229000000,30229000000,None,1464000000,7707000000,9171000000,2016-12-31,22484000000,7469000000,1922000000,None,568000000,238000000,None,5184000000,5547000000,-457000000,None,14683000000,7801000000,0,EUR,978000000,6068000000,52713000000
None,30808000000,30808000000,None,1370000000,7394000000,8764000000,2015-12-31,22464000000,7220000000,1961000000,None,548000000,174000000,None,4909000000,9370138202.72,None,None,14949000000,7515000000,0,EUR,1005000000,6062000000,53272000000
None,28387000000,28387000000,None,1127000000,7886000000,9013000000,2014-12-31,20049000000,7646000000,2131000000,None,482000000,None,None,5171000000,5515000000,None,None,12069000000,7980000000,None,EUR,955000000,4042000000,48436000000
None,29065000000,29065000000,None,1151000000,7384000000,8535000000,2013-12-31,20732000000,7114000000,1851000000,None,493000000,None,None,4842000000,None,None,None,13238000000,7384000000,None,EUR,1040000000,4925000000,49797000000
None,30703000000,30703000000,None,1199000000,7053000000,8252000000,2012-12-31,20621000000,6683000000,1735000000,None,527000000,None,None,4480000000,None,None,None,13632000000,6989000000,None,EUR,1003000000,13632000000,51324000000
None,27930000000,27930000000,None,1029000000,6776000000,7805000000,2011-12-31,18537000000,6245000000,1622000000,None,531000000,None,None,4252000000,None,None,None,12033000000,6433000000,None,EUR,568096000,12104000000,46467000000
None,23054000000,23054000000,None,993000000,6611000000,7604000000,2010-12-31,21208000000,6132000000,1534000000,None,491000000,None,None,4244000000,None,None,None,14869000000,6339000000,None,EUR,928000000,11730000000,44262000000
None,20580000000,20580000000,None,1032000000,5392000000,6424000000,2009-12-31,19243000000,4916000000,1257000000,None,504000000,None,None,3370000000,None,None,None,14223000000,5020000000,None,EUR,891000000,None,39823000000
None,21342000000,21342000000,None,1003000000,7635000000,8638000000,2008-12-31,19181000000,7129000000,1844000000,None,506000000,None,None,5027000000,None,None,None,35562000000,7167000000,None,EUR,993000000,2705000000,40523000000
None,20558000000,20558000000,None,943000000,5266000000,6209000000,2007-12-31,19629000000,5184000000,1128000000,None,550000000,None,None,3888000000,None,None,None,35410000000,5245000000,None,EUR,None,4895000000,40187000000
None,20093000000,20093000000,None,982000000,5421000000,6403000000,2006-12-31,19549000000,4831000000,1146000000,None,590000000,None,None,4745000000,None,None,None,34430000000,5408000000,None,EUR,None,4655000000,39642000000
None,19539000705,19539000705,None,1274000000,5205000000,6479000000,2005-12-31,18861999295,4516000000,1181000000,None,742000000,None,None,3766000000,None,None,None,33867000000,5074000000,None,EUR,931999780,None,38401000000
