accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,24343000000,4194000000,4194000000,429000000,4218000000,10425000000,None,22633000000,26109000000,None,2024-12-31,22841000000,167742000000,167742000000,2247000000,None,121381000000,None,842000000,7973000000,17904000000,None,19327000000,132994000000,USD,89110000000,168357000000,27048000000,None,384711000000,40523000000,64771000000,284136000000,344188000000,219365000000,99237000000,None
None,24268000000,2065000000,2065000000,429000000,4215000000,10021000000,None,12973000000,25085000000,None,2023-12-31,22843000000,166724000000,166724000000,2057000000,None,137701000000,None,953000000,7607000000,16396000000,None,16560000000,133036000000,USD,82915000000,174942000000,17239000000,-261000000,380255000000,36814000000,53223000000,286456000000,343441000000,233233000000,92430000000,None
-200255000000,25692000000,2605000000,2605000000,429000000,4204000000,8750000000,None,9963000000,24506000000,None,2022-12-31,28671000000,161257000000,161257000000,2388000000,None,140676000000,None,1071000000,8358000000,20741000000,None,18397000000,133564000000,USD,82380000000,176331000000,14097000000,-379000000,379680000000,37857000000,50171000000,287217000000,341823000000,237046000000,91144000000,None
-190201000000,27062000000,2921000000,2921000000,429000000,4150000000,8040000000,None,7443000000,23846000000,None,2021-12-31,28603000000,159296000000,159296000000,3055000000,None,143425000000,None,1061000000,6906000000,21765000000,None,13513000000,127579000000,USD,71993000000,177930000000,11302000000,18000000,366596000000,36728000000,47160000000,283396000000,329868000000,236236000000,81790000000,-4104000000
-184904000000,21485000000,22171000000,22171000000,429000000,4142000000,6667000000,None,5889000000,23917000000,None,2020-12-31,24773000000,108282000000,108282000000,1796000000,None,123173000000,None,589000000,6710000000,18776000000,None,48665000000,94833000000,USD,60464000000,150547000000,9374000000,-1246000000,316481000000,54594000000,39660000000,247209000000,261887000000,207549000000,67842000000,-6719000000
-173819000000,22770000000,2594000000,2594000000,429000000,4140000000,7725000000,None,10441000000,25429000000,None,2019-12-31,24389000000,104557000000,104557000000,1422000000,None,99932000000,None,558000000,8028000000,18454000000,None,48609000000,91915000000,USD,53147000000,133143000000,14038000000,0,291727000000,37473000000,44868000000,228892000000,254254000000,184024000000,61395000000,-6820000000
-163549000000,None,2745000000,2745000000,429000000,4132000000,7232000000,None,7190000000,25102000000,None,2018-12-31,24614000000,103905000000,103905000000,1336000000,None,105873000000,None,671000000,5453000000,19301000000,None,32521000000,89286000000,USD,43542000000,113063000000,7190000000,None,264829000000,34636000000,37930000000,210119000000,230193000000,172189000000,53145000000,-6986000000
-157930000000,None,2079000000,2079000000,424000000,4089000000,7063000000,None,3453000000,23493000000,None,2017-12-31,29172000000,98664000000,98664000000,1034000000,None,113642000000,None,1039000000,3307000000,18471000000,None,34545000000,88568000000,USD,35635000000,117095000000,3453000000,0,257143000000,29913000000,33037000000,212456000000,227230000000,179419000000,43096000000,-7139000000
-147464000000,None,2880000000,2880000000,424000000,4086000000,7084000000,None,2645000000,17513000000,None,2016-12-31,27205000000,95570000000,95570000000,1202000000,None,105433000000,None,1110000000,4800000000,17697000000,None,38411000000,84751000000,USD,15059000000,108078000000,2645000000,0,244180000000,26395000000,30340000000,220148000000,217785000000,189808000000,22524000000,-7263000000
-136622000000,None,4470000000,4470000000,424000000,4093000000,5700000000,None,6325000000,13457000000,None,2015-12-31,25331000000,94167000000,94167000000,1252000000,None,103240000000,None,796000000,2826000000,19894000000,None,42557000000,83541000000,USD,11246000000,109729000000,6489000000,350000000,244175000000,22355000000,35052000000,226333000000,221820000000,191281000000,16428000000,-7416000000
