capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
17990000000,-17100000000,-18674000000,None,None,-196000000,None,None,None,17892000000,11249000000,11249000000,None,2024-12-31,17949000000,36912000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
18767000000,-14657000000,-23432000000,None,None,287000000,None,None,None,17624000000,11025000000,11025000000,None,2023-12-31,12095000000,37475000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
26740000000,-8529000000,-28662000000,-50000000,None,627000000,None,None,-1978000000,17099000000,10805000000,10805000000,None,2022-12-31,21748000000,37141000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
20286000000,8277000000,-67153000000,-19337000000,None,-905000000,None,None,-1592000000,16206000000,10445000000,10445000000,None,2021-12-31,22618000000,39539000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
20318000000,1325000000,-23512000000,19581000000,None,-369000000,None,None,189000000,16720000000,10232000000,10232000000,None,2020-12-31,18348000000,41768000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
18837000000,-18164000000,-17581000000,1000000,None,-76000000,None,None,-1471000000,16682000000,10016000000,10016000000,None,2019-12-31,19788000000,35746000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
18087000000,-15377000000,-17934000000,1028000000,None,-324000000,None,None,-2667000000,17403000000,9772000000,9772000000,None,2018-12-31,16039000000,34339000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
17830000000,-6151000000,-18456000000,-801000000,None,168000000,None,None,-5436000000,16954000000,9472000000,9472000000,None,2017-12-31,30550000000,24318000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
17593000000,-13322000000,-10983000000,-1590000000,None,61000000,None,None,-5067000000,15928000000,9262000000,9262000000,None,2016-12-31,13608000000,21689000000,None,None,None,None,None,None,None,None,None,17950000000,None,None,USD
17775000000,-15112000000,-30043000000,-6128000000,None,-99000000,None,None,-945000000,16017000000,8538000000,8538000000,None,2015-12-31,17879000000,39027000000,None,None,None,None,None,None,None,None,None,-5134000000,None,None,USD
17545000000,-57705000000,-15856000000,-42930000000,None,-132000000,None,None,-2745000000,16533000000,7803000000,7803000000,None,2014-12-31,11956000000,30631000000,None,None,None,None,None,None,None,None,None,30967000000,None,None,USD
17184000000,26450000000,-14833000000,50435000000,None,56000000,None,None,-843000000,16606000000,5936000000,5936000000,None,2013-12-31,23547000000,38818000000,None,None,None,None,None,None,None,None,None,-153000000,None,None,USD
20110000000,-21253000000,-20502000000,-10269000000,None,-136000000,None,None,-1717000000,16460000000,5230000000,5230000000,None,2012-12-31,10557000000,31486000000,None,None,None,None,None,None,None,None,None,3052000000,None,None,USD
16244000000,-5836000000,-17250000000,None,None,208000000,None,None,None,16496000000,5555000000,5555000000,None,2011-12-31,10198000000,29780000000,None,None,None,None,None,None,None,None,None,12988000000,None,None,USD
16458000000,-13650000000,-15054000000,4659000000,None,299000000,None,None,None,16405000000,5412000000,5412000000,None,2010-12-31,10217000000,33363000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
17047000000,-16007000000,-23331000000,None,None,235000000,None,None,None,16534000000,5271000000,5271000000,None,2009-12-31,11601000000,31390000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
17238000000,13588000000,-31579000000,None,None,-188000000,None,None,None,14610000000,4994000000,4994000000,None,2008-12-31,3962000000,27452000000,None,None,None,None,None,None,None,None,None,-1368000000,None,None,USD
17538000000,-11697000000,-16108000000,None,None,-255000000,None,None,None,14377000000,4773000000,4773000000,None,2007-12-31,10705000000,26839000000,None,None,None,None,None,None,None,None,None,-2843000000,None,None,USD
17101000000,-6031000000,-15616000000,None,None,8000000,None,None,None,14545000000,4719000000,4719000000,None,2006-12-31,6197000000,24106000000,None,None,None,None,None,None,None,None,None,-1700000000,None,None,USD
15324000000,-5034000000,-18492000000,None,None,-236000000,None,None,None,13615000000,4427000000,4427000000,None,2005-12-31,7397000000,22025000000,None,None,None,None,None,None,None,None,None,-271000000,None,None,USD
