comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,71989000000,71989000000,None,17892000000,29632000000,47524000000,2024-12-31,62799000000,22979000000,5030000000,None,6653000000,336000000,None,17506000000,17949000000,-6313000000,None,32195000000,30604000000,None,USD,None,28113000000,134788000000
None,72511000000,72511000000,None,17624000000,22512000000,40136000000,2023-12-31,61463000000,16987000000,4892000000,None,5525000000,348000000,None,11614000000,21366000000,-4682000000,None,32632000000,28831000000,None,USD,None,27452000000,133974000000
None,76232000000,76232000000,None,17099000000,31853000000,48952000000,2022-12-31,60603000000,28271000000,6523000000,None,3582000000,3569000000,None,21256000000,21748000000,-3613000000,None,30136000000,30467000000,1417000000,USD,None,26580000000,136835000000
None,72507000000,72507000000,None,16206000000,32918000000,49124000000,2021-12-31,61106000000,29420000000,6802000000,None,3498000000,3340000000,None,22065000000,22618000000,-3485000000,None,29141000000,31965000000,457000000,USD,None,25264000000,133613000000
None,67921000000,67921000000,None,16720000000,28241000000,44961000000,2020-12-31,60371000000,23967000000,5619000000,None,4274000000,4292000000,None,17801000000,18348000000,-4247000000,None,30504000000,29867000000,-584000000,USD,None,28466000000,128292000000
None,71408000000,71408000000,None,16682000000,27463000000,44145000000,2019-12-31,60460000000,22733000000,2945000000,None,4730000000,121000000,None,19265000000,19788000000,-4609000000,None,29431000000,31029000000,-2915000000,USD,None,26825000000,131868000000
None,72608000000,72608000000,None,17403000000,24456000000,41859000000,2018-12-31,58255000000,19623000000,3584000000,None,4833000000,94000000,None,15528000000,16039000000,-4739000000,None,28248000000,30007000000,2178000000,USD,0,28401000000,130863000000
None,68510000000,68510000000,None,16954000000,25327000000,42281000000,2017-12-31,57524000000,20594000000,-9956000000,None,4733000000,82000000,None,30101000000,30550000000,-4651000000,None,31005000000,26519000000,-2087000000,USD,0,24175000000,126034000000
None,67352000000,67352000000,None,15928000000,25362000000,41290000000,2016-12-31,58628000000,20986000000,7378000000,None,4376000000,59000000,None,13127000000,13608000000,-4317000000,None,32718000000,25910000000,-1697000000,USD,0,24351000000,125980000000
None,68574000000,68574000000,None,16017000000,33160000000,49177000000,2015-12-31,63046000000,28240000000,9865000000,None,4920000000,4891000000,None,17879000000,18375000000,None,None,30240000000,32806000000,100000000,USD,0,27237000000,131620000000
None,66464000000,66464000000,None,16533000000,20185000000,36718000000,2014-12-31,60615000000,15270000000,3314000000,None,4915000000,None,None,9625000000,11956000000,None,None,41723000000,18892000000,586000000,USD,0,38490000000,127079000000
None,61493000000,61493000000,None,16606000000,31944000000,48550000000,2013-12-31,59057000000,29277000000,5730000000,None,2667000000,None,None,11497000000,23547000000,None,None,27367000000,31690000000,-24000000,USD,0,24651000000,120550000000
None,62695000000,62695000000,None,16460000000,12468000000,28928000000,2012-12-31,53151000000,9897000000,-660000000,None,2571000000,None,None,875000000,10557000000,None,None,32145000000,21006000000,-692000000,USD,0,37570000000,115846000000
None,62371000000,62371000000,None,16496000000,13310000000,29806000000,2011-12-31,48504000000,10483000000,285000000,None,2827000000,None,None,2404000000,None,None,None,29670000000,18834000000,None,USD,0,35624000000,110875000000
None,58311000000,58311000000,None,16405000000,15105000000,31510000000,2010-12-31,48254000000,12684000000,2467000000,None,2523000000,None,None,2549000000,20143000000,None,None,29281000000,18973000000,508000000,USD,0,31366000000,106565000000
None,58837000000,58837000000,None,16534000000,14351000000,30885000000,2009-12-31,48971000000,13520000000,1210000000,None,3102000000,None,None,3651000000,None,None,None,29491000000,19480000000,None,USD,0,32950000000,107808000000
None,53467000000,53467000000,None,14610000000,17688000000,32298000000,2008-12-31,43887000000,1643000000,3331000000,None,1819000000,None,None,6428000000,None,None,None,25776000000,18111000000,None,USD,None,26898000000,97354000000
None,51892000000,51892000000,None,14377000000,16374000000,30751000000,2007-12-31,41577000000,14545000000,3982000000,None,1829000000,None,None,5521000000,None,None,None,24865000000,16712000000,None,USD,None,25967000000,93469000000
None,49514000000,49514000000,None,14545000000,14541000000,29086000000,2006-12-31,38630000000,12192000000,2674000000,None,2349000000,None,None,6197000000,None,None,None,24416000000,14214000000,None,USD,None,25232000000,88182000000
None,37815000000,37815000000,None,13615000000,13578000000,27193000000,2005-12-31,31703000000,11449000000,3210000000,None,2129000000,None,None,7397000000,None,None,None,19341000000,12362000000,None,USD,None,21312000000,69518000000
