accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,1623000000,3923000000,3923000000,29001000000,1911925286,2075000000,None,994000000,2678000000,None,2024-12-31,3866000000,960000000,960000000,684000000,None,9007000000,None,367000000,93000000,2295000000,None,1063000000,44648000000,USD,2348000000,11624000000,1179000000,185000000,61264000000,7563000000,5857000000,25111000000,53701000000,19254000000,35399000000,None
None,1615000000,1740000000,1740000000,29001000000,1910942971,1655000000,None,None,1635000000,None,2023-12-31,3995000000,188000000,188000000,616000000,None,4883000000,None,369000000,918000000,1921000000,None,891000000,42689000000,USD,4304000000,6498000000,298000000,209000000,55361000000,5118000000,4982000000,20191000000,50243000000,15209000000,34399000000,None
None,1634000000,6201000000,6201000000,29001000000,1524318780,2029000000,None,260000000,1651000000,None,2022-12-31,4614000000,4614000000,4614000000,678000000,None,4878000000,None,385000000,83000000,3995000000,None,945000000,41990000000,USD,6883000000,6772000000,584000000,677000000,59321000000,9290000000,6608000000,22194000000,50031000000,15586000000,36336000000,None
None,1367000000,3025000000,3025000000,9409000000,971628250,191000000,None,196000000,368000000,None,2021-12-31,0,None,None,202000000,None,5314000000,None,107000000,363000000,1963000000,None,36000000,20343000000,USD,3439000000,6797000000,468000000,320000000,26474000000,4278000000,2622000000,12245000000,22196000000,9623000000,13443000000,None
None,1278000000,3604000000,3604000000,9297000000,951113086,100000000,None,813000000,167000000,None,2020-12-31,None,None,None,125000000,None,5472000000,None,54000000,184000000,1124000000,None,42000000,18495000000,USD,1860000000,7398000000,870000000,172000000,24623000000,4252000000,2094000000,11748000000,20371000000,9654000000,12075000000,None
None,1170000000,4058000000,4058000000,9010000000,935833092,224000000,None,89000000,208000000,None,2019-12-31,None,None,None,176000000,None,5617000000,None,35000000,177000000,761000000,None,46000000,23232000000,USD,6654000000,6780000000,146000000,28000000,29353000000,4647000000,1131000000,11944000000,24706000000,10813000000,16617000000,None
None,None,1674000000,1674000000,8880000000,921165018,212000000,None,127000000,266000000,None,2018-12-31,None,None,None,155000000,None,4012000000,None,30000000,262000000,754000000,None,64000000,23243000000,USD,7655000000,4071000000,79000000,54000000,27088000000,2411000000,1045000000,8766000000,24677000000,7721000000,17489000000,None
None,None,318000000,318000000,6919000000,866201877,237000000,None,None,214000000,None,2017-12-31,None,None,None,186000000,None,4989000000,None,None,219000000,729000000,None,None,23069000000,USD,7200000000,5065000000,76000000,74000000,25399000000,1011000000,1042000000,9488000000,24388000000,8446000000,15081000000,None
None,None,285000000,285000000,6919000000,835011896,197000000,None,None,198000000,None,2016-12-31,None,None,None,149000000,None,None,None,None,268000000,690000000,None,None,None,USD,6971000000,4973000000,76000000,None,24753000000,900000000,963000000,9091000000,23853000000,8128000000,14839000000,None
None,None,122000000,122000000,6547000000,822943960,283000000,None,None,227000000,None,2015-12-31,None,None,None,170000000,None,None,None,None,560000000,944000000,None,None,None,USD,6743000000,4441000000,77000000,None,23839000000,1079000000,1304000000,8814000000,22760000000,7510000000,14226000000,None
