capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
4902000000,2101000000,-5747000000,None,None,-161000000,None,None,None,4762000000,2449000000,2449000000,None,2024-12-31,3646000000,5847000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
5291000000,-5000000000,-5585000000,None,None,-31000000,None,None,None,4139000000,4253000000,4253000000,None,2023-12-31,1660000000,6145000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
3136000000,-3364000000,-2265000000,None,None,-146000000,None,None,None,2948000000,2558000000,2558000000,None,2022-12-31,6575000000,8811000000,None,None,None,None,None,None,None,None,None,-149000000,None,None,USD
2406000000,-1424000000,-2941000000,None,None,-4000000,None,None,None,1687000000,289000000,289000000,None,2021-12-31,1983000000,3792000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
1418000000,-203000000,-2112000000,None,None,51000000,None,None,None,1812000000,454000000,454000000,None,2020-12-31,-3975000000,1849000000,None,None,None,None,None,None,None,None,None,600000000,None,None,USD
1213000000,317000000,-1238000000,None,None,-21000000,None,None,None,1688000000,1062000000,1062000000,None,2019-12-31,343000000,3305000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
1778000000,-159000000,-1772000000,None,None,22000000,None,None,None,1591000000,909000000,909000000,None,2018-12-31,1364000000,3296000000,None,None,None,None,None,None,None,None,None,1949000000,None,None,USD
1390000000,-805000000,-1568000000,None,None,-25000000,None,None,None,1262000000,826000000,826000000,None,2017-12-31,1069000000,2400000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
1860000000,51000000,-2473000000,None,None,45000000,None,None,None,1400000000,560000000,560000000,None,2016-12-31,868000000,2587000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
1819000000,-58000000,-5555000000,None,None,67000000,None,None,None,2753000000,1730000000,1730000000,None,2015-12-31,26000000,2475000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
697000000,-3119000000,-617000000,None,None,-65000000,None,None,None,1901000000,1753000000,1753000000,None,2014-12-31,2414000000,4785000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
710000000,-2470000000,-1059000000,None,None,48000000,None,None,None,1659000000,1748000000,1748000000,None,2013-12-31,1749000000,3330000000,None,None,None,None,None,None,None,None,None,-139000000,None,None,USD
1843469100,-1205863800,155067150,None,None,-36599700,None,None,None,1447614450,835051050,835051050,None,2012-12-31,2873076450,3346946250,None,None,None,None,None,None,None,None,None,None,None,None,USD
3568000000,362000000,-3533000000,None,None,None,None,None,None,655000000,652000000,652000000,None,2011-12-31,1507000000,2242000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
3649000000,608000000,-2941000000,None,None,None,None,None,None,773000000,547000000,547000000,None,2010-12-31,1575000000,2104000000,None,None,None,None,None,None,None,None,None,-18000000,None,None,USD
5409581300.92,4809514826,-5395208451.24,None,None,None,None,None,None,909082742,330575542.80,330575542.80,None,2009-12-31,1638504864,1669945473,None,None,None,None,None,None,None,None,None,None,None,None,USD
3355709390.95,561499195,-3194182225.02,None,None,None,None,None,None,667785469,441927137.96,441927137.96,None,2008-12-31,1248863715,2645968813,None,None,None,None,None,None,None,None,None,None,None,None,USD
2719365162.87,-545398746.11,-2201850146.87,None,None,None,None,None,None,648428252,296374238.24,296374238.24,None,2007-12-31,903327633,2601692314,None,None,None,None,None,None,None,None,None,None,None,None,USD
1838605348.27,43701191,-1827088427.86,None,None,None,None,None,None,495937524,562672556.60,562672556.60,None,2006-12-31,1427000000,1869787930,None,None,None,None,None,None,None,None,None,None,None,None,USD
1175586146.3,-338151863.51,-1350645822.66,None,None,None,None,None,None,224738229,327060847.92,327060847.92,None,2005-12-31,1107427000,1104435011,None,None,None,None,None,None,None,None,None,None,None,None,USD
