comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,7501000000,7501000000,None,4762000000,4734000000,9496000000,2024-12-31,5678000000,4369000000,723000000,None,72000000,220000000,None,3573000000,3646000000,-145000000,None,773000000,6302000000,None,USD,None,445000000,13179000000
None,7519000000,7519000000,None,5477000000,3224000000,8701000000,2023-12-31,6475000000,3273000000,1551000000,None,258000000,273000000,None,1660000000,1722000000,-34000000,None,736000000,5739000000,None,USD,None,453000000,13994000000
None,6540000000,6540000000,None,2072000000,8341000000,10413000000,2022-12-31,10277000000,9174000000,2599000000,None,131000000,155000000,None,6498000000,6575000000,-12000000,None,1237000000,8341000000,None,USD,None,791000000,16817000000
None,3845000000,3845000000,None,799000000,3325000000,4124000000,2021-12-31,3117000000,3290000000,1254000000,None,201000000,27000000,None,1983000000,2036000000,-203000000,None,321000000,3325000000,None,USD,None,158000000,6962000000
None,2985000000,2985000000,None,1732000000,-5050000000,-3318000000,2020-12-31,615000000,-5440000000,-1465000000,None,295000000,58000000,None,-4028000000,-3975000000,-269000000,None,481000000,102000000,None,USD,None,190000000,3600000000
None,2727000000,2727000000,None,1663000000,1688000000,3351000000,2019-12-31,2146000000,862000000,480000000,None,320000000,91000000,None,343000000,382000000,-229000000,None,1112000000,1688000000,None,USD,None,80000000,4873000000
None,2604000000,2604000000,None,1591000000,2232000000,3823000000,2018-12-31,2636000000,2095000000,628000000,None,216000000,33000000,None,1364000000,1467000000,-183000000,None,427000000,2232000000,None,USD,None,103000000,5240000000
None,2083000000,2083000000,None,1262000000,1539000000,2801000000,2017-12-31,1892000000,1630000000,465000000,None,94000000,45000000,None,1069000000,None,None,None,218000000,1539000000,None,USD,None,99000000,3975000000
None,2234000000,2234000000,None,1400000000,1292000000,2692000000,2016-12-31,1841000000,1340000000,367000000,None,56000000,None,None,868000000,None,None,None,509000000,1292000000,None,USD,None,133000000,4075000000
None,3073000000,3073000000,None,2753000000,364000000,3117000000,2015-12-31,1957000000,356000000,243000000,None,89000000,None,None,26000000,None,None,None,277000000,364000000,None,USD,None,28000000,5030000000
None,2883000000,2883000000,None,1901000000,3641000000,5542000000,2014-12-31,4552000000,3509000000,993000000,None,178000000,None,None,2414000000,None,None,None,880000000,3641000000,None,USD,None,141000000,7435000000
None,2594000000,2594000000,None,1659000000,2445000000,4104000000,2013-12-31,3332000000,2359000000,545000000,None,189000000,None,None,1749000000,None,None,None,444000000,2445000000,None,USD,None,131000000,5926000000
None,2521526700,2521526700,None,1447614450,2840329350,4287943800,2012-12-31,3592549500,3523202700,591374100,None,145000000,None,None,2873076450,None,None,None,37562849,2840329350,None,USD,None,98999999,6114076200
None,515000000,515000000,None,655000000,2222000000,2877000000,2011-12-31,4287000000,2186000000,677000000,None,36000000,None,None,1507000000,None,None,None,1716000000,2571000000,None,USD,None,137000000,4802000000
None,459000000,459000000,None,773000000,2295000000,3068000000,2010-12-31,3734000000,2274000000,697000000,None,21000000,None,None,1575000000,None,None,None,1210000000,2524000000,None,USD,None,79000000,4193000000
None,454541371,454541371,None,909082742,2579028216,3488110958,2009-12-31,3375823070,2558367244,925252198,None,20660971,None,None,1638504864,None,None,None,1262115863,2032859927,None,USD,None,37728730,3830364441
None,353122159,353122159,None,667785469,2399832180,3067617649,2008-12-31,3810922313,2290049646,1041185931,None,22376057,None,None,1248863715,None,None,None,1025802391,2785119921,None,USD,None,95797496,4164044472
None,232101363,232101363,None,648428252,1641632688,2290060940,2007-12-31,3136218159,1616204129,503397781,None,25428558,None,None,903327633,None,None,None,1379192424,1757025735,None,USD,None,75408829,3368319522
None,280271357,280271357,None,495937524,1621598170,2117535694,2006-12-31,2725487103,1584996450,459335805,None,36601719,None,None,1125660645,None,None,None,867634298,2354100000,None,USD,None,67918277,3005758460
None,132600131,132600131,None,224738229,1421422661,1646160890,2005-12-31,1878613898,1092646261,281760269,None,22468331,None,None,810885992,None,None,None,1532133234,3851146236,None,USD,None,82160064,2011214029
