accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,21047000000,9037000000,9037000000,802000000,8081000000,58666000000,None,5666000000,9975000000,None,2025-01-31,28792000000,4500000000,4500000000,56435000000,None,33401000000,None,None,4011000000,26590000000,None,14398000000,139704000000,USD,98313000000,60114000000,7965000000,None,260823000000,79458000000,96584000000,163131000000,181365000000,66547000000,91013000000,None
None,20864000000,9867000000,9867000000,268000000,8109000000,56812000000,None,4325000000,8796000000,None,2024-01-31,28113000000,4100000000,4100000000,54892000000,None,36132000000,None,None,3322000000,29637000000,None,14629000000,130338000000,USD,89814000000,60443000000,5659000000,None,252399000000,76877000000,92415000000,161828000000,175522000000,69413000000,83861000000,None
None,19711000000,8885000000,8885000000,269000000,8202000000,54002000000,None,4563000000,7933000000,None,2023-01-31,28174000000,4300000000,4300000000,56576000000,None,34649000000,None,None,2521000000,29365000000,None,14688000000,119234000000,USD,83135000000,58923000000,6603000000,None,243457000000,75915000000,92458000000,159466000000,167542000000,67008000000,76693000000,None
None,19246000000,14760000000,14760000000,276000000,8415000000,55261000000,None,3213000000,8280000000,None,2022-01-31,29014000000,4800000000,4800000000,56511000000,None,34864000000,None,None,1519000000,24352000000,None,13474000000,112624000000,USD,86904000000,57323000000,5207000000,None,244860000000,81070000000,87379000000,152969000000,163790000000,65590000000,83253000000,None
None,18713000000,17741000000,17741000000,282000000,8541000000,49141000000,None,3339000000,6516000000,None,2021-01-31,28983000000,4900000000,4900000000,44949000000,None,41194000000,None,None,20861000000,35898000000,None,14370000000,109848000000,USD,88763000000,63246000000,5296000000,None,252496000000,90067000000,92645000000,164965000000,162429000000,72320000000,81298000000,None
None,22782000000,9465000000,9465000000,284000000,8604000000,46973000000,None,5937000000,6284000000,None,2020-01-31,31073000000,5200000000,5200000000,44435000000,None,43714000000,None,5990000000,1622000000,20586000000,None,12961000000,105208000000,USD,83943000000,72433000000,8241000000,None,236495000000,61806000000,77790000000,154943000000,174689000000,77153000000,74669000000,None
-81493000000,7412000000,7722000000,7722000000,288000000,8835000000,47060000000,None,7101000000,6283000000,None,2019-01-31,31181000000,5800000000,5800000000,44269000000,None,43520000000,None,3995000000,3623000000,20655000000,None,None,111395000000,USD,80785000000,58033000000,7830000000,None,219295000000,61897000000,77477000000,139661000000,157398000000,62184000000,72496000000,None
-77479000000,7447000000,6756000000,6756000000,295000000,9030000000,46092000000,None,8995000000,5614000000,None,2018-01-31,18242000000,18242000000,18242000000,43783000000,None,30045000000,None,7614000000,3511000000,20750000000,None,None,114818000000,USD,85107000000,46487000000,9662000000,0,204522000000,59664000000,78521000000,123700000000,144858000000,45179000000,77869000000,0
-71782000000,6568000000,6867000000,6867000000,305000000,9336000000,41433000000,None,3355000000,5835000000,None,2017-01-31,17037000000,17037000000,17037000000,43046000000,None,36015000000,None,479000000,1941000000,17838000000,None,None,114178000000,USD,89354000000,45938000000,3920000000,0,198825000000,57689000000,66928000000,118290000000,141136000000,51362000000,77798000000,0
-66787000000,5816000000,8705000000,8705000000,317000000,9651000000,38487000000,None,2745000000,5624000000,None,2016-01-31,16695000000,16695000000,16695000000,44469000000,None,38214000000,None,621000000,1441000000,17063000000,None,None,116516000000,USD,90021000000,50034000000,6004000000,0,199581000000,60239000000,64619000000,115970000000,139342000000,51351000000,80546000000,0
-63115000000,2606000000,9135000000,9135000000,323000000,9729000000,38410000000,None,4792000000,6778000000,None,2015-01-31,18102000000,18102000000,18102000000,45141000000,None,41086000000,None,512000000,2224000000,16560000000,None,None,116655000000,USD,85777000000,50381000000,6689000000,0,203706000000,63278000000,65272000000,117769000000,140428000000,52497000000,81394000000,0
