capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
23783000000,-14822000000,-21379000000,None,None,-2755000000,None,None,None,12973000000,6688000000,6688000000,None,2025-01-31,20157000000,36443000000,None,None,None,None,None,None,None,None,None,-4494000000,None,None,USD
20606000000,-13414000000,-21287000000,None,None,-2755000000,None,None,None,11853000000,6140000000,6140000000,None,2024-01-31,16270000000,35726000000,None,None,None,None,None,None,None,None,None,-2779000000,None,None,USD
16857000000,-17039000000,-17722000000,-5920000000,None,-528000000,None,None,240000000,10945000000,6114000000,6114000000,None,2023-01-31,11292000000,29101000000,None,None,None,None,None,None,None,None,None,-9920000000,None,None,USD
13106000000,-22828000000,-6015000000,-4662000000,None,-11764000000,None,None,-1796000000,10658000000,6152000000,6152000000,None,2022-01-31,13940000000,24181000000,None,None,None,None,None,None,None,None,None,-9787000000,None,None,USD
10264000000,-16117000000,-10071000000,9886000000,None,-2395000000,None,None,-1086000000,11152000000,6116000000,6116000000,None,2021-01-31,13706000000,36074000000,None,None,None,None,None,None,None,None,None,-2625000000,None,None,USD
10705000000,-14299000000,-9128000000,1828000000,None,-300000000,None,None,154000000,10987000000,6048000000,6048000000,None,2020-01-31,15201000000,25255000000,None,None,None,None,None,None,None,None,None,-5717000000,None,None,USD
10344000000,-2537000000,-24036000000,1180000000,None,-1311000000,None,None,-368000000,10678000000,6102000000,6102000000,None,2019-01-31,7179000000,27753000000,None,None,None,None,None,None,None,None,None,-7410000000,None,None,USD
10051000000,-19875000000,-9079000000,-111000000,487000000,-140000000,None,None,-1074000000,10529000000,6124000000,6124000000,None,2018-01-31,10523000000,28337000000,None,None,None,None,None,None,None,None,None,-8296000000,None,None,USD
10619000000,-19072000000,-13896000000,-1838000000,-452000000,1021000000,None,None,-402000000,10080000000,6216000000,6216000000,None,2017-01-31,13643000000,31673000000,None,None,None,None,None,None,None,None,None,-8298000000,None,None,USD
11477000000,-16285000000,-10675000000,-430000000,-1022000000,-703000000,None,None,-19000000,9454000000,6294000000,6294000000,None,2016-01-31,14694000000,27552000000,None,None,None,None,None,None,None,None,None,-4112000000,None,None,USD
12174000000,-15071000000,-11125000000,1854000000,-514000000,-1229000000,None,None,-569000000,9173000000,6185000000,6185000000,None,2015-01-31,16814000000,28564000000,None,None,None,None,None,None,None,None,None,-1015000000,None,None,USD
13115000000,-10789000000,-12526000000,-500000000,-442000000,-1667000000,None,None,-566000000,8870000000,6139000000,6139000000,None,2014-01-31,16551000000,23257000000,None,None,None,None,None,None,None,None,None,-6683000000,None,None,USD
12898000000,-11972000000,-12611000000,1231000000,223000000,-2759000000,None,None,-614000000,8501000000,5361000000,5361000000,None,2013-01-31,16999000000,25591000000,None,None,None,None,None,None,None,None,None,-7600000000,None,None,USD
13510000000,-8458000000,-16609000000,-845000000,-33000000,-3727000000,None,None,-796000000,8130000000,5048000000,5048000000,None,2012-01-31,16454000000,24255000000,None,None,None,None,None,None,None,None,None,-6298000000,None,None,USD
12699000000,-12028000000,-12193000000,-512000000,66000000,-3086000000,None,None,-733000000,7641000000,4437000000,4437000000,None,2011-01-31,15959000000,23643000000,None,None,None,None,None,None,None,None,None,-14776000000,None,None,USD
12184000000,-14191000000,-11620000000,632000000,194000000,2265000000,None,None,-297000000,7157000000,4217000000,4217000000,None,2010-01-31,14927000000,26249000000,None,None,None,None,None,None,None,None,None,-7276000000,None,None,USD
11499000000,-9918000000,-10742000000,None,None,-184000000,None,None,None,6739000000,3746000000,3746000000,None,2009-01-31,13734000000,23147000000,None,None,None,None,None,None,None,None,None,-3521000000,None,None,USD
14937000000,-7134000000,-15670000000,None,None,-775000000,None,None,None,6317000000,3586000000,3586000000,None,2008-01-31,12884000000,20354000000,None,None,None,None,None,None,None,None,None,-7691000000,None,None,USD
15666000000,-4839000000,-14463000000,None,None,-1274000000,None,None,None,5459000000,2802000000,2802000000,None,2007-01-31,12178000000,20164000000,None,None,None,None,None,None,None,None,None,-1718000000,None,None,USD
14563000000,-2422000000,-14183000000,None,None,-1733000000,None,None,None,4717000000,2511000000,2511000000,None,2006-01-31,11231000000,17633000000,None,None,None,None,None,None,None,None,None,-3580000000,None,None,USD
