comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,511753000000,511753000000,None,12973000000,29037000000,42010000000,2025-01-31,169232000000,26309000000,6152000000,None,2728000000,483000000,None,19436000000,20157000000,-2245000000,None,139884000000,29348000000,None,USD,None,139884000000,680985000000
None,490142000000,490142000000,None,11853000000,24531000000,36384000000,2024-01-31,157983000000,21848000000,5578000000,None,2683000000,546000000,None,15511000000,16270000000,-2137000000,None,130971000000,27012000000,None,USD,None,130971000000,648125000000
None,463721000000,463721000000,None,10945000000,19144000000,30089000000,2023-01-31,147568000000,17016000000,5724000000,None,2128000000,1874000000,None,11680000000,11292000000,-1874000000,None,127140000000,20428000000,-1538000000,USD,None,127140000000,611289000000
None,429000000000,429000000000,None,10658000000,20690000000,31348000000,2022-01-31,143754000000,18696000000,4756000000,None,1994000000,1836000000,None,13673000000,13940000000,-1836000000,None,117812000000,25942000000,-5410000000,USD,None,117812000000,572754000000
None,420315000000,420315000000,None,11152000000,22879000000,34031000000,2021-01-31,138836000000,20564000000,6858000000,None,2315000000,121000000,None,13510000000,13706000000,-2194000000,None,116288000000,22548000000,210000000,USD,None,116288000000,559151000000
None,394605000000,394605000000,None,10987000000,22715000000,33702000000,2020-01-31,129359000000,20116000000,4915000000,None,2599000000,189000000,None,14881000000,15201000000,-2410000000,None,108791000000,20568000000,1958000000,USD,None,108791000000,523964000000
None,385301000000,385301000000,None,10678000000,13855000000,24533000000,2019-01-31,129104000000,11460000000,4281000000,None,2346000000,217000000,None,6670000000,7179000000,-2129000000,None,107147000000,21957000000,-8368000000,USD,0,103647000000,514405000000
None,373396000000,373396000000,None,10529000000,17454000000,27983000000,2018-01-31,126947000000,15123000000,4600000000,None,2330000000,152000000,None,9862000000,10523000000,-2178000000,None,106510000000,20437000000,-3136000000,USD,0,102910000000,500343000000
None,361256000000,361256000000,None,10080000000,22764000000,32844000000,2017-01-31,124617000000,20497000000,6204000000,None,2367000000,100000000,None,13643000000,14293000000,-2267000000,None,101853000000,22764000000,None,USD,0,98953000000,485873000000
None,360984000000,360984000000,None,9454000000,24105000000,33559000000,2016-01-31,121146000000,21638000000,6558000000,None,2548000000,2467000000,None,14694000000,15080000000,None,None,97041000000,24105000000,None,USD,0,94541000000,482130000000
None,365086000000,365086000000,None,9173000000,27147000000,36320000000,2015-01-31,120565000000,24799000000,7985000000,None,2461000000,None,None,16363000000,16814000000,None,None,93418000000,27147000000,None,USD,0,91018000000,485651000000
None,358069000000,358069000000,None,8870000000,26872000000,35742000000,2014-01-31,118225000000,24656000000,8105000000,None,2335000000,None,None,16022000000,16551000000,None,None,91353000000,26872000000,None,USD,0,88953000000,476294000000
None,352488000000,352488000000,None,8501000000,27988000000,36489000000,2013-01-31,116674000000,25737000000,7981000000,None,2251000000,None,None,16999000000,17756000000,None,None,88873000000,27801000000,None,USD,0,86573000000,469162000000
None,335127000000,335127000000,None,8130000000,26720000000,34850000000,2012-01-31,111823000000,24398000000,7944000000,None,2322000000,None,None,15699000000,16454000000,None,None,85265000000,26558000000,None,USD,0,85265000000,446950000000
None,315287000000,315287000000,None,7641000000,25743000000,33384000000,2011-01-31,106562000000,23538000000,7579000000,None,2205000000,None,None,16389000000,15959000000,None,None,81020000000,25542000000,None,USD,0,81020000000,421849000000
None,304657000000,304657000000,None,7157000000,24131000000,31288000000,2010-01-31,103557000000,22066000000,7139000000,None,2065000000,None,None,14335000000,14927000000,None,None,79607000000,23950000000,None,USD,0,79607000000,408214000000
None,306158000000,306158000000,None,6739000000,23082000000,29821000000,2009-01-31,99449000000,20898000000,7145000000,None,2184000000,None,None,13400000000,None,None,None,76651000000,22798000000,None,USD,None,76651000000,405607000000
None,286515000000,286515000000,None,6317000000,22261000000,28578000000,2008-01-31,92284000000,20198000000,6908000000,None,2103000000,None,None,12731000000,None,None,None,70288000000,21996000000,None,USD,None,70288000000,378799000000
None,264152000000,264152000000,None,5459000000,20777000000,26236000000,2007-01-31,84498000000,18968000000,6365000000,None,1809000000,None,None,11284000000,None,None,None,64001000000,20497000000,None,USD,None,64001000000,348650000000
None,237649000000,237649000000,None,4717000000,18883000000,23600000000,2006-01-31,74452000000,17535000000,5803000000,None,1420000000,None,None,11231000000,None,None,None,55739000000,18713000000,None,USD,None,56733000000,312101000000
