Date,Open,High,Low,Close,Volume
2006-02-08,6.71703,6.71703,6.71703,6.71703,23481807.963176
2006-02-13,7.01924,7.01924,7.01924,7.01924,16827824.822848
2006-02-15,7.24058,7.24058,7.24058,7.24058,26021456.343744
2006-02-20,7.30112,7.30112,7.30112,7.30112,15695028.885964
2006-02-22,7.66291,7.66291,7.66291,7.66291,25174585.245689
2006-02-27,7.54203,7.54203,7.54203,7.54203,21510087.523101
2006-03-01,7.38104,7.38104,7.38104,7.38104,22328918.253048
2006-03-06,7.11969,7.11969,7.11969,7.11969,30882788.909053
2006-03-08,6.89827,6.89827,6.89827,6.89827,41588342.178512
2006-03-13,7.18013,7.18013,7.18013,7.18013,18822325.431386
2006-03-15,7.44158,7.44158,7.44158,7.44158,25728556.137151
2006-03-20,7.50193,7.50193,7.50193,7.50193,8186070.21516
2006-03-22,7.84338,7.84338,7.84338,7.84338,28272833.367138
2006-03-27,8.24605,8.24605,8.24605,8.24605,23783773.306788
2006-03-29,7.88434,7.88434,7.88434,7.88434,19618224.468815
2006-04-03,8.08514,8.08514,8.08514,8.08514,14849946.613554
2006-04-06,8.8688,8.8688,8.8688,8.8688,32050974.130696
2006-04-10,9.23165,9.23165,9.23165,9.23165,15425881.127184
2006-04-13,8.72919,8.72919,8.72919,8.72919,14681129.876194
2006-04-19,9.29152,9.29152,9.29152,9.29152,21835922.114318
2006-04-24,8.65849,8.65849,8.65849,8.65849,42987555.284442
2006-04-26,8.69917,8.69917,8.69917,8.69917,23877499.352576
2006-05-02,8.92126,8.92126,8.92126,8.92126,19142369.488765
2006-05-04,9.16607,9.16607,9.16607,9.16607,8928787.466167
2006-05-10,9.63078,9.63078,9.63078,9.63078,9850729.2630362
2006-05-12,9.63078,9.63078,9.63078,9.63078,10069159.605782
2006-05-17,9.47018,9.47018,9.47018,9.47018,20862957.748804
2006-05-19,9.40936,9.40936,9.40936,9.40936,43980726.013991
2006-05-24,8.75922,8.75922,8.75922,8.75922,12950368.459487
2006-05-26,8.77947,8.77947,8.77947,8.77947,15220378.732598
2006-06-01,8.47555,8.47555,8.47555,8.47555,37340088.565225
2006-06-05,8.88163,8.88163,8.88163,8.88163,29324566.039298
2006-06-08,8.33414,8.33414,8.33414,8.33414,28383777.385885
2006-06-12,8.07014,8.07014,8.07014,8.07014,24375549.449879
2006-06-14,7.70567,7.70567,7.70567,7.70567,25216105.993408
2006-06-19,8.43554,8.43554,8.43554,8.43554,12024907.937349
2006-06-21,8.15091,8.15091,8.15091,8.15091,15494821.415288
2006-06-26,8.71922,8.71922,8.71922,8.71922,15096878.210075
2006-06-28,8.90158,8.90158,8.90158,8.90158,13183420.873505
2006-07-03,9.59183,9.59183,9.59183,9.59183,11930427.428038
2006-07-05,9.36849,9.36849,9.36849,9.36849,12144134.218831
2006-07-10,9.57091,9.57091,9.57091,9.57091,13830626.409828
2006-07-12,9.69256,9.69256,9.69256,9.69256,21165722.802704
2006-07-17,9.36849,9.36849,9.36849,9.36849,13936114.510359
2006-07-19,9.61178,9.61178,9.61178,9.61178,30719021.921264
