Date,Open,High,Low,Close,Volume
1999-04-06,415.199,415.199,396.587,411.479,7199536
1999-04-07,405.517,412.215,401.06,412.215,5451067
1999-04-08,409.246,412.966,407.011,408.495,7257320
1999-04-09,415.936,415.936,406.262,409.246,12410046
1999-04-12,408.495,408.495,403.291,403.291,3685104
1999-04-13,409.246,409.246,400.315,404.781,3928364
1999-04-14,406.262,407.011,398.084,401.801,5073406
1999-04-15,399.564,404.037,398.084,402.539,3023881
1999-04-16,402.539,409.246,400.315,409.246,6632414
1999-04-19,412.966,418.918,408.495,409.246,7481769
1999-04-20,409.981,420.401,409.981,418.918,10168325
1999-04-21,416.679,416.679,403.291,408.495,3781861
1999-04-22,408.495,409.981,398.084,405.517,3535922
1999-04-23,404.781,409.246,398.827,405.517,3853109
1999-04-26,409.246,413.704,403.291,407.011,5512870
1999-04-27,407.011,407.011,398.827,401.801,4202537
1999-04-28,403.291,404.781,389.899,393.611,5010241
1999-04-30,394.365,396.587,388.411,389.148,4847617
1999-05-06,404.037,412.966,398.084,412.966,8855279
1999-05-07,414.448,414.448,401.06,408.495,10848370
1999-05-10,411.479,415.199,409.981,412.966,6745291
1999-05-11,415.199,418.169,408.495,413.704,8878142
1999-05-12,416.679,420.401,404.037,409.246,6200987
1999-05-13,409.981,411.479,406.262,409.246,3717357
1999-05-14,413.704,420.401,410.727,412.966,6585347
1999-05-17,409.246,415.199,407.011,413.704,5718508
1999-05-18,413.704,418.918,411.479,414.448,6659274
1999-05-19,407.011,411.479,401.801,404.781,4240170
1999-05-20,399.564,402.539,390.643,391.38,3121989
1999-05-21,396.587,398.827,389.899,398.827,3709308
1999-05-24,386.922,400.315,386.922,400.315,3772473
1999-05-25,387.66,394.365,379.482,393.611,5632502
1999-05-26,384.68,393.611,383.202,391.38,2889491
1999-05-27,391.38,391.38,370.548,376.497,4857028
1999-05-28,357.901,360.134,350.461,351.206,11337558
1999-05-31,351.949,351.949,338.555,338.555,10461297
1999-06-01,337.813,345.253,334.098,342.278,12888461
1999-06-02,342.278,349.709,342.278,345.996,6620290
1999-06-03,351.206,354.935,346.74,349.709,8169886
1999-06-04,345.996,347.475,340.043,344.509,5719870
1999-06-07,340.788,345.253,340.043,340.043,5144631
1999-06-08,337.813,339.3,331.114,332.596,11189749
1999-06-09,331.114,342.278,331.114,341.531,7241177
1999-06-10,345.996,354.935,345.253,352.693,11043246
1999-06-11,363.855,368.312,360.134,364.59,21308306
1999-06-14,369.064,374.264,365.344,366.831,10849698
1999-06-15,370.548,370.548,357.159,366.083,5262901
1999-06-16,373.529,375.018,367.574,372.042,7387669
1999-06-17,377.253,379.482,374.264,376.497,6268193
1999-06-18,381.706,384.68,368.312,374.264,11669515
1999-06-21,377.993,377.993,359.39,363.855,7618861
1999-06-22,364.59,366.831,360.876,366.083,6680753
1999-06-23,362.367,366.083,357.159,358.648,6635093
1999-06-24,361.622,363.855,358.648,363.855,7300346
1999-06-25,363.855,366.831,360.876,360.876,4494181
1999-06-28,360.876,361.622,357.901,359.39,3345099
1999-06-29,363.111,374.264,363.111,369.806,11115800
1999-06-30,372.042,372.775,364.59,365.344,6542332
1999-07-01,372.775,373.529,367.574,371.294,6913273
1999-07-02,371.294,382.46,369.806,380.226,11912775
1999-07-05,385.426,396.587,383.202,394.365,12776934
1999-07-06,398.084,400.315,395.851,398.084,9232952
1999-07-07,405.517,405.517,396.587,398.827,6140513
1999-07-08,403.291,413.704,400.315,409.246,19159368
1999-07-09,412.966,415.199,409.246,412.966,11274393
1999-07-12,415.936,417.423,411.479,412.966,9130791
1999-07-13,409.981,412.215,405.517,407.753,5503482
1999-07-14,415.199,418.169,409.981,409.981,9601168
1999-07-15,412.966,412.966,407.011,411.479,5839457
1999-07-16,412.215,418.169,401.801,406.262,8534084
1999-07-19,406.262,406.262,396.587,404.781,5253501
1999-07-21,402.539,404.037,394.365,403.291,6089449
1999-07-22,393.611,394.365,383.945,386.922,6385101
1999-07-23,379.482,385.426,375.018,379.482,5264263
1999-07-26,379.482,379.482,372.042,372.042,4551954
1999-07-27,373.529,379.482,372.042,372.042,2338478
1999-07-28,375.018,375.753,368.312,369.806,2232321
1999-07-29,370.548,372.775,367.574,369.064,2705377
1999-07-30,372.042,379.482,369.064,377.253,3327616
1999-08-02,383.202,389.148,377.993,382.46,4236118
1999-08-03,386.179,386.179,375.753,386.179,2255151
1999-08-04,386.179,386.179,375.753,382.46,2411042
1999-08-05,381.706,381.706,373.529,377.993,2006510
1999-08-06,381.706,382.46,372.775,382.46,4280483
1999-08-09,375.018,380.972,372.042,375.018,2923094
1999-08-10,386.179,386.179,377.993,382.46,3203976
1999-08-11,382.46,384.68,376.497,376.497,3901493
1999-08-12,378.731,382.46,377.253,379.482,3506371
1999-08-13,379.482,379.482,372.042,377.993,3414973
1999-08-16,377.993,392.876,377.993,389.899,3400192
1999-08-17,393.611,393.611,380.972,383.202,1989027
1999-08-18,379.482,384.68,374.264,378.731,3625981
1999-08-19,372.775,380.972,372.775,380.972,3127381
1999-08-20,388.411,389.148,373.529,377.993,5116409
1999-08-23,384.68,388.411,382.46,386.179,4683665
1999-08-24,378.731,382.46,370.548,372.775,8082518
1999-08-25,365.344,369.064,363.855,363.855,4093679
1999-08-26,365.344,366.083,355.663,357.159,6569226
1999-08-27,360.134,363.855,354.183,354.183,3939104
1999-08-30,357.901,374.264,357.159,364.59,3087058
1999-08-31,360.876,365.344,354.183,354.935,6058514
1999-09-01,354.935,367.574,353.429,363.855,7526123
1999-09-02,360.134,361.622,354.183,354.183,4383972
1999-09-03,355.663,358.648,351.949,357.159,3750971
1999-09-06,357.159,358.648,351.206,352.693,4215978
1999-09-07,345.996,348.98,330.369,333.346,17431027
1999-09-08,334.828,336.325,331.114,333.346,7233117
1999-09-09,337.067,337.813,328.146,332.596,10121280
1999-09-10,332.596,332.596,328.871,332.596,10564786
1999-09-13,332.596,333.346,325.16,326.64,8108050
1999-09-14,326.64,329.626,319.954,319.954,5985949
1999-09-16,315.489,315.489,309.533,314.743,7034256
1999-09-17,316.23,319.954,313.999,319.954,5260221
1999-09-20,323.674,324.418,318.467,323.674,4474019
1999-09-21,327.392,328.871,323.674,325.906,6518163
1999-09-22,319.954,321.44,313.999,316.984,4605719
1999-09-24,312.509,313.263,302.094,305.082,5672815
1999-09-27,312.509,319.209,301.351,304.324,9185885
1999-09-28,310.279,321.44,307.309,316.984,6010152
1999-09-29,309.533,312.509,299.117,305.082,9802765
1999-09-30,302.094,309.533,302.094,305.082,6008790
1999-10-01,300.606,304.324,299.117,301.351,8360732
1999-10-04,303.582,306.562,299.863,299.863,5465837
1999-10-05,300.606,300.606,293.165,296.148,11841527
1999-10-06,299.863,306.562,299.117,304.324,7948128
1999-10-07,305.082,308.047,303.582,305.804,9759784
1999-10-08,311.76,325.906,305.082,319.209,12193646
1999-10-12,319.209,324.418,313.999,319.954,7335278
1999-10-13,322.928,331.114,321.44,324.418,6063906
1999-10-14,327.392,327.392,322.182,323.674,4440416
1999-10-15,319.954,320.697,307.309,312.509,8599928
1999-10-18,312.509,316.23,304.324,306.562,6601478
1999-10-19,312.509,313.263,307.309,311.03,6628361
1999-10-20,316.23,320.697,313.999,319.954,5332775
1999-10-21,322.182,322.182,310.279,317.72,7006000
1999-10-22,317.72,321.44,312.509,313.263,5227980
1999-10-25,313.999,322.928,312.509,319.954,5998062
1999-10-26,316.23,319.954,314.743,315.489,3611189
1999-10-27,312.509,315.489,307.309,309.533,4546596
1999-10-28,306.562,307.309,294.654,296.882,10337658
1999-10-29,300.606,304.324,297.63,304.324,10980092
1999-11-01,308.047,323.674,306.562,314.743,11092947
1999-11-02,311.03,317.72,301.351,316.23,7160575
1999-11-04,308.789,311.76,301.351,308.789,5999379
1999-11-05,297.63,297.63,290.194,293.908,11844207
1999-11-08,288.692,289.445,267.129,267.129,11662794
1999-11-09,260.425,276.057,260.425,262.654,15028044
1999-11-10,264.889,272.33,264.145,269.36,20266765
1999-11-11,272.33,275.313,261.913,267.856,13732481
1999-11-12,270.843,273.079,264.145,267.856,9773214
1999-11-15,271.594,273.079,267.856,272.33,7074557
1999-11-16,264.889,272.33,262.654,268.608,6903862
1999-11-17,273.079,281.259,270.843,280.513,12182906
1999-11-18,276.795,279.77,264.145,264.145,23695179
1999-11-19,267.856,270.098,260.425,266.378,18714500
1999-11-22,272.33,273.817,264.889,270.098,6992559
1999-11-24,266.378,267.856,260.425,261.913,8371472
1999-11-25,260.425,261.913,250.756,253.725,9656284
1999-11-26,250.756,257.448,247.772,252.983,9060906
1999-11-29,249.26,251.495,240.339,245.541,7668585
1999-11-30,247.02,254.476,244.806,246.294,10068877
1999-12-01,248.523,249.26,243.31,247.02,10532534
1999-12-02,251.495,257.448,250.756,253.725,13987820
1999-12-03,252.983,252.983,238.844,244.06,15775273
1999-12-06,245.541,252.983,244.06,249.26,6360943
1999-12-07,249.26,252.983,245.541,251.495,9697948
1999-12-08,251.495,252.983,245.541,247.02,6342109
1999-12-09,245.541,245.541,234.39,241.087,11938284
1999-12-10,241.087,243.31,225.458,230.661,26408628
1999-12-13,231.408,232.154,223.224,223.97,11939658
1999-12-14,223.224,229.923,222.473,229.923,13778163
1999-12-15,223.97,226.938,223.224,223.224,13939436
1999-12-16,221.735,223.97,218.754,221.735,15904305
1999-12-17,224.705,227.692,223.97,224.705,6430806
1999-12-20,226.201,227.692,223.224,223.97,7078576
1999-12-21,224.705,227.692,223.97,226.201,6454998
1999-12-22,228.425,234.39,227.692,230.661,7769372
1999-12-24,235.869,243.31,235.869,237.363,9368681
1999-12-27,239.591,240.339,234.39,237.363,2796753
1999-12-28,237.363,239.591,234.39,237.363,2220208
1999-12-29,238.844,245.541,238.844,241.82,3441878
1999-12-30,245.541,255.223,245.541,253.725,2345187
2000-01-04,253.725,254.476,245.541,247.772,3279232
2000-01-05,244.806,252.244,241.82,251.495,4714566
2000-01-06,252.244,252.244,241.82,245.541,3511764
2000-01-07,252.983,264.145,251.495,258.934,10808046
2000-01-11,270.098,283.49,267.856,278.283,20417298
2000-01-12,271.594,274.561,263.409,264.145,7096048
2000-01-13,267.129,276.057,263.409,273.817,5386563
2000-01-14,284.243,293.908,282.011,290.194,17500924
2000-01-17,293.908,296.882,286.473,287.212,13307786
2000-01-18,290.923,290.923,281.259,281.259,7780112
2000-01-19,279.77,289.445,276.795,289.445,3900131
2000-01-20,289.445,297.63,285.723,296.882,9728872
2000-01-21,282.011,282.011,273.079,275.313,12350889
2000-01-24,275.313,277.538,273.079,273.079,5968489
2000-01-25,269.36,275.313,267.856,267.856,11205859
2000-01-26,264.145,266.378,255.959,256.702,9649564
2000-01-27,256.702,258.934,242.573,242.573,15415106
2000-01-28,252.983,258.934,246.294,248.523,8985639
2000-01-31,251.495,255.223,250.006,255.223,6859519
2000-02-01,262.654,262.654,258.2,258.934,9012533
2000-02-02,261.175,261.913,251.495,252.983,9792025
2000-02-03,253.725,254.476,250.006,251.495,4937687
2000-02-04,249.26,252.983,245.541,252.983,8395652
2000-02-07,251.495,252.983,245.541,245.541,12005491
2000-02-08,245.541,248.523,243.31,243.31,8847207
2000-02-09,250.756,259.68,249.26,249.26,11293216
2000-02-10,248.523,249.26,244.06,244.806,5914713
2000-02-14,244.806,245.541,234.39,240.339,6433474
2000-02-15,230.661,230.661,223.97,223.97,11185697
2000-02-16,226.201,232.154,226.201,229.923,8165834
2000-02-17,231.408,235.869,225.458,235.869,12975829
2000-02-18,232.154,232.154,225.458,225.458,8165834
2000-02-21,226.938,227.692,223.224,223.97,8560955
2000-02-22,223.97,225.458,223.224,223.224,5645921
2000-02-23,223.97,225.458,222.473,225.458,10016441
2000-02-24,226.201,226.938,223.224,225.458,5563945
2000-02-25,225.458,226.938,223.224,224.705,5473886
2000-02-28,224.705,225.458,220.986,223.97,8698047
2000-02-29,223.224,225.458,220.25,223.97,7035573
2000-03-01,216.528,218.008,210.576,214.296,21927888
