Date,Open,High,Low,Close,Volume
2007-01-02,33.5573,33.723,33.3933,33.723,6164.4
2007-01-03,33.6659,33.6917,33.467,33.467,2274.8
2007-01-04,33.5204,33.5204,33.2736,33.2736,651.2
2007-01-05,33.13,33.1926,32.8205,32.8205,5220.6
2007-01-08,32.7487,32.8132,32.5387,32.5387,1678.6
2007-01-09,32.6198,32.8813,32.6198,32.8297,908.6
2007-01-10,32.3711,32.5516,32.3711,32.5406,1031.8
2007-01-15,33.3768,33.3768,33.3768,33.3768,660
2007-01-16,33.4026,33.596,33.3418,33.5499,2090
2007-01-17,33.5886,33.7562,33.4854,33.4854,1443.2
2007-01-18,33.2773,33.4468,33.0489,33.165,2129.6
2007-01-19,32.8979,33.397,32.861,33.397,5073.2
2007-01-22,33.3657,33.4744,33.1815,33.1815,2818.2
2007-01-23,33.2368,33.2626,33.2368,33.2607,237.6
2007-01-24,33.2644,33.4578,33.1852,33.3805,4965.4
2007-01-25,32.9697,33.0802,32.6842,32.6842,4437.4
2007-01-26,32.6621,32.6621,32.5092,32.5092,242
2007-01-29,33.0158,33.292,33.0158,33.1797,1691.8
2007-01-30,33.1557,33.1557,32.9789,33.0121,2939.2
2007-01-31,32.9679,32.9679,32.7763,32.85,2409
2007-02-01,33.0784,33.3583,33.0784,33.3381,3652
2007-02-02,33.1668,33.1668,32.9955,32.9955,884.4
2007-02-05,33.1042,33.1705,33.1042,33.1392,301.4
2007-02-06,33.1557,33.1631,33.0894,33.1631,12757.8
2007-02-07,33.0508,33.0526,33.0489,33.0526,1469.6
2007-02-08,33.001,33.001,32.7137,32.7137,990
2007-02-09,33.1539,33.1539,33.1539,33.1539,66
2007-02-12,32.5958,32.6013,32.5332,32.5332,1460.8
2007-02-13,32.3822,32.419,32.3619,32.419,3313.2
2007-02-14,32.524,32.5516,32.3564,32.3766,992.2
2007-02-15,32.5442,32.5442,32.4669,32.4669,981.2
2007-02-16,32.4448,32.4448,32.1409,32.1906,3748.8
2007-02-19,32.1795,32.2753,32.0211,32.2237,2024
2007-02-20,32.3251,32.3251,31.999,31.999,3126.2
2007-02-21,32.2974,32.6013,32.2974,32.5516,2413.4
2007-02-22,32.7174,32.8868,32.7174,32.8868,1975.6
2007-02-26,33.0618,33.3473,33.0618,33.3473,893.2
2007-02-27,33.5738,33.5738,32.5387,32.8868,8316
2007-02-28,32.023,32.2256,31.6233,31.9217,15404.4
2007-03-01,31.8554,32.058,30.5734,31.0449,7585.6
2007-03-02,31.6804,31.767,31.4852,31.5165,5227.2
2007-03-05,31.3139,31.5073,31.0652,31.5073,4400
2007-03-06,31.7559,31.7559,31.4041,31.6988,8419.4
2007-03-07,31.7706,32.2477,31.7522,32.2311,774.4
2007-03-08,32.2753,32.2753,32.2753,32.2753,165
2007-03-09,32.3656,32.4411,32.0119,32.384,2422.2
2007-03-12,32.6069,32.6069,32.2808,32.2808,6116
2007-03-13,32.2845,32.2845,31.9677,31.9677,739.2
2007-03-14,31.4686,31.5386,31.3139,31.5386,539
2007-03-15,31.8204,32.0764,31.7338,32.0764,4840
2007-03-16,31.8554,32.058,31.8167,32.058,3227.4
2007-03-19,31.8922,32.3085,31.8922,32.3085,7414
2007-03-20,32.0635,32.1648,32.0635,32.1648,1381.6
2007-03-21,32.5129,32.5129,32.3251,32.3251,239.8
2007-03-22,32.7376,33.0231,32.6916,33.0231,4010.6
2007-03-23,32.7984,32.966,32.7984,32.966,554.4
2007-03-26,32.8574,32.9752,32.8076,32.9752,327.8
2007-03-27,32.9366,32.9366,32.7211,32.9292,5768.4
2007-03-28,32.6658,32.7561,32.6032,32.7561,1698.4
2007-03-29,32.8795,33.5646,32.8795,33.4762,4620
2007-03-30,33.4412,33.4412,33.4412,33.4412,176
2007-04-02,33.3473,33.491,33.3473,33.4578,2833.6
2007-04-03,33.7083,33.7157,33.5831,33.7065,1210
2007-04-04,33.7728,33.7728,33.7728,33.7728,132
2007-04-05,33.9385,34.0435,33.9385,34.0435,3814.8
2007-04-10,34.0196,34.5353,34.0196,34.4727,6650.6
2007-04-11,34.5353,34.5353,34.1946,34.1946,3297.8
2007-04-12,33.8778,33.8778,33.5039,33.5425,2250.6
2007-04-13,33.6678,33.7065,33.5904,33.7065,103.4
2007-04-16,33.8925,33.9606,33.8925,33.9606,437.8
2007-04-17,34.1485,34.1485,34.1485,34.1485,224.4
2007-04-18,33.863,33.863,33.5812,33.7617,2409
2007-04-19,33.3768,33.5517,33.3565,33.4707,1529
2007-04-20,34.1062,34.3272,34.1025,34.3272,3385.8
2007-04-23,34.0914,34.2167,34.0896,34.0951,4243.8
2007-04-24,34.0785,34.4948,34.0785,34.3069,3682.8
2007-04-25,33.9809,33.9809,33.5278,33.7838,6314
2007-04-26,33.6512,33.6512,33.526,33.5389,1100
2007-04-27,33.5407,33.5407,33.1079,33.1999,5691.4
2007-04-30,33.5573,33.5573,33.5573,33.5573,105.6
2007-05-02,33.5996,33.5996,33.5223,33.5223,77
2007-05-03,33.3676,33.3676,33.3234,33.3234,1815
2007-05-04,33.5075,33.5683,33.5075,33.5241,655.6
2007-05-07,33.5812,33.6567,33.5812,33.5831,594
2007-05-08,33.3381,33.4118,33.3381,33.4118,277.2
2007-05-09,33.5039,33.5039,33.4283,33.4283,585.2
2007-05-10,33.3565,33.4173,33.2847,33.4173,3036
2007-05-11,33.0858,33.0894,32.896,33.0894,3878.6
2007-05-14,33.3141,33.3141,33.3141,33.3141,13.2
2007-05-15,33.0165,33.0165,32.832,32.8489,389.4
2007-05-16,32.8338,32.8338,32.5852,32.5852,220
2007-05-17,32.5852,32.5852,32.5852,32.5852,0
2007-05-18,32.7736,33.5835,32.7736,33.5835,23751.2
2007-05-21,33.5647,33.866,33.4441,33.6438,14451.8
2007-05-22,33.7153,33.7153,33.7022,33.7022,475.2
2007-05-23,33.915,33.979,33.5439,33.7135,16027
2007-05-24,33.4611,33.6814,33.4611,33.6814,332.2
2007-05-25,33.0203,33.301,32.9619,33.301,1412.4
2007-05-28,33.0203,33.301,32.9619,33.301,1412.4
2007-05-29,33.3292,33.382,33.1766,33.1766,2503.6
2007-05-30,32.9563,32.9563,32.5099,32.6455,13791.8
2007-05-31,32.9092,33.1503,32.9092,33.1503,367.4
2007-06-01,33.2878,33.8001,33.2878,33.8001,1317.8
2007-06-04,33.9734,34.0657,33.8453,34.0544,2910.6
2007-06-05,33.9131,34.7551,33.9131,34.4895,6710
2007-06-06,34.2955,34.3181,33.9489,33.9489,2855.6
2007-06-07,33.8679,33.8679,33.6739,33.7662,2745.6
2007-06-08,33.2388,33.4667,32.9619,33.4667,1465.2
2007-06-11,33.6023,33.7304,33.6023,33.7304,1364
2007-06-12,33.883,33.8886,33.4008,33.4573,948.2
2007-06-13,33.5496,33.5496,33.5496,33.5496,117.7
2007-06-14,34.4801,34.9698,34.3294,34.7174,7247.9
2007-06-15,34.9735,35.7006,34.9735,35.5574,5346
2007-06-18,35.9756,35.9756,35.1845,35.1845,2944.7
2007-06-19,35.0715,35.3766,35.0715,35.2222,1970.1
2007-06-20,35.953,36.1639,35.953,36.1376,3000.8
2007-06-21,35.8061,35.8061,35.4218,35.5612,3477.1
2007-06-22,35.5612,35.5612,35.5612,35.5612,0
2007-06-25,35.4294,35.4294,35.1694,35.1958,904.2
2007-06-28,35.3502,35.5989,35.2561,35.2561,412.5
2007-06-29,35.5951,36.9588,35.5951,36.6198,6157.8
2007-07-02,36.2317,36.341,36.2317,36.341,605
2007-07-03,36.4879,36.4879,36.1903,36.1903,706.2
2007-07-04,36.5293,36.5858,36.2656,36.2656,1963.5
2007-07-05,36.3448,36.5256,36.1451,36.3824,1782
2007-07-06,36.1639,36.3109,36.1639,36.2167,342.1
2007-07-09,36.2694,36.2694,36.1639,36.1639,18.7
2007-07-10,36.9701,37.5578,36.3975,36.3975,1558.7
2007-07-11,35.9907,37.7386,35.9907,37.1584,997.7
2007-07-12,37.5992,37.5992,37.1132,37.1848,1538.9
2007-07-13,37.6218,37.6595,37.6218,37.6595,61.6
2007-07-16,37.7386,37.7423,37.4259,37.667,1922.8
2007-07-17,37.5578,37.5578,37.2941,37.4259,484
2007-07-18,37.328,37.328,37.1245,37.1961,602.8
2007-07-19,37.0793,37.0793,37.068,37.068,75.9
2007-07-20,37.4146,37.4146,37.068,37.068,1602.7
2007-07-23,36.7403,36.8608,36.7403,36.8608,2295.7
2007-07-24,37.1208,37.1208,36.8797,36.8797,2970
2007-07-25,35.9756,36.3259,35.6968,35.6968,6857.4
2007-07-26,35.8588,35.8852,35.5499,35.5499,5877.3
2007-07-27,34.7174,34.9773,34.5253,34.7852,6131.4
2007-07-30,34.7098,35.7119,34.7098,35.7044,3100.9
2007-07-31,35.7797,35.8663,35.7797,35.8663,264
2007-08-01,35.0074,35.305,35.0074,35.305,2464
2007-08-02,35.3389,35.4369,35.3389,35.4369,242
2007-08-03,34.8869,34.8869,34.8869,34.8869,44
2007-08-06,34.6157,34.6157,34.6157,34.6157,11
2007-08-07,35.0903,35.2711,34.902,34.902,3986.4
2007-08-08,35.6742,36.4126,35.6742,36.4126,1045
2007-08-09,36.6537,36.6537,36.2355,36.2355,3162.5
2007-08-10,35.84,35.84,35.3766,35.3766,585.2
2007-08-13,35.4068,35.4068,35.2975,35.2975,187
2007-08-14,35.4218,35.4218,35.4218,35.4218,148.5
2007-08-15,34.7324,35.128,34.7324,35.0677,2478.3
2007-08-16,34.3821,34.3821,33.4064,33.5232,4231.7
2007-08-17,33.1503,33.9037,32.9619,33.1314,8267.6
2007-08-20,33.4253,33.591,33.2332,33.2332,6266.7
2007-08-21,33.3349,33.3349,32.9318,33.1465,17776
