Date,Open,High,Low,Close,Volume
2007-01-02,19.4056,19.5151,19.3274,19.5151,2930512
2007-01-03,19.5256,19.5256,19.4134,19.4239,5449020
2007-01-04,19.2987,19.3717,19.1291,19.2126,6970632
2007-01-05,19.2517,19.3717,19.0404,19.0796,6233238
2007-01-08,19.1109,19.1343,18.9387,19.0274,5094028
2007-01-09,19.1604,19.4917,19.1004,19.15,8011124
2007-01-10,18.9596,19.0326,18.5918,18.7822,10868898
2007-01-15,19.2648,19.4708,19.2308,19.2726,3807926
2007-01-16,19.3013,19.3665,19.2048,19.2752,5211946
2007-01-17,19.3013,19.5308,19.1969,19.283,7433586
2007-01-18,19.3926,19.4239,19.017,19.0874,7183750
2007-01-19,19.0926,19.2048,18.8787,19.1604,7370430
2007-01-22,19.1396,19.2387,18.8918,18.9491,6995764
2007-01-23,18.8996,19.0248,18.6675,18.837,8024348
2007-01-24,18.9883,19.1291,18.8266,18.9935,7065364
2007-01-25,18.9622,18.9674,18.6883,18.7692,7758600
2007-01-26,18.7222,18.8448,18.5996,18.7666,8467056
2007-01-29,18.897,19.0822,18.8605,18.9831,6638200
2007-01-30,18.9126,19.1187,18.7822,19.0509,6637682
2007-01-31,19.1317,19.416,18.9778,19.283,10220010
2007-02-01,19.3508,19.8673,19.3143,19.7395,12370834
2007-02-02,19.7108,19.7968,19.5751,19.729,7357566
2007-02-05,19.6325,19.789,19.5491,19.6925,4991832
2007-02-06,19.7838,20.1177,19.7395,20.0316,9460142
2007-02-07,20.0081,20.1672,19.8334,20.0159,6640578
2007-02-08,19.982,20.0472,19.7108,19.8907,5110678
2007-02-09,19.9325,20.2429,19.9325,20.0838,6072222
2007-02-12,19.9533,19.9951,19.8073,19.9533,4105226
2007-02-13,20.042,20.0707,19.9142,20.0342,3657756
2007-02-14,20.0342,20.102,19.849,20.0838,4191612
2007-02-15,20.0212,20.0681,19.7968,20.0081,4923086
2007-02-16,19.9794,20.1072,19.8568,19.8803,5792182
2007-02-19,19.8777,20.0159,19.7603,19.8203,3846982
2007-02-20,19.8047,19.8516,19.6195,19.8516,5024516
2007-02-21,19.7655,20.0446,19.7316,19.7838,5652116
2007-02-22,20.5793,21.0071,20.462,20.8506,16581848
2007-02-26,20.7228,21.0175,20.4985,20.9028,6225622
2007-02-27,20.7332,20.8532,20.2585,20.3107,11262952
2007-02-28,20.3967,20.6054,19.7421,20.0446,14560348
2007-03-01,19.9586,20.6263,19.7577,19.9951,14780036
2007-03-02,20.0838,20.3889,19.8855,20.0368,9625806
2007-03-05,19.6351,20.0055,19.4108,19.8412,10673302
2007-03-06,20.0081,20.3133,19.776,20.1124,9370032
2007-03-07,20.1124,20.488,20.0212,20.3446,7237960
2007-03-08,20.4359,20.4985,20.2976,20.4646,6509628
2007-03-09,20.3472,20.5637,20.2794,20.5298,6699034
2007-03-12,20.5272,20.7749,20.355,20.5898,6530774
2007-03-13,20.6837,20.6837,20.1907,20.2246,6739244
2007-03-14,19.9533,19.9899,19.6403,19.6716,10793856
2007-03-15,19.9899,20.1177,19.8438,20.0942,8322454
2007-03-16,19.9012,20.0446,19.8021,19.9064,19320220
2007-03-19,20.0838,20.2481,19.9325,20.1777,5637856
2007-03-20,20.1046,20.342,20.1046,20.3341,5204858
2007-03-21,20.2168,20.4046,20.1855,20.3524,5646548
2007-03-22,20.7358,20.801,20.5715,20.7019,7147316
2007-03-23,20.8402,20.8767,20.5741,20.6054,7566730
2007-03-26,20.4802,20.9158,20.4802,20.801,9115600
2007-03-27,20.8662,21.3044,20.8062,21.2497,10133202
2007-03-28,21.1584,21.594,21.1401,21.5105,10541172
2007-03-29,21.5314,21.9826,21.5314,21.8443,7356002
2007-03-30,21.8,22.1417,21.5653,21.9826,6248240
2007-04-02,21.9617,22.0608,21.8522,21.9539,4614868
2007-04-03,22.0661,22.2773,21.8157,22.1678,7962418
2007-04-04,22.1599,22.5251,22.1078,22.3895,6147740
2007-04-05,22.2747,22.6816,22.2486,22.632,4475190
2007-04-10,22.692,22.9242,22.5929,22.8929,4983560
