Date,Open,High,Low,Close,Volume
2007-01-02,47.9543,48.7982,47.9543,48.7179,12435
2007-01-03,48.781,49.1771,48.781,49.1771,5975
2007-01-04,48.7982,49.0394,48.5055,49.0394,8934
2007-01-05,48.4193,48.7121,48.3619,48.3619,15854
2007-01-08,48.448,48.626,48.029,48.4308,5579
2007-01-09,48.6547,48.7695,48.2586,48.2586,2458
2007-01-10,47.8165,47.8165,47.4261,47.5812,18219
2007-01-15,49.2518,49.2518,48.8499,49.2116,1732
2007-01-16,49.1657,49.1657,48.7179,48.7925,2759
2007-01-17,48.5916,48.7581,48.0404,48.184,9140
2007-01-18,48.3619,48.626,47.8625,48.0519,4874
2007-01-19,47.7763,48.3792,47.6902,48.3792,4608
2007-01-22,48.5342,48.5342,47.8223,47.9084,13340
2007-01-23,47.9371,47.9371,47.5926,47.7591,14271
2007-01-24,48.0175,48.7466,48.0175,48.7466,6235
2007-01-25,48.7982,49.2231,48.5112,48.5112,5375
2007-01-26,48.2184,48.2184,47.7706,47.7763,10325
2007-01-29,47.9715,48.3332,47.9658,48.3332,2780
2007-01-30,48.3562,49.0853,48.3562,48.8958,4360
2007-01-31,49.2805,49.5216,49.1255,49.1542,4967
2007-02-01,49.5446,49.9464,49.5159,49.5561,4117
2007-02-02,49.6881,50.1014,49.6709,50.1014,5599
2007-02-05,49.7168,49.8029,49.6766,49.7053,673
2007-02-06,49.9292,50.2852,49.9063,49.9407,5915
2007-02-07,49.8948,50.3024,49.8603,50.3024,2122
2007-02-08,50.1129,50.1359,49.5905,49.6996,5761
2007-02-09,50.2565,50.3311,49.9924,50.1646,3384
2007-02-12,49.6824,49.6824,49.1255,49.4699,7312
2007-02-13,49.5675,49.5962,49.3207,49.5388,10817
2007-02-14,49.3953,50.0613,49.3953,50.0613,2838
2007-02-15,48.5055,48.5858,47.8223,48.0519,56851
2007-02-16,48.029,48.029,47.2654,47.7649,14989
2007-02-19,47.9027,47.9371,47.6213,47.7649,5561
2007-02-20,47.6443,47.65,47.2023,47.541,20466
2007-02-21,47.7706,47.8223,47.1506,47.3515,15258
2007-02-22,47.6271,47.65,46.9669,47.0702,45418
2007-02-26,47.4147,47.6328,47.1908,47.2367,7906
2007-02-27,46.7315,46.875,46.0828,46.0942,40557
2007-02-28,45.1987,46.0426,44.7796,45.0781,42670
2007-03-01,45.0723,45.5431,43.7806,45.279,44483
2007-03-02,45.2446,45.4685,44.0332,44.3949,36741
2007-03-05,43.8093,44.6533,43.4075,44.5614,26515
2007-03-06,44.9748,45.0379,44.5614,44.7681,37031
2007-03-07,44.837,44.969,44.6705,44.9633,2971
2007-03-08,45.5144,46.2435,45.5144,46.0483,13290
2007-03-09,45.9622,46.1631,45.48,45.945,8889
2007-03-12,46.3756,46.3756,45.6407,45.7096,2030
2007-03-13,45.7211,45.7211,45.1699,45.2561,7149
2007-03-14,43.4764,43.9529,43.2869,43.2869,60449
2007-03-15,44.0734,44.1079,43.5165,43.683,10133
2007-03-16,44.1251,44.1251,43.6486,43.7232,13095
2007-03-19,44.3605,44.7279,44.3203,44.6934,18595
2007-03-20,45.0379,45.0379,44.5212,44.7796,3086
2007-03-21,45.3192,45.3938,44.6475,44.6475,2534
2007-03-22,45.4627,45.8474,45.2733,45.8474,5483
2007-03-23,45.7957,45.7957,45.2675,45.6292,5112
2007-03-26,45.5948,45.5948,44.4925,44.4925,3487
2007-03-27,45.2388,45.2388,44.8485,44.9116,18042
2007-03-28,44.7164,44.8427,44.1193,44.2342,7934
2007-03-29,44.527,44.7336,44.4753,44.6533,7725
2007-03-30,44.6188,45.2503,44.5557,45.1757,29451
2007-04-02,44.6475,44.791,44.3605,44.4753,4355
2007-04-03,45.2561,45.3537,44.9575,45.0781,31539
2007-04-04,45.4972,45.5833,45.2962,45.4225,11008
2007-04-05,45.6407,46.1344,45.6407,46.0024,13462
2007-04-10,46.2435,46.3411,45.922,46.255,7403
2007-04-11,46.2894,46.8233,45.8876,46.0139,18624
2007-04-12,45.9966,46.2435,45.7613,46.2435,1058
2007-04-13,46.6052,46.7143,46.3928,46.4502,2379
2007-04-16,46.9784,48.1897,46.9382,47.7362,13583
2007-04-17,47.518,47.8682,47.4663,47.7936,13680
2007-04-18,47.7476,48.184,47.4606,48.0232,9246
2007-04-19,47.6615,47.8338,47.1506,47.8338,12556
2007-04-20,48.184,50.1818,48.0519,49.6135,35922
2007-04-23,49.424,49.5044,49.0566,49.2231,3181
2007-04-24,49.0623,49.0623,48.1667,48.3562,3436
2007-04-25,49.0508,49.3551,48.9705,49.1829,5688
2007-04-26,49.3723,49.6077,49.137,49.447,6693
2007-04-27,49.4642,49.4642,48.8212,49.1484,3059
2007-04-30,48.7868,49.3264,48.7868,49.2575,11830
2007-05-02,49.6594,49.7168,49.3723,49.4757,5220
2007-05-03,49.8201,49.8201,49.3723,49.7914,2580
2007-05-04,49.8948,50.2679,49.6651,50.2679,3257
2007-05-07,50.3885,50.4344,50.2335,50.2679,6254
2007-05-08,49.7455,50.3081,49.6824,50.3081,6026
2007-05-09,51.0717,52.3002,51.0717,52.283,22859
2007-05-10,52.4495,53.3508,52.4495,53.0293,25695
2007-05-11,52.6447,54.367,51.9271,53.569,17657
2007-05-14,54.2235,54.5851,53.3738,53.3738,6696
2007-05-15,53.2647,53.9479,53.2647,53.6838,9431
2007-05-16,53.5001,53.8446,53.5001,53.7527,1275
2007-05-17,53.9536,53.9536,53.2532,53.3106,2509
2007-05-18,53.391,54.1259,53.3451,53.9881,19701
2007-05-21,53.856,54.1948,53.6781,53.6781,7929
2007-05-22,53.5288,54.1259,53.5288,53.6149,5873
2007-05-23,53.5288,53.879,53.5288,53.8101,8515
