Date,Open,High,Low,Close,Volume
2007-01-02,6.03308,6.04611,6.0244,6.04611,13626676
2007-01-03,6.04611,6.12857,6.02874,6.10687,28095868
2007-01-04,6.08517,6.29351,6.07649,6.2718,58779416
2007-01-05,6.25444,6.36729,6.24576,6.2718,42269869
2007-01-08,6.29351,6.35861,6.2718,6.34559,28141724
2007-01-09,6.37597,6.41938,6.36295,6.37163,29306372
2007-01-10,6.34559,6.35861,6.2718,6.30653,30469038
2007-01-15,6.41938,6.42372,6.34993,6.39333,14637674
2007-01-16,6.39333,6.40201,6.35427,6.40201,15164084
2007-01-17,6.40636,6.43674,6.30219,6.33691,26938668
2007-01-18,6.37163,6.38465,6.27614,6.29351,22169740
2007-01-19,6.29351,6.36295,6.24576,6.34993,26439030
2007-01-22,6.37597,6.38465,6.28049,6.29351,26839889
2007-01-23,6.29351,6.31521,6.19368,6.2501,26026888
2007-01-24,6.2718,6.28917,6.15896,6.28917,25918530
2007-01-25,6.28917,6.29785,6.17198,6.21538,25394331
2007-01-26,6.19368,6.19368,6.11555,6.15027,23706542
2007-01-29,5.79871,5.92024,5.75096,5.90287,109791960
2007-01-30,5.87249,5.90721,5.83777,5.89853,33363738
2007-01-31,5.88985,5.89419,5.80739,5.85947,37205359
2007-02-01,5.87683,5.88985,5.777,5.83343,38023967
2007-02-02,5.88551,5.90287,5.84211,5.85079,28583816
2007-02-05,5.85079,5.9376,5.83777,5.92892,24672520
2007-02-06,5.97666,6.01138,5.90721,5.9376,24381452
2007-02-07,5.9376,5.9593,5.89419,5.94628,18505940
2007-02-08,5.94194,6.01572,5.90721,5.92458,27575617
2007-02-09,5.9376,5.97232,5.92458,5.9593,16626538
2007-02-12,5.93326,5.97232,5.92024,5.96364,16209798
2007-02-13,5.96364,5.97666,5.88985,5.9376,17666610
2007-02-14,5.9376,5.98534,5.88551,5.981,20063411
2007-02-15,5.95496,5.98534,5.86815,5.9159,26457933
2007-02-16,5.9159,5.94628,5.84645,5.9376,22450927
2007-02-19,5.9376,5.95496,5.86815,5.88985,15515336
2007-02-20,5.86815,5.89419,5.82041,5.88985,19318976
2007-02-21,5.87683,5.88985,5.80739,5.82041,22394296
2007-02-22,5.82475,5.89419,5.81607,5.83777,29855505
2007-02-26,5.99836,6.11555,5.981,6.08951,51272019
2007-02-27,6.03308,6.06347,5.95062,5.96364,41211455
2007-02-28,5.89419,5.95496,5.84645,5.88551,51826842
2007-03-01,5.78568,5.83777,5.62075,5.65981,85005962
2007-03-02,5.56433,5.59471,5.39505,5.52526,83604008
2007-03-05,5.42544,5.5296,5.41675,5.51658,45789443
2007-03-06,5.56433,5.56867,5.4428,5.49922,32072440
2007-03-07,5.49488,5.49922,5.42544,5.46884,26797183
2007-03-08,5.49054,5.49922,5.43846,5.49922,29308093
2007-03-09,5.50356,5.52092,5.44714,5.46016,28531932
2007-03-12,5.49054,5.52526,5.4211,5.4428,22901198
2007-03-13,5.45582,5.4645,5.39939,5.39939,23000792
2007-03-14,5.35599,5.37335,5.28654,5.28654,40606039
2007-03-15,5.34731,5.41241,5.31693,5.37769,37489884
2007-03-16,5.37335,5.41675,5.31259,5.40373,64341363
2007-03-19,5.42978,5.44714,5.40373,5.44714,26038067
2007-03-20,5.4428,5.4645,5.36901,5.45582,27096079
2007-03-21,5.43846,5.44714,5.37335,5.41241,30697764
2007-03-22,5.4645,5.49922,5.40807,5.4862,44218700
2007-03-23,5.46016,5.46884,5.41241,5.46016,27105142
2007-03-26,5.43846,5.47318,5.40807,5.43412,23864598
2007-03-27,5.43846,5.45148,5.39505,5.41675,20728693
2007-03-28,5.39505,5.41241,5.34731,5.37769,20922905
2007-03-29,5.38637,5.41241,5.36467,5.38637,21120556
2007-03-30,5.39071,5.42978,5.34731,5.37335,27104975
2007-04-02,5.38637,5.54697,5.37335,5.49922,59197136
2007-04-03,5.54263,5.61641,5.49922,5.59471,50522606
2007-04-04,5.61641,5.65981,5.55131,5.64245,37014602
2007-04-05,5.62943,5.63811,5.58169,5.59471,14089686
2007-04-10,5.59037,5.63811,5.55565,5.62509,19789073
2007-04-11,5.62943,5.64245,5.59037,5.59905,19820997
2007-04-12,5.59905,5.62075,5.55565,5.58603,21238769
2007-04-13,5.59905,5.72492,5.56867,5.70322,34708104
2007-04-16,5.72926,5.79871,5.69888,5.76832,25121473
2007-04-17,5.7553,5.82909,5.69888,5.81173,29116804
2007-04-18,5.80739,5.82041,5.75096,5.78134,23478756
2007-04-19,5.72926,5.78568,5.7119,5.78568,24846074
