Date,Open,High,Low,Close,Volume
1986-01-02,132.678,132.678,132.678,132.678,0
1986-01-03,133.741,133.741,133.741,133.741,0
1986-01-06,133.741,133.741,133.741,133.741,0
1986-01-07,133.462,133.462,133.462,133.462,0
1986-01-08,133.056,133.056,133.056,133.056,0
1986-01-09,131.716,131.716,131.716,131.716,0
1986-01-13,130.496,130.496,130.496,130.496,0
1986-01-14,129.832,129.832,129.832,129.832,0
1986-01-15,130.902,130.902,130.902,130.902,0
1986-01-16,131.716,131.716,131.716,131.716,0
1986-01-20,132.005,132.005,132.005,132.005,0
1986-01-21,133.84,133.84,133.84,133.84,0
1986-01-22,138.146,138.146,138.146,138.146,0
1986-01-23,140.823,140.823,140.823,140.823,0
1986-01-27,142.49,142.49,142.49,142.49,0
1986-01-28,148.849,148.849,148.849,148.849,0
1986-01-29,150.733,150.733,150.733,150.733,0
1986-01-30,148.482,148.482,148.482,148.482,0
1986-01-31,148.175,148.175,148.175,148.175,0
1986-02-03,149.028,149.028,149.028,149.028,0
1986-02-04,151.596,151.596,151.596,151.596,0
1986-02-05,152.797,152.797,152.797,152.797,0
1986-02-06,151.101,151.101,151.101,151.101,0
1986-02-07,147.649,147.649,147.649,147.649,0
1986-02-10,149.336,149.336,149.336,149.336,0
1986-02-11,147.986,147.986,147.986,147.986,0
1986-02-12,149.336,149.336,149.336,149.336,0
1986-02-13,151.925,151.925,151.925,151.925,0
1986-02-14,153.66,153.66,153.66,153.66,0
1986-02-17,153.997,153.997,153.997,153.997,0
1986-02-18,155.367,155.367,155.367,155.367,0
1986-02-19,160.189,160.189,160.189,160.189,0
1986-02-20,161.398,161.398,161.398,161.398,0
1986-02-21,172.48,172.48,172.48,172.48,0
1986-02-24,175.972,175.972,175.972,175.972,0
1986-02-25,167.034,167.034,167.034,167.034,0
1986-02-26,165.675,165.675,165.675,165.675,0
1986-02-27,167.887,167.887,167.887,167.887,0
1986-02-28,169.107,169.107,169.107,169.107,0
1986-03-03,168.264,168.264,168.264,168.264,0
1986-03-04,167.381,167.381,167.381,167.381,0
1986-03-05,170.297,170.297,170.297,170.297,0
1986-03-07,170.119,170.119,170.119,170.119,0
1986-03-10,167.381,167.381,167.381,167.381,0
1986-03-11,166.537,166.537,166.537,166.537,0
1986-03-12,170.853,170.853,170.853,170.853,0
1986-03-13,172.48,172.48,172.48,172.48,0
1986-03-14,177.57,177.57,177.57,177.57,0
1986-03-17,182.937,182.937,182.937,182.937,0
1986-03-18,179.464,179.464,179.464,179.464,0
1986-03-19,175.139,175.139,175.139,175.139,0
1986-03-20,176.22,176.22,176.22,176.22,0
1986-03-21,179.177,179.177,179.177,179.177,0
1986-03-24,177.57,177.57,177.57,177.57,0
1986-03-25,175.139,175.139,175.139,175.139,0
1986-03-26,177.035,177.035,177.035,177.035,0
1986-03-27,176.776,176.776,176.776,176.776,0
1986-04-01,179.464,179.464,179.464,179.464,0
1986-04-02,178.909,178.909,178.909,178.909,0
1986-04-03,177.57,177.57,177.57,177.57,0
1986-04-04,175.972,175.972,175.972,175.972,0
1986-04-07,171.676,171.676,171.676,171.676,0
1986-04-08,167.728,167.728,167.728,167.728,0
1986-04-09,165.317,165.317,165.317,165.317,0
1986-04-10,173.275,173.275,173.275,173.275,0
1986-04-11,174.603,174.603,174.603,174.603,0
1986-04-14,178.641,178.641,178.641,178.641,0
1986-04-15,185.099,185.099,185.099,185.099,0
1986-04-16,188.036,188.036,188.036,188.036,0
1986-04-17,191.528,191.528,191.528,191.528,0
1986-04-18,180.258,180.258,180.258,180.258,0
1986-04-21,176.776,176.776,176.776,176.776,0
1986-04-22,172.48,172.48,172.48,172.48,0
1986-04-23,167.381,167.381,167.381,167.381,0
1986-04-25,168.771,168.771,168.771,168.771,0
