Date,Open,High,Low,Close,Volume
2025-05-22,96.4,96.4,96.4,96.4,0
2025-05-23,95.2,95.2,93.8,93.8,0
2025-05-26,98,98.2,98,98.2,101
2025-05-27,95.2,95.2,93.2,94.6,5
2025-05-28,94.2,95.8,94.2,95.8,1
2025-05-29,97.6,99.8,97.6,99.8,1
2025-05-30,94.6,97.6,94.6,94.6,5
2025-06-02,93.2,93.2,93.2,93.2,0
2025-06-03,94,94,94,94,85
2025-06-04,93.2,93.2,93.2,93.2,0
2025-06-05,93.2,93.2,93.2,93.2,0
2025-06-06,93,93,93,93,0
2025-06-09,93,95.4,93,95.4,2
2025-06-10,93,97,93,96,23
2025-06-11,93,93,93,93,0
2025-06-12,93,93,93,93,0
2025-06-13,93,93,91,91,30
2025-06-16,90.8,90.8,90.8,90.8,0
2025-06-17,91.6,91.6,91.4,91.4,0
2025-06-18,90.2,90.2,90.2,90.2,0
2025-06-19,91,91,91,91,0
2025-06-20,89.6,89.6,89.6,89.6,0
2025-06-23,87.4,87.4,87.4,87.4,0
2025-06-24,90,90,90,90,0
2025-06-25,89.2,89.2,89.2,89.2,0
2025-06-26,87.6,87.6,87.6,87.6,0
2025-06-27,86.2,86.2,86.2,86.2,0
2025-06-30,86,86,86,86,0
2025-07-01,87.4,87.4,87.4,87.4,0
2025-07-02,92.8,92.8,92.8,92.8,0
2025-07-03,96.4,96.4,96.4,96.4,0
2025-07-04,95.4,95.4,95,95,10
2025-07-07,93.8,93.8,93.8,93.8,0
2025-07-08,98.8,98.8,98.8,98.8,2
2025-07-09,95,95,95,95,0
2025-07-10,97.2,97.2,97.2,97.2,0
2025-07-11,99.2,99.2,99.2,99.2,0
2025-07-14,94,94,94,94,0
2025-07-15,94.6,94.6,94.6,94.6,0
2025-07-16,95.2,95.2,95.2,95.2,0
2025-07-17,94.2,94.2,94.2,94.2,0
2025-07-18,94,94,94,94,0
2025-07-21,92.6,94.6,92.6,94.6,10
2025-07-22,91.6,95,91.6,94,37
2025-07-23,93,93,93,93,0
2025-07-24,98,98,98,98,0
2025-07-25,91.6,91.6,91.6,91.6,0
2025-07-28,99.6,99.6,99.6,99.6,100
2025-07-29,97,97,97,97,0
2025-07-30,93.6,94.8,93.6,94.8,0
2025-07-31,94,94,94,94,0
2025-08-01,94.4,94.4,94.4,94.4,60
2025-08-04,90.6,90.6,90.6,90.6,0
2025-08-05,90,90,90,90,0
2025-08-06,89.4,89.4,89.2,89.2,200
2025-08-07,90,90,90,90,0
2025-08-08,90.6,90.6,88.8,88.8,7
2025-08-11,91.2,91.2,90.4,90.4,2
2025-08-12,90,90,90,90,0
2025-08-13,89.8,89.8,89.8,89.8,0
2025-08-14,92.2,92.2,92.2,92.2,0
2025-08-15,92.8,96.8,92.8,96.8,10
2025-08-18,93,93,93,93,0
2025-08-19,93.4,93.8,93.4,93.8,50
2025-08-20,95.6,96.8,95.6,96.8,50
2025-08-21,97.2,97.2,97.2,97.2,0
2025-08-22,95.6,99.4,95.6,99.4,50
2025-08-25,97.4,97.4,95.6,95.6,2
2025-08-26,95.4,96.4,95.4,96.4,27
2025-08-27,95.6,95.6,95.6,95.6,0
2025-08-28,98.2,106.5,98.2,106.5,100
2025-08-29,101,101,100,100,0
2025-09-01,100,100,100,100,0
2025-09-02,99.8,101.5,99.8,101.5,5
2025-09-03,101.5,101.5,101.5,101.5,0
2025-09-04,102.5,103,102.5,103,5
2025-09-05,98.4,98.4,98.4,98.4,0
2025-09-08,97.6,97.6,97.6,97.6,0
2025-09-09,97,97,97,97,0
2025-09-10,97,97,97,97,0
2025-09-11,96,96,96,96,0
2025-09-12,96,99.2,96,99.2,40
2025-09-15,100,100,100,100,2
2025-09-16,99,100.5,99,100.5,2
