Date,Open,High,Low,Close,Volume
2015-03-04,607.146,607.904,594.541,598.027,15996321.916645
2015-03-05,602.698,604.398,599.183,603.504,11461650.055953
2015-03-06,604.602,605.01,592.724,593.56,10375909.078705
2015-03-09,591.714,597.745,590.695,595.89,10772861.233032
2015-03-10,596.648,599.406,584.023,584.023,15208954.054123
2015-03-11,586.072,592.268,583.693,585.256,13701653.488762
2015-03-12,585.946,589.102,584.023,586.723,16702918.127627
2015-03-13,586.363,586.363,577.856,583.411,17383193.507475
2015-03-16,583.615,584.576,581.08,583.761,15947379.915838
2015-03-17,582.925,592.676,580.896,592.676,17788782.667184
2015-03-18,594.948,604.204,593.56,604.204,16935877.356104
2015-03-19,610.089,610.778,606.127,609.195,14287157.607489
2015-03-20,610.351,612.701,608.04,609.807,23141219.748035
2015-03-23,609.477,612.41,604.68,611.594,11918718.362542
2015-03-24,612.624,614.411,609.118,611.662,10684200.128079
2015-03-25,613.362,615.022,609.001,613.537,9052333.310215
2015-03-26,611.322,615.722,603.368,604.951,10587509.532429
2015-03-27,605.486,609.681,601.921,604.534,10286954.513268
2015-03-30,610.575,610.575,604.582,606.534,11894381.736148
2015-03-31,606.534,612.624,592.996,592.996,20877986.601182
2015-04-01,593.9,604.485,592.268,602.475,15305053.610063
2015-04-02,608.04,608.04,599.94,601.378,9930087.0015834
2015-04-07,610.031,614.469,605.563,612.624,12759936.738586
2015-04-08,611.662,615.265,607.078,609.118,8816275.7568468
2015-04-09,613.362,620.665,610.633,620.665,11741765.809875
2015-04-10,624.423,624.705,618.528,622.365,11208408.074496
2015-04-13,622.229,623.481,618.791,619.092,8994082.9488154
2015-04-14,617.227,623.724,616.877,621.209,8413984.6810958
2015-04-15,619.412,619.412,612.294,616.266,9854520.4122992
2015-04-16,620.5,624.142,616.266,616.538,16839331.946167
2015-04-17,617.227,621.335,607.622,608.71,13777585.616543
2015-04-20,610.701,614.352,607.855,613.731,7784071.2389203
2015-04-21,617.227,619.84,610.982,615.1,8216994.4406948
2015-04-22,614.634,615.965,602.553,606.127,13063439.748496
2015-04-23,606.729,612.41,606.185,609.535,9460226.9069816
2015-04-24,611.827,622.229,610.516,621.403,11396588.322283
2015-04-27,620.383,621.821,613.1,617.917,13154175.670551
2015-04-28,618.247,619.694,612.138,615.508,9592608.4755122
2015-04-29,618.596,623.394,602.397,602.397,13390060.236687
2015-04-30,612.07,612.07,599.251,602.815,12700940.88459
2015-05-01,600.222,610.778,596.57,607.826,10377031.436343
2015-05-05,617.227,617.227,597.279,597.279,18946586.212577
2015-05-06,602.553,603.504,595.201,596.298,12129840.012319
2015-05-07,596.172,597.745,583.964,596.852,15172515.529274
2015-05-08,605.01,621.685,603.504,621.287,17847498.446613
2015-05-11,619.14,624.841,603.504,621.005,9550892.8103943
2015-05-12,616.198,616.538,604.485,610.778,15081997.900632
2015-05-13,613.857,614.828,603.223,604.951,10694262.218754
2015-05-14,602.893,609.254,599.523,606.311,13832716.029646
2015-05-15,608.933,613.925,607.622,612.847,13206014.177812
2015-05-18,614.896,617.159,610.031,613.799,11439451.057501
2015-05-19,616.606,619.626,614.314,617.431,11674838.285344
2015-05-20,617.839,621.685,613.255,619.5,16301120.271425
2015-05-21,618.033,624.423,615.566,623.481,13105645.544106
2015-05-22,624.084,631.484,621.403,629.911,10142492.669686
2015-05-26,631.62,632.164,618.791,621.005,12144030.113793
2015-05-27,624.142,639.37,623.122,637.107,16926889.227828
2015-05-28,636.068,641.506,633.193,641.506,15757612.922069
2015-05-29,641.429,645.274,637.262,640.545,24409354.138278
2015-06-01,641.837,643.196,635.883,637.592,10046685.544544
2015-06-02,639.855,639.914,629.561,632.523,17980199.217774
2015-06-03,635.262,637.107,620.782,627.861,16578371.439157
2015-06-04,620.247,623.714,610.827,614.887,19587497.729916
2015-06-05,613.372,614.226,606.243,606.369,14356869.40271
2015-06-08,608.516,611.196,605.952,607.943,13045501.590324
2015-06-09,609.011,609.137,600.076,600.076,14794331.459959
2015-06-10,598.6,606.02,598.027,604.262,15111147.278951
2015-06-11,601.795,611.118,599.319,608.622,11608207.310354
2015-06-12,607.292,609.71,601.921,605.185,10346523.902314
2015-06-15,599.319,602.553,598.6,600.436,12338900.230913
2015-06-16,604.262,607.787,600.999,607.098,18220126.330778
2015-06-17,608.516,608.622,602.727,604.971,10093926.504234
2015-06-18,604.262,608.622,603.776,608.622,13881917.511302
2015-06-19,607.457,608.292,604.262,606.02,33633231.061094
2015-06-22,614.721,614.76,602.057,609.225,19981541.021559
2015-06-23,611.264,611.264,604.621,606.02,13776569.316553
2015-06-24,607.787,608.865,601.989,604.32,11953777.108276
2015-06-25,604.971,606.301,597.823,600.639,14987096.899087
2015-06-26,601.853,601.863,595.269,599.795,14809945.617041
2015-06-29,583.741,596.114,583.741,589.044,18051149.725141
2015-06-30,586.218,588.49,578.215,578.215,19757998.270695
2015-07-01,582.401,583.178,577.739,578.584,20345636.928305
2015-07-02,579.565,590.607,577.166,589.743,15412644.460716
2015-07-03,589.743,592.996,583.391,585.868,9795234.1868779
2015-07-06,580.206,589.84,580.206,583.022,12411263.467343
2015-07-07,585.586,588.83,584.023,584.382,16787782.780644
2015-07-08,585.305,595.075,584.45,594.074,14918932.721783
2015-07-09,596.697,603.563,595.007,599.241,14536733.907119
