Date,Open,High,Low,Close,Volume
2025-05-02,310,312.6,305,312.6,188
2025-05-05,312.6,314,311.6,311.6,101
2025-05-06,312,313.4,311.6,311.6,62
2025-05-07,304,304,300,300,118
2025-05-08,300,300,300,300,73
2025-05-09,294.2,302.6,294.2,302.6,273
2025-05-12,285.2,297.6,282,297.6,309
2025-05-13,298,299.4,290.2,290.2,226
2025-05-14,290.6,292.4,286,286,317
2025-05-15,284.8,292.4,284.8,292.4,359
2025-05-16,295.8,295.8,289.6,289.6,279
2025-05-19,294,296,293.2,296,772
2025-05-20,299,299,298,298,74
2025-05-21,299.2,300.4,297.6,300,433
2025-05-22,294,295,292,294.6,281
2025-05-23,291.8,297.2,291.4,297.2,163
2025-05-26,296.4,300,296.4,299,607
2025-05-27,299.8,300,297.8,297.8,332
2025-05-28,294.4,297,294.4,296.4,176
2025-05-29,299.2,299.4,295.6,299,170
2025-05-30,298.4,300.8,298.4,299.6,306
2025-06-02,302,302.6,298.4,300.8,269
2025-06-03,300.4,300.8,298.6,299.6,537
2025-06-04,302,309.2,301.6,308.8,41036
2025-06-05,305.6,307,303.6,305.6,269
2025-06-06,307.2,307.2,305,306,408
2025-06-09,308.4,308.6,306,308.6,91
2025-06-10,307.6,307.8,306.2,306.6,283
2025-06-11,307,309.2,306.4,306.4,232
2025-06-12,305,308.4,305,308.4,367
2025-06-13,307.2,308,305.6,306.2,222
2025-06-16,303.6,303.6,298.2,298.2,205
2025-06-17,296,300.2,296,297,387
2025-06-18,294.8,294.8,291.8,291.8,49
2025-06-19,292.2,297.6,292,297.6,195
2025-06-20,296.8,296.8,293,293,155
2025-06-23,292.4,295.2,291.6,295.2,371
2025-06-24,296.4,298.8,296.4,297.2,303
2025-06-25,297.4,297.4,293.4,293.6,77
2025-06-26,297,298.2,292.6,292.6,55
2025-06-27,298.2,298.2,297.2,297.2,0
2025-06-30,297.2,297.2,293.2,294.2,81
2025-07-01,296.6,296.6,293,295.4,1227
2025-07-02,295,296.2,295,295.8,46
2025-07-03,294.4,294.4,293,294,71
2025-07-04,291.2,295.6,291.2,295.6,0
2025-07-07,294,294,291.8,292.8,330
2025-07-08,290.2,292.6,289.6,292.6,111
2025-07-09,292.2,296.4,292.2,296.4,195
2025-07-10,298,299.4,296.8,299.4,909
2025-07-11,295.6,295.6,290.8,294,186
2025-07-14,293,294.6,292.6,294.6,380
2025-07-15,294.8,294.8,290.6,290.6,5
2025-07-16,293.2,293.2,291,291,0
2025-07-17,292.4,293,292,292,30
2025-07-18,293.4,293.6,291.4,293.6,117
2025-07-21,290.2,290.2,289.8,289.8,0
2025-07-22,289.2,289.2,287.2,287.8,15
2025-07-23,291,298,291,298,85
2025-07-24,300,302,295.6,299.4,549
2025-07-25,299,299,293.8,293.8,179
2025-07-28,299.6,300.2,296.2,296.4,131
2025-07-29,295.8,296,295.8,296,0
2025-07-30,296.6,296.6,295,295,114
2025-07-31,296.8,297.4,293.4,293.4,88
2025-08-01,290.6,290.6,282.8,285.8,412
2025-08-04,290.4,290.4,286,289,481
2025-08-05,289,289.8,287.2,287.2,141
2025-08-06,284.4,284.8,277.8,277.8,248
2025-08-07,277.4,277.8,275,277.2,449
2025-08-08,277,277,273,273.8,257
2025-08-11,275.8,276,273,275.2,635
2025-08-12,274,274.8,272.6,274.2,306
2025-08-13,275.4,277.6,275.4,277.6,1668
2025-08-14,278.4,280.4,277,280.4,70
2025-08-15,281.4,284.4,281.4,283.8,39
2025-08-18,284.2,285.6,283.8,284.8,475
2025-08-19,289.2,289.8,288.8,289.8,41
2025-08-20,289,293.6,289,293.6,140
2025-08-21,292.6,292.6,291.2,292.4,39
2025-08-22,291.6,291.6,290.8,291.6,96
2025-08-25,290.8,290.8,290,290,20
2025-08-26,288.2,290.2,288.2,290.2,63
2025-08-27,293.8,295,293.8,295,69
2025-08-28,295.2,295.2,295,295,31
2025-08-29,294.2,295.2,293,293,99
2025-09-01,293.8,294,291.6,291.6,90
2025-09-02,295,297.6,294.4,297.6,134
2025-09-03,297.4,300.4,296.6,298.8,228
2025-09-04,305.4,311,305.4,310.6,356
2025-09-05,311,311,309,309,193
2025-09-08,309.8,309.8,305,306,104
2025-09-09,304.2,305.4,304.2,305.4,0
2025-09-10,305.4,305.4,299.6,299.6,5
2025-09-11,300.4,300.4,300,300,3
2025-09-12,300.2,300.2,299.2,299.8,21
2025-09-15,298.2,298.2,293.4,293.4,169
2025-09-16,293,293,292,292.8,44
2025-09-17,292.4,294.4,292.2,294.4,336
2025-09-18,293.8,294.4,293.4,293.6,126
2025-09-19,298.2,298.2,296,296,25
2025-09-22,300.6,303.4,300.6,303.4,0
2025-09-23,302,302,297.2,297.2,33
2025-09-24,296.2,296.2,292,292.6,311
2025-09-25,291.2,291.2,286.4,286.4,208
2025-09-26,284,287.2,284,284.4,2340
2025-09-29,286,287,283.4,286.6,703
2025-09-30,285.8,292,285.8,290.2,122
2025-10-01,304.8,315,304.8,315,337
2025-10-02,320.6,321,318,318,117
2025-10-03,319.2,324,319.2,322.2,165
2025-10-06,324.2,324.8,324,324.8,665
2025-10-07,324.2,326,324.2,326,21
2025-10-08,326.6,329,326.6,328.4,255
2025-10-09,327.2,331,327.2,330.2,68
2025-10-10,331.6,331.8,328,328,52
2025-10-13,327.2,328.4,325,325.4,428
2025-10-14,322.8,326.2,320.6,322.4,125
2025-10-15,320.4,320.4,314.6,318.6,136
2025-10-16,319.4,322,319.4,321.6,42
2025-10-17,324.8,324.8,317.4,320.2,91
2025-10-20,315,319.6,314.2,319.6,696
2025-10-21,319,319,315.8,317.8,248
2025-10-22,317.2,317.8,317,317.8,41
2025-10-23,313.2,313.2,305.4,305.4,679
2025-10-24,307.8,309.4,306.8,307.4,508
2025-10-27,300.8,300.8,299.4,300.6,189
2025-10-28,303,303,296,296,211
2025-10-29,296.8,296.8,293.8,293.8,11
2025-10-30,293.8,296,293.8,296,97
2025-10-31,296.6,296.6,293.2,293.6,437
2025-11-03,293.4,295.8,292.2,292.2,715
2025-11-04,292.4,298.6,292.4,298.6,511
2025-11-05,294.2,296.8,294.2,296.8,181
2025-11-06,297,297.4,295,297.4,780
2025-11-07,298.2,300,298,300,146
2025-11-10,304.2,313.8,304.2,311.2,1205
2025-11-11,315.2,324.4,315,324.4,1374
2025-11-12,325,327.2,324.2,326.4,424
2025-11-13,327.4,329,327.4,327.8,402
2025-11-14,325,326,325,325.8,305
2025-11-17,324.6,325.4,322.6,325,156
2025-11-18,341.8,348.8,341.8,344,1474
2025-11-19,346.8,348.2,346.2,347.6,478
2025-11-20,349.2,349.2,347.2,347.2,808
2025-11-21,351.8,351.8,348.8,350,1126
2025-11-24,349.8,350,347,347.4,319
2025-11-25,347,347.4,342.4,346.4,1653
2025-11-26,350,350,347.4,348.4,170
2025-11-27,345.8,346,343,343.2,53
2025-11-28,342.6,344,341.8,343,534
2025-12-01,341.6,343.4,341.6,343.2,230
2025-12-02,341.8,348.8,341.8,346,239
2025-12-03,350.8,350.8,346.2,346.2,95
2025-12-04,346.2,349.4,344.6,344.6,269
2025-12-05,344.4,344.4,341.8,343.6,522
2025-12-08,345,349.4,345,348.2,346
2025-12-09,350.4,350.4,348.2,348.2,32
2025-12-10,346,355.6,343,355.6,141
2025-12-11,350,354.4,350,351,160
2025-12-12,350.4,351.4,347,348.6,339
2025-12-15,349.2,353.8,349.2,353.8,103
2025-12-16,355.4,355.4,351,351,473
2025-12-17,349,350.6,349,349.6,87
2025-12-18,348.2,353.6,348.2,353.6,199
2025-12-19,355,359,354.8,358.8,49
2025-12-22,355.4,358,355,356.8,332
2025-12-23,359.6,363,359.6,362.6,287
